accession,title,n_samples,compartment,assay,platform,outcome_fields,series_matrix_rows,open_processed_files,oversized_files,pubmed
GSE175692,Gene expression profiles of breast cancer metastasis according to organ site,184,tumour,bulk,GPL30206,survival;recurrence,771,GSE175692_raw_data.txt.gz,,34051058
GSE46517,Human melanoma samples comparing nevi and primary and metastatic melanoma,121,tumour,bulk,GPL96,recurrence,22215,filelist.txt,,20520718
GSE162520,Immunologically active phenotype is associated with response to PD-1/PD-L1 inhibitors in patients with advanced non-small cell lung cancer,92,tumour,bulk,GPL18573,survival,0,GSE162520_GEO_data_TUMADOR_log2cpm.csv.gz,,36111282;36038492
GSE176307,Fibroblast Growth Factor Receptor 3 Alterations and Response to Immune Checkpoint Inhibition in Metastatic Urothelial Cancer: A Real World Experience,90,tumour,bulk,GPL24014,responder_label;survival,0,GSE176307_BACI_Omniseq_Sample_Name_Key_submitted_GEO_v2.csv.gz;GSE176307_BACI_log_trans_normalized_RNAseq.csv.gz;GSE176307_baci_rsem_RS_BACI_headers_tab.txt.gz;GSE176307_salmon_tpm_gene.matrix.tsv.gz,,34294892
GSE266219,Clinical and Immunological Responses to Combined JAK Inhibition and PD-1 immunotherapy for Lung Cancer Patients,79,tumour,bulk,GPL24676,responder_label,0,,,40950163
GSE206613,A novel gene signature unveils three distinct immune-metabolic rewiring patterns conserved across diverse tumor types and associated with outcome,77,tumour,bulk,GPL32069,responder_label;pathologic,731,filelist.txt,,36119118
GSE101929,Gene expression data from African Americans and European Americans with non-small cell lung cancer,66,tumour,bulk,GPL570,survival,54675,filelist.txt,,29196495
GSE35640,Identification of a predictive gene signature to recMAGE A3 antigen-specific cancer immunotherapy in metastatic melanoma and non-small-cell lung cancer,65,tumour,bulk,GPL570,responder_label,54675,filelist.txt,,23715562
GSE78220,mRNA expressions in pre-treatment melanomas undergoing anti-PD-1 checkpoint inhibition therapy,28,tumour,bulk,GPL11154,responder_label;survival,0,GSE78220_PatientFPKM.xlsx,,26997480
GSE241876,"Distinct Transcriptional Landscapes Identified by Radiographic Response in Metastatic Triple-Negative Breast Cancer Treated with Carboplatin, Nab-Paclitaxel, and Pembrolizumab in a Single-Arm Phase II Trial",19,tumour,bulk,GPL20301,responder_label,0,GSE241876_DeseqNormalizedCount.csv.gz;GSE241876_raw_count_matrix.csv.gz;GSE241876_readme.txt,,37882661
GSE126045,Genome-wide identification of differentially methylated promoters and enhancers associated with response to anti-PD-1 therapy in non-small cell lung cancer,18,tumour,bulk,GPL16791;GPL21145;GPL16791;GPL21145,responder_label,658091,filelist.txt,,32879421;32879421
GSE72094,"KRAS mutation-associated gene expression, p53 and STK11 mutations, proliferation and immune surveillance in lung adenocarcinoma",442,unknown,bulk,GPL15048,survival,60607,filelist.txt,,26477306
GSE216297,Blood platelet RNA profiles do not enable for nivolumab response prediction at baseline in patients with non-small-cell lung cancer,286,platelet,bulk,GPL20301,responder_label,0,GSE216297_TEP_Count_Matrix.RData.gz,,37270827
GSE91061,Molecular portraits of tumor mutational and micro-environmental sculpting by immune checkpoint blockade therapy,109,unknown,bulk,GPL9052,responder_label,0,GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz;GSE91061_BMS038109Sample.hg19KnownGene.raw.csv.gz;GSE91061_BMS038109Sample.hg19KnownGene.rld.csv.gz;GSE91061_BMS038109Sample_Cytolytic_Score_20161026.txt.gz,,29033130
GSE161537,Immunologically hot phenotype is associated with response to second-line PD-1/PD-L1 inhibition in patients with advanced non-small cell lung cancer,82,unknown,bulk,GPL18573,recist;survival,0,GSE161537_nivobio_log2cpm.csv.gz,,36111282;36038492
GSE309652,Clinically relevant metabolic subtypes of lung cancer for immunotherapy,72,unknown,bulk,GPL31904,responder_label,768,filelist.txt,,
GSE124574,CD56dim NK cell gene signature in melanoma patients with better and worse clinical outcomes,41,unknown,bulk,GPL25998,responder_label;survival,814,GSE124574_melanoma_patients_CD56dim_cell_profiles.txt.gz;filelist.txt,,30761123;41369171
GSE111414,KIR Polymorphism is Associated with Primary Resistance to PD-1 Blockade in Lung Cancer,20,blood,bulk,GPL21290,responder_label,0,GSE111414_gene_counts.csv.gz,,30765392
GSE295969,Blood immunomap for prediction of responses to anti-PD-1 immunotherapy in metastatic non-small cell lung cancer,18,unknown,bulk,GPL18573,responder_label,0,GSE295969_raw_counts_All_Samples.txt.gz,,40860257
GSE306542,Circulating cell populations as response predictors and targets to improve immunotherapy in metastatic lung cancer,2,unknown,bulk,GPL24676,responder_label,0,filelist.txt,,42291216
GSE283522,The spatially informed mFISHseq assay resolves biomarker discordance and predicts treatment response in breast cancer,1254,tumour,single-cell/spatial,GPL24676,survival;pathologic;recurrence,0,GSE283522_sample_charateristics_readme.txt;filelist.txt,,39747865
GSE221733,Multi-omic and spatial dissection of immunotherapy response groups in non-small cell lung cancer (NSCLC),93,tumour,single-cell/spatial,GPL18573,responder_label,0,GSE221733_4301_CTA_QC.xlsx;GSE221733_4301_CTA_initial.csv.gz;GSE221733_4301_CTA_norm.xlsx;filelist.txt,,37022147
