cohort	study	subset	n	n_genes_matrix	purity_name	purity_median	n_immune8	n_signature_present
OncoSG	OncoSG	all	169	18782	published PURITY	0.29	8	215
OncoSG	OncoSG	high_tumor	87	18782	published PURITY	0.41	8	215
GSE273377 discovery	GSE273377	all	103	59254	ESTIMATE StromalScore	545.1467695869178	8	221
GSE273377 discovery	GSE273377	high_tumor	52	59254	ESTIMATE StromalScore	233.7852709829258	8	221
GSE273377 validation	GSE273377	all	60	59254	ESTIMATE StromalScore	935.2843969710152	8	221
GSE273377 validation	GSE273377	high_tumor	30	59254	ESTIMATE StromalScore	622.4322887539097	8	221
GSE233774 tumor	GSE233774 tumor	all	30	14526	ESTIMATE StromalScore	-32.77305942090197	7	217
GSE233774 tumor	GSE233774 tumor	high_tumor	15	14526	ESTIMATE StromalScore	-342.6196883445932	7	217
GSE282774	GSE282774	all	58	44421	ESTIMATE StromalScore	356.99925246390194	8	221
GSE282774	GSE282774	high_tumor	29	44421	ESTIMATE StromalScore	-199.47591203213506	8	221
