subset	eligible	method	alpha	size	purity	endpoint	meta_rho	meta_p	meta_i2	meta_model	meta_n	meta_k	meta_ci_low	meta_ci_high	geo_rho	geo_p	geo_i2	geo_model	geo_n	abs_meta	abs_geo
high_tumor	True	z-mean	0.25	5	none	CD8A	-0.12324611720088087	0.07904678807352226	0.0	fixed	213	4	-0.25627838460201496	0.014368324700767139	-0.07509724140330336	0.41574058866130015	0.0	fixed	126	0.12324611720088087	0.07509724140330336
high_tumor	True	z-mean	0.25	5	none	ImmuneScore	-0.1793493076273732	0.016691855226170726	0.08830273130217403	DL random	213	4	-0.3183269859218137	-0.032824439114634674	-0.1371689521438417	0.21017814324624295	0.175022570259662	DL random	126	0.1793493076273732	0.1371689521438417
high_tumor	True	z-mean	0.25	6	none	CD8A	-0.10960192449963435	0.11872615929268698	0.0	fixed	213	4	-0.243309796261324	0.028193744108438928	-0.030527548325041804	0.7411668285123649	0.0	fixed	126	0.10960192449963435	0.030527548325041804
high_tumor	True	z-mean	0.25	6	none	ImmuneScore	-0.1657313728643568	0.017714998015532495	0.0	fixed	213	4	-0.2963555111403825	-0.0290209040000954	-0.0737463721178494	0.42420935411758853	0.0	fixed	126	0.1657313728643568	0.0737463721178494
high_tumor	True	z-mean	0.25	7	none	CD8A	-0.13013997754459375	0.06351402356022892	0.0	fixed	213	4	-0.26281272717934273	0.007362830823047843	-0.06287117957541839	0.4959006264737742	0.0	fixed	126	0.13013997754459375	0.06287117957541839
high_tumor	True	z-mean	0.25	7	none	ImmuneScore	-0.1907671660104237	0.006178861043697943	0.0	fixed	213	4	-0.31975877561277194	-0.05483293347254465	-0.11952820191021328	0.1939076565943133	0.0	fixed	126	0.1907671660104237	0.11952820191021328
high_tumor	True	z-mean	0.25	8	none	CD8A	-0.17621313170198136	0.01158291185645909	0.0	fixed	213	4	-0.3061729044061962	-0.039805508461168856	-0.11660029095903839	0.20515965887875998	0.0	fixed	126	0.17621313170198136	0.11660029095903839
high_tumor	True	z-mean	0.25	8	none	ImmuneScore	-0.23594444178727939	0.0006512436673490174	0.0	fixed	213	4	-0.36159559698758426	-0.10187523910973785	-0.16030332474247583	0.08028560049032911	0.0	fixed	126	0.23594444178727939	0.16030332474247583
high_tumor	True	z-mean	0.25	9	none	CD8A	-0.21010454013521532	0.002496412296319135	0.0	fixed	213	4	-0.3377281068194203	-0.07489500333564335	-0.18301096938418288	0.04527162396158337	0.0	fixed	126	0.21010454013521532	0.18301096938418288
high_tumor	True	z-mean	0.25	9	none	ImmuneScore	-0.26753592849244795	0.00010125368170313817	0.0	fixed	213	4	-0.39055358945432095	-0.13513104826914854	-0.2519257560893593	0.024180767362497385	0.21267251329186598	DL random	126	0.26753592849244795	0.2519257560893593
high_tumor	True	z-mean	0.25	10	none	CD8A	-0.2118268807660191	0.002293510473678828	0.0	fixed	213	4	-0.33932409935173136	-0.07668721554042075	-0.16795458731111634	0.06664151930445379	0.0	fixed	126	0.2118268807660191	0.16795458731111634
high_tumor	True	z-mean	0.25	10	none	ImmuneScore	-0.2596051765681145	0.0001653963683922424	0.0	fixed	213	4	-0.38330676690992754	-0.12675434465238564	-0.19745414886905416	0.030447622056695794	0.0	fixed	126	0.2596051765681145	0.19745414886905416
high_tumor	True	z-mean	0.25	11	none	CD8A	-0.21190833402273798	0.002284296126487561	0.0	fixed	213	4	-0.33939955915683734	-0.07677199480848083	-0.1576440418409534	0.085519550157139	0.0	fixed	126	0.21190833402273798	0.1576440418409534
high_tumor	True	z-mean	0.25	11	none	ImmuneScore	-0.257165113132722	0.00019173350022049093	0.0	fixed	213	4	-0.38107406073169825	-0.12418088092561863	-0.18025907822910195	0.04868498972585851	0.0	fixed	126	0.257165113132722	0.18025907822910195
high_tumor	True	z-mean	0.25	12	none	CD8A	-0.20451152459142577	0.0032723885827428602	0.0	fixed	213	4	-0.3325403198760944	-0.06908110904277841	-0.14765798927857227	0.10763225882948771	0.0	fixed	126	0.20451152459142577	0.14765798927857227
high_tumor	True	z-mean	0.25	12	none	ImmuneScore	-0.26071511460307667	0.0009170233098160245	0.16251152327776264	DL random	213	4	-0.4008589182859435	-0.10864860307197406	-0.1705527841539127	0.062459918436321954	0.0	fixed	126	0.26071511460307667	0.1705527841539127
high_tumor	True	z-mean	0.25	13	none	CD8A	-0.21272471066239865	0.002193781734155393	0.0	fixed	213	4	-0.3401557749594534	-0.07762181481597975	-0.17186689566207528	0.06042766158460813	0.0	fixed	126	0.21272471066239865	0.17186689566207528
high_tumor	True	z-mean	0.25	13	none	ImmuneScore	-0.2610884275119006	0.00015107680370775225	0.0	fixed	213	4	-0.38466326464434375	-0.12831956062119562	-0.18754460053927496	0.04008189428645966	0.0	fixed	126	0.2610884275119006	0.18754460053927496
high_tumor	True	z-mean	0.25	14	none	CD8A	-0.22896710690776173	0.0009506085300697232	0.0	fixed	213	4	-0.35516704626484735	-0.09457049885728484	-0.18593199273530292	0.041867912433445176	0.0	fixed	126	0.22896710690776173	0.18593199273530292
high_tumor	True	z-mean	0.25	14	none	ImmuneScore	-0.278013886672802	5.1643407272832504e-05	0.0	fixed	213	4	-0.4001046319439917	-0.1462272874873276	-0.1935779787358754	0.03395343015966399	0.0	fixed	126	0.278013886672802	0.1935779787358754
high_tumor	True	z-mean	0.25	15	none	CD8A	-0.2389179632699009	0.0005523408211091793	0.0	fixed	213	4	-0.36433161787568846	-0.1049926903262852	-0.1891484491220922	0.03836905076349797	0.0	fixed	126	0.2389179632699009	0.1891484491220922
high_tumor	True	z-mean	0.25	15	none	ImmuneScore	-0.28523627204163743	3.192540384445038e-05	0.0	fixed	213	4	-0.40667269639742254	-0.15389520581617064	-0.1954267805790964	0.03224111320534078	0.0	fixed	126	0.28523627204163743	0.1954267805790964
high_tumor	True	z-mean	0.25	16	none	CD8A	-0.22392416597558348	0.0012405444079358137	0.0	fixed	213	4	-0.3505133015583623	-0.089299916829572	-0.16745747427249025	0.06746684842841703	0.0	fixed	126	0.22392416597558348	0.16745747427249025
high_tumor	True	z-mean	0.25	16	none	ImmuneScore	-0.27264714271034235	0.0004950511697853329	0.15937615464542013	DL random	213	4	-0.4112443687102956	-0.12172804976864647	-0.1797924098585129	0.049284379265264126	0.0	fixed	126	0.27264714271034235	0.1797924098585129
high_tumor	True	z-mean	0.25	17	none	CD8A	-0.225135335360701	0.0011643459987269982	0.0	fixed	213	4	-0.35163156788033145	-0.09056507148695253	-0.16828655815552276	0.0660949324507159	0.0	fixed	126	0.225135335360701	0.16828655815552276
high_tumor	True	z-mean	0.25	17	none	ImmuneScore	-0.26693500754114896	0.0005954412616046232	0.14984204788711303	DL random	213	4	-0.4050794885794531	-0.11687428533965993	-0.17223337169565903	0.05987062128160878	0.0	fixed	126	0.26693500754114896	0.17223337169565903
high_tumor	True	z-mean	0.25	18	none	CD8A	-0.23704385770583128	0.0006129167805152826	0.0	fixed	213	4	-0.36260745276998363	-0.10302756420365829	-0.16851961473784427	0.0657133809651912	0.0	fixed	126	0.23704385770583128	0.16851961473784427
high_tumor	True	z-mean	0.25	18	none	ImmuneScore	-0.26690352612339374	0.0018015872916261032	0.26258015649059585	DL random	213	4	-0.41802175868210134	-0.10141142146029998	-0.16424077932874806	0.07300917739936148	0.0	fixed	126	0.26690352612339374	0.16424077932874806
high_tumor	True	z-mean	0.25	19	none	CD8A	-0.24053123467657997	0.0005046708351589981	0.0	fixed	213	4	-0.36581512894285617	-0.10668515232759314	-0.16940597037714866	0.0642785445535131	0.0	fixed	126	0.24053123467657997	0.16940597037714866
