cohort	study	subset	method	alpha	size	purity	endpoint	n	rho	p	k	n_genes_present
OncoSG	OncoSG	all	z-mean	0.25	5	none	CD8A	169	-0.34010491770672774	6.063701888133811e-06	0	5
OncoSG	OncoSG	all	z-mean	0.25	5	none	ImmuneScore	169	-0.3808015513897867	3.2655804186192465e-07	0	5
OncoSG	OncoSG	all	z-mean	0.25	6	none	CD8A	169	-0.3901471831336085	1.574952355278003e-07	0	6
OncoSG	OncoSG	all	z-mean	0.25	6	none	ImmuneScore	169	-0.43578887176172243	3.182337311982484e-09	0	6
OncoSG	OncoSG	all	z-mean	0.25	7	none	CD8A	169	-0.4170279946298046	1.6982088523847153e-08	0	7
OncoSG	OncoSG	all	z-mean	0.25	7	none	ImmuneScore	169	-0.4569787678384964	4.229948974773727e-10	0	7
OncoSG	OncoSG	all	z-mean	0.25	8	none	CD8A	169	-0.4278827507334295	6.525816098006712e-09	0	8
OncoSG	OncoSG	all	z-mean	0.25	8	none	ImmuneScore	169	-0.4746506886778381	7.048433735674065e-11	0	8
OncoSG	OncoSG	all	z-mean	0.25	9	none	CD8A	169	-0.41850728457063296	1.4936436659625878e-08	0	9
OncoSG	OncoSG	all	z-mean	0.25	9	none	ImmuneScore	169	-0.46505892297747503	1.8880186732582612e-10	0	9
OncoSG	OncoSG	all	z-mean	0.25	10	none	CD8A	169	-0.4459052259957238	1.2354548568030535e-09	0	10
OncoSG	OncoSG	all	z-mean	0.25	10	none	ImmuneScore	169	-0.48758142310178515	1.7775329054571936e-11	0	10
OncoSG	OncoSG	all	z-mean	0.25	11	none	CD8A	169	-0.46534732236089704	1.8337175204561876e-10	0	11
OncoSG	OncoSG	all	z-mean	0.25	11	none	ImmuneScore	169	-0.5057505842573716	2.3211099755528426e-12	0	11
OncoSG	OncoSG	all	z-mean	0.25	12	none	CD8A	169	-0.4562776589925912	4.532145921149664e-10	0	12
OncoSG	OncoSG	all	z-mean	0.25	12	none	ImmuneScore	169	-0.5085127542141117	1.685236024659199e-12	0	12
OncoSG	OncoSG	all	z-mean	0.25	13	none	CD8A	169	-0.46420118343195277	2.0588768203268254e-10	0	13
OncoSG	OncoSG	all	z-mean	0.25	13	none	ImmuneScore	169	-0.5180398786733629	5.462538386360901e-13	0	13
OncoSG	OncoSG	all	z-mean	0.25	14	none	CD8A	169	-0.4719481875590474	9.332605418908113e-11	0	14
OncoSG	OncoSG	all	z-mean	0.25	14	none	ImmuneScore	169	-0.5311048679826961	1.0994433597183157e-13	0	14
OncoSG	OncoSG	all	z-mean	0.25	15	none	CD8A	169	-0.4953184824225549	7.580302097698518e-12	0	15
OncoSG	OncoSG	all	z-mean	0.25	15	none	ImmuneScore	169	-0.5389115409477401	4.080097834679253e-14	0	15
OncoSG	OncoSG	all	z-mean	0.25	16	none	CD8A	169	-0.490684202675153	1.2661864405391941e-11	0	16
OncoSG	OncoSG	all	z-mean	0.25	16	none	ImmuneScore	169	-0.5378847396946945	4.6550999575656735e-14	0	16
OncoSG	OncoSG	all	z-mean	0.25	17	none	CD8A	169	-0.479130823927204	4.4018251954073174e-11	0	17
OncoSG	OncoSG	all	z-mean	0.25	17	none	ImmuneScore	169	-0.5259335686937499	2.0908247238341968e-13	0	17
OncoSG	OncoSG	all	z-mean	0.25	18	none	CD8A	169	-0.4853910795087266	2.2538649309075673e-11	0	18
OncoSG	OncoSG	all	z-mean	0.25	18	none	ImmuneScore	169	-0.5233653224603451	2.865498442096601e-13	0	18
OncoSG	OncoSG	all	z-mean	0.25	19	none	CD8A	169	-0.4756973795435334	6.318143530798707e-11	0	19
OncoSG	OncoSG	all	z-mean	0.25	19	none	ImmuneScore	169	-0.5153498085624783	7.535068005119226e-13	0	19
OncoSG	OncoSG	all	z-mean	0.25	20	none	CD8A	169	-0.4627591865148427	2.380389185568853e-10	0	20
OncoSG	OncoSG	all	z-mean	0.25	20	none	ImmuneScore	169	-0.5028193525931083	3.2499826602313636e-12	0	20
OncoSG	OncoSG	all	z-mean	0.25	21	none	CD8A	169	-0.4721247078713143	9.163734436974483e-11	0	21
OncoSG	OncoSG	all	z-mean	0.25	21	none	ImmuneScore	169	-0.5166078265625778	6.485034348499755e-13	0	21
OncoSG	OncoSG	all	z-mean	0.25	22	none	CD8A	169	-0.4722987419819999	9.000141815788181e-11	0	22
OncoSG	OncoSG	all	z-mean	0.25	22	none	ImmuneScore	169	-0.5195639202426533	4.5468021306658515e-13	0	22
OncoSG	OncoSG	all	z-mean	0.25	23	none	CD8A	169	-0.4781015364725773	4.9075942560049145e-11	0	23
OncoSG	OncoSG	all	z-mean	0.25	23	none	ImmuneScore	169	-0.5246904679031377	2.436219304649647e-13	0	23
OncoSG	OncoSG	all	z-mean	0.25	24	none	CD8A	169	-0.49164387648550556	1.139283565177357e-11	0	24
OncoSG	OncoSG	all	z-mean	0.25	24	none	ImmuneScore	169	-0.5399060215802298	3.5894589577767684e-14	0	24
OncoSG	OncoSG	all	z-mean	0.25	25	none	CD8A	169	-0.48395902739794144	2.6299508941944332e-11	0	25
OncoSG	OncoSG	all	z-mean	0.25	25	none	ImmuneScore	169	-0.5401844761573269	3.4627133707252745e-14	0	25
OncoSG	OncoSG	all	z-mean	0.25	26	none	CD8A	169	-0.4745015165829646	7.158954348816465e-11	0	26
OncoSG	OncoSG	all	z-mean	0.25	26	none	ImmuneScore	169	-0.5335686937496893	8.063029875115356e-14	0	26
OncoSG	OncoSG	all	z-mean	0.25	27	none	CD8A	169	-0.474528864800358	7.138567306505154e-11	0	27
OncoSG	OncoSG	all	z-mean	0.25	27	none	ImmuneScore	169	-0.5359728506787331	5.943299587188955e-14	0	27
OncoSG	OncoSG	all	z-mean	0.25	28	none	CD8A	169	-0.4736238874247925	7.84399362966293e-11	0	28
OncoSG	OncoSG	all	z-mean	0.25	28	none	ImmuneScore	169	-0.5315101188404356	1.0449523705442357e-13	0	28
OncoSG	OncoSG	all	z-mean	0.25	29	none	CD8A	169	-0.4765078812590125	5.803567645977518e-11	0	29
OncoSG	OncoSG	all	z-mean	0.25	29	none	ImmuneScore	169	-0.537091641390284	5.1525541995909665e-14	0	29
OncoSG	OncoSG	all	z-mean	0.25	30	none	CD8A	169	-0.4779026403460793	5.0116213126656385e-11	0	30
OncoSG	OncoSG	all	z-mean	0.25	30	none	ImmuneScore	169	-0.5396648600268511	3.7028735222814566e-14	0	30
OncoSG	OncoSG	all	z-mean	0.25	31	none	CD8A	169	-0.4796230918402865	4.178170062838535e-11	0	31
OncoSG	OncoSG	all	z-mean	0.25	31	none	ImmuneScore	169	-0.5381358460543981	4.507588622417443e-14	0	31
OncoSG	OncoSG	all	z-mean	0.25	32	none	CD8A	169	-0.48912784048530655	1.501684593051144e-11	0	32
OncoSG	OncoSG	all	z-mean	0.25	32	none	ImmuneScore	169	-0.5509895082293274	8.362488680924476e-15	0	32
OncoSG	OncoSG	all	z-mean	0.25	33	none	CD8A	169	-0.49563174382178915	7.319883247770713e-12	0	33
OncoSG	OncoSG	all	z-mean	0.25	33	none	ImmuneScore	169	-0.5529536074784944	6.423397571179347e-15	0	33
