cohort	method	size	endpoint	purity	expected	observed	abs_diff	ok
OncoSG	z-mean	221	CD8A	none	-0.5779846849982597	-0.5779846849982597	0.0	True
OncoSG	z-mean	221	ImmuneScore	none	-0.615	-0.6145964894833673	0.0004035105166326769	True
OncoSG	z-mean	221	CD8A	partial	-0.4162752105822282	-0.4162752105822282	0.0	True
OncoSG	z-mean	30	CD8A	none	-0.478	-0.4779026403460793	9.735965392065893e-05	True
GSE273377 discovery	z-mean	221	CD8A	none	-0.381	-0.38067258269999565	0.0003274173000043512	True
GSE273377 validation	z-mean	221	CD8A	none	-0.418	-0.41828285634898593	0.00028285634898594925	True
GSE282774	z-mean	221	CD8A	none	-0.212	-0.21154792676429748	0.00045207323570251035	True
GSE233774 tumor	z-mean	221	CD8A	none	-0.332	-0.33170189098998887	0.0002981090100111494	True
GSE282774	ssGSEA	20	CD8A	none	-0.592	-0.5917005047711592	0.00029949522884076263	True
GSE282774	ssGSEA	221	CD8A	none	-0.486	-0.4862187771465008	0.0002187771465008148	True
GSE282774	ssGSEA	20	ImmuneScore	none	-0.657	-0.6568950136885171	0.00010498631148292414	True
GSE282774	ssGSEA	221	CD8A	partial	-0.447	-0.446785020709418	0.00021497929058200693	True
GSE233774 tumor	ssGSEA	221	CD8A	none	-0.42	-0.4197997775305895	0.0002002224694104826	True
GSE233774 tumor	ssGSEA	100	ImmuneScore	none	-0.637	-0.6369299221357063	7.007786429369389e-05	True
GSE233774 tumor	ssGSEA	221	ImmuneScore	none	-0.578	-0.5781979977753059	0.00019799777530593587	True
