set	method	k	n_set	top_n	universe	p	enrichment	es_n	es_mean_delta	es_mean_rank	es_es	es_p_mw	es_genes	mean_delta	mean_rank
TJ_EPITHELIAL	hypergeo_top	1.0	18	50.0	20007	0.04405961884034107	22.23	18.0	0.14380467120068002	4787.055555555556	5221.64227825304	6.305778237570742e-05	Cldn7,Cldn3,Cldn4,Crb3,F11r,Lsr,Cgnl1,Tjp1,Tjp2,Ocln,Cgn,Tjp3,Marveld3,Marveld2,Cldn1,Ildr1,Jam3,Jam2		
TJ_EPITHELIAL	hypergeo_top	3.0	18	100.0	20007	9.362029942838815e-05	33.345	18.0	0.14380467120068002	4787.055555555556	5221.64227825304	6.305778237570742e-05	Cldn7,Cldn3,Cldn4,Crb3,F11r,Lsr,Cgnl1,Tjp1,Tjp2,Ocln,Cgn,Tjp3,Marveld3,Marveld2,Cldn1,Ildr1,Jam3,Jam2		
TJ_EPITHELIAL	hypergeo_top	4.0	18	200.0	20007	2.65692971084512e-05	22.23	18.0	0.14380467120068002	4787.055555555556	5221.64227825304	6.305778237570742e-05	Cldn7,Cldn3,Cldn4,Crb3,F11r,Lsr,Cgnl1,Tjp1,Tjp2,Ocln,Cgn,Tjp3,Marveld3,Marveld2,Cldn1,Ildr1,Jam3,Jam2		
TJ_EPITHELIAL	hypergeo_top	6.0	18	500.0	20007	3.3993045216967896e-06	13.338	18.0	0.14380467120068002	4787.055555555556	5221.64227825304	6.305778237570742e-05	Cldn7,Cldn3,Cldn4,Crb3,F11r,Lsr,Cgnl1,Tjp1,Tjp2,Ocln,Cgn,Tjp3,Marveld3,Marveld2,Cldn1,Ildr1,Jam3,Jam2		
TJ_EPITHELIAL	rank_mw		18		20007	6.305778237570742e-05	5221.64227825304							0.14380467120068002	4787.055555555556
TJ_TISMO	hypergeo_top	1.0	7	50.0	20007	0.017365848539577493	57.16285714285714	7.0	0.25569758639539125	602.7142857142857	9404.576164285714	3.601380093609277e-09	Cldn7,Cldn3,Cldn4,Cdh1,F11r,Ocln,Cldn6		
TJ_TISMO	hypergeo_top	3.0	7	100.0	20007	4.179470086127574e-06	85.74428571428571	7.0	0.25569758639539125	602.7142857142857	9404.576164285714	3.601380093609277e-09	Cldn7,Cldn3,Cldn4,Cdh1,F11r,Ocln,Cldn6		
TJ_TISMO	hypergeo_top	4.0	7	200.0	20007	3.313099992713238e-07	57.16285714285714	7.0	0.25569758639539125	602.7142857142857	9404.576164285714	3.601380093609277e-09	Cldn7,Cldn3,Cldn4,Cdh1,F11r,Ocln,Cldn6		
TJ_TISMO	hypergeo_top	5.0	7	500.0	20007	1.9256149446583304e-07	28.58142857142857	7.0	0.25569758639539125	602.7142857142857	9404.576164285714	3.601380093609277e-09	Cldn7,Cldn3,Cldn4,Cdh1,F11r,Ocln,Cldn6		
TJ_TISMO	rank_mw		7		20007	3.601380093609277e-09	9404.576164285714							0.25569758639539125	602.7142857142857
CLDN4_TJ_EDGE	hypergeo_top	1.0	11	50.0	20007	0.02715613419703567	36.376363636363635	11.0	0.1652130108740204	4162.181818181818	5845.031824546728	0.00039609748467172326	Cldn7,Cldn3,Cldn4,Cgnl1,Tjp1,Tjp2,Ocln,Marveld3,Marveld2,Cldn1,Ildr1		
CLDN4_TJ_EDGE	hypergeo_top	3.0	11	100.0	20007	1.9418469488162014e-05	54.56454545454545	11.0	0.1652130108740204	4162.181818181818	5845.031824546728	0.00039609748467172326	Cldn7,Cldn3,Cldn4,Cgnl1,Tjp1,Tjp2,Ocln,Marveld3,Marveld2,Cldn1,Ildr1		
CLDN4_TJ_EDGE	hypergeo_top	3.0	11	200.0	20007	0.00015305092043462138	27.282272727272726	11.0	0.1652130108740204	4162.181818181818	5845.031824546728	0.00039609748467172326	Cldn7,Cldn3,Cldn4,Cgnl1,Tjp1,Tjp2,Ocln,Marveld3,Marveld2,Cldn1,Ildr1		
CLDN4_TJ_EDGE	hypergeo_top	3.0	11	500.0	20007	0.002204131724721912	10.912909090909091	11.0	0.1652130108740204	4162.181818181818	5845.031824546728	0.00039609748467172326	Cldn7,Cldn3,Cldn4,Cgnl1,Tjp1,Tjp2,Ocln,Marveld3,Marveld2,Cldn1,Ildr1		
CLDN4_TJ_EDGE	rank_mw		11		20007	0.00039609748467172326	5845.031824546728							0.1652130108740204	4162.181818181818
