mouse	dataset	genotype	digest	n_epi	n_high	n_low	status	tacstd2_pct
GSE154977_KP_30w_Cis72_m5	GSE154977	KP	AT2_lineage_FACS	2057	716	1341	ok	34.807972775887215
GSE154977_KP_30w_Cis72_m6	GSE154977	KP	AT2_lineage_FACS	995	363	632	ok	36.482412060301506
GSE154977_KP_30w_ND_m3	GSE154977	KP	AT2_lineage_FACS	3897	334	3563	ok	8.57069540672312
GSE154977_KP_30w_ND_m4	GSE154977	KP	AT2_lineage_FACS	3980	1558	2422	ok	39.14572864321608
GSE180963_K	GSE180963	K	mixed	28	5	23	below_floor	17.857142857142858
GSE180963_KL	GSE180963	KL	mixed	174	110	64	ok	63.2183908045977
GSE165641_KL1	GSE165641	KL	mixed	207	169	38	ok	81.64251207729468
GSE165641_KL2	GSE165641	KL	mixed	160	125	35	ok	78.125
