mouse	dataset	genotype	set	n_genes	n_high	n_low	mean_high	mean_low	delta	p_greater
GSE154977_KP_30w_Cis72_m5	GSE154977	KP	TJ_EPITHELIAL	18	716	1341	0.47944543701381903	0.3907098424573785	0.08873559455644053	1.5458899835968212e-37
GSE154977_KP_30w_Cis72_m5	GSE154977	KP	TJ_TISMO	7	716	1341	0.8312744917648983	0.6820596781549226	0.14921481360997568	5.2206798905657424e-30
GSE154977_KP_30w_Cis72_m5	GSE154977	KP	CLDN4_TJ_EDGE	11	716	1341	0.5190540748785162	0.42203597726027836	0.09701809761823782	3.684534984164743e-32
GSE154977_KP_30w_Cis72_m6	GSE154977	KP	TJ_EPITHELIAL	18	363	632	0.5349682393692229	0.4459045745110431	0.08906366485817979	2.206246711623873e-15
GSE154977_KP_30w_Cis72_m6	GSE154977	KP	TJ_TISMO	7	363	632	0.9397004512034818	0.7855585815129731	0.1541418696905087	4.798244480740596e-12
GSE154977_KP_30w_Cis72_m6	GSE154977	KP	CLDN4_TJ_EDGE	11	363	632	0.5746983576235513	0.48794807699792353	0.08675028062562773	7.418516435022949e-11
GSE154977_KP_30w_ND_m3	GSE154977	KP	TJ_EPITHELIAL	18	334	3563	0.4847040725502845	0.3809472954367179	0.10375677711356662	1.3135441261074788e-34
GSE154977_KP_30w_ND_m3	GSE154977	KP	TJ_TISMO	7	334	3563	0.7975450424013353	0.6230330609324025	0.17451198146893276	1.4371763148678426e-28
GSE154977_KP_30w_ND_m3	GSE154977	KP	CLDN4_TJ_EDGE	11	334	3563	0.5161996192746462	0.4114764425785841	0.10472317669606207	1.230098733291913e-26
GSE154977_KP_30w_ND_m4	GSE154977	KP	TJ_EPITHELIAL	18	1558	2422	0.467293571787741	0.4062145492819254	0.061079022505815594	1.6479448192795398e-36
GSE154977_KP_30w_ND_m4	GSE154977	KP	TJ_TISMO	7	1558	2422	0.7809435584717824	0.6868799005838805	0.09406365788790194	3.023167629734832e-23
GSE154977_KP_30w_ND_m4	GSE154977	KP	CLDN4_TJ_EDGE	11	1558	2422	0.4846537782879817	0.42195085923039455	0.06270291905758713	1.7108424358504978e-26
GSE180963_KL	GSE180963	KL	TJ_EPITHELIAL	18	110	64	0.44321354098171595	0.31155649038271277	0.13165705059900318	6.160796249850221e-07
GSE180963_KL	GSE180963	KL	TJ_TISMO	6	110	64	0.9587715466455133	0.6457507469325132	0.3130207997130001	9.48837385734241e-09
GSE180963_KL	GSE180963	KL	CLDN4_TJ_EDGE	11	110	64	0.5207008888812148	0.36068395745971216	0.16001693142150264	4.584242769072223e-07
GSE165641_KL1	GSE165641	KL	TJ_EPITHELIAL	18	169	38	0.6080649861375497	0.23194047858240627	0.3761245075551434	1.4485550863228433e-12
GSE165641_KL1	GSE165641	KL	TJ_TISMO	7	169	38	1.1363194677268458	0.4655026849876047	0.6708167827392411	7.61451880188914e-12
GSE165641_KL1	GSE165641	KL	CLDN4_TJ_EDGE	11	169	38	0.7180093438136123	0.2695643855457512	0.44844495826786107	6.400971505814156e-12
GSE165641_KL2	GSE165641	KL	TJ_EPITHELIAL	18	125	35	0.5855564744760439	0.4288319236459459	0.15672455083009795	0.00015461169614836232
GSE165641_KL2	GSE165641	KL	TJ_TISMO	7	125	35	1.033141599128724	0.7635609526756079	0.2695806464531162	0.00038420910611898783
GSE165641_KL2	GSE165641	KL	CLDN4_TJ_EDGE	11	125	35	0.6620044064963146	0.46516969406505015	0.1968347124312645	0.00011961820836046224
