	mean_delta
Tacstd2	1.0144835983929135
Aqp5	0.7893607446391029
Krt7	0.6853844025837995
Areg	0.676697390953875
Phlda1	0.637666973903186
Krt18	0.6335174651639512
Clu	0.6235615829475439
Tceal9	0.5777042822206507
Krt8	0.569320352428954
Cavin3	0.5583080466661143
Sdc1	0.5229689938373766
Cldn18	0.49781530524696155
Gprc5a	0.48252090479166526
Anxa3	0.476338151803552
Anxa1	0.473908147990086
Nectin2	0.4711441531229387
Wfdc2	0.46428923134582184
Emp2	0.4630616179871139
Tnfrsf12a	0.46173206451534526
S100a6	0.4584727937728646
Krt19	0.454060255854801
Cd81	0.4510964824320025
Lmo7	0.44797782796298397
Bex3	0.4469031195068471
Cd9	0.4452178651536727
Sftpb	0.4442065039527617
S100a14	0.4424522096374361
Sfn	0.4390816277558131
Anxa5	0.43238371733644926
Tagln2	0.42595284647736115
Neat1	0.4220152822873891
H2-D1	0.4167144611989089
Selenof	0.4155153149850865
Nupr1	0.40729035620332193
Tpm4	0.4060979347636297
Napsa	0.39956842159486666
Cystm1	0.3995679633005787
Thbs1	0.39703680281524395
Gpx4	0.39647015171478106
Lgals3	0.39624974798523016
Arl4c	0.39218852066686827
S100a16	0.3866882998351827
Cxcl15	0.38383715939474217
Selenow	0.3830482321656595
2200002D01Rik	0.3809421879292924
Ly6e	0.3805926369367469
Avpi1	0.37576828296745635
Cldn7	0.37512347750664615
Lmna	0.3734692459402528
Atp1b1	0.36983362714595713
Tpm1	0.36888916843309516
Dusp1	0.3662802021151517
Atf3	0.3635944739619344
Cldn3	0.36165146123739716
Tspo	0.36105165642952974
Hbegf	0.36099545508717024
F3	0.35862465832063245
Prkcdbp	0.3566535956154482
Cldn4	0.3563277760700516
Ager	0.35501285531247
Spint2	0.35468958066137846
Calm2	0.3542069510928689
Cd63	0.34846816541657805
Sdc4	0.34677613753780784
Vamp8	0.3465358784055894
Sftpa1	0.34592812382120125
Ccnd1	0.34582968158827015
Elob	0.34557009643194186
Snu13	0.34451915551881296
Rnh1	0.3433291846493676
Ptp4a2	0.342369224495898
Myl12a	0.34145806021356034
Tspan8	0.3404316157288821
Pls3	0.33962393811789393
Alcam	0.3392724297127932
Ezr	0.33842521130686976
Scd1	0.337755409430287
Hspb1	0.33738726408985376
Ctsh	0.33723705278265453
Ndnf	0.3371552400187184
Bsg	0.3328707387848625
Sftpd	0.3328131228248216
tdTomato	0.33177646850516973
Selenos	0.32895937312512774
Tsc22d1	0.32828570231775295
Anxa2	0.3245569060756882
H2-K1	0.3237961734282804
Tmem176a	0.3237153021399156
Rabac1	0.323653291083653
Pmepa1	0.32306097637725706
App	0.3220097166865058
Hspa1a	0.31969550928652407
Tpm2	0.31712588527053204
Tmem176b	0.31550926854155376
Tmsb4x	0.3140955571641502
Myl6	0.3122690838390673
S100a11	0.31198754477800283
Drap1	0.31031342802825573
Slc3a2	0.30965892062178346
Ctsc	0.3095477892895602
Emp1	0.30920100938702283
Ldha	0.30594520072925463
Clic1	0.30527561310260953
Cdh1	0.30255718872066206
Cnn2	0.3024516902702027
Vapa	0.30111812573680513
Ywhaz	0.3009288126452219
Slc38a2	0.3009146099695551
Msn	0.2997960026155612
Bcam	0.2988573089260806
Gng5	0.2980806707372805
Arpc2	0.29760473863741616
Rgcc	0.2963520248909219
Csrp1	0.29589845043663404
Fosb	0.2923047805280731
