label	status	study	genotype	treatment	gate	min_epi	x	y	n_mice	n_studies	n_genotypes	mice	rho	abs_rho	p_exact	n_extreme	n_perm	rho_dataset	p_dataset_asymp	rho_genotype	p_genotype_asymp
T_frac_locked	ok	drop_GSE154977	all	all	locked	10	pct_gt0	frac_tnk	4	2	2	GSE165641_KL1,GSE165641_KL2,GSE180963_K,GSE180963_KL	-0.9999999999999998	0.9999999999999998	0.08333333333333333	2	24	-0.6000000000000001	0.4	-1.0	0.0
IFN_locked_all8	ok	all3	all	all	locked	10	pct_gt0	IFN	8	3	3	GSE154977_KP_30w_Cis72_m5,GSE154977_KP_30w_Cis72_m6,GSE154977_KP_30w_ND_m3,GSE154977_KP_30w_ND_m4,GSE165641_KL1,GSE165641_KL2,GSE180963_K,GSE180963_KL	0.6428571428571429	0.6428571428571429	0.09618055555555556	3878	40320	0.8095238095238096	0.014902667686230072	-0.11904761904761905	0.7788857260523796
APM_locked_all8	ok	all3	all	all	locked	10	pct_gt0	APM	8	3	3	GSE154977_KP_30w_Cis72_m5,GSE154977_KP_30w_Cis72_m6,GSE154977_KP_30w_ND_m3,GSE154977_KP_30w_ND_m4,GSE165641_KL1,GSE165641_KL2,GSE180963_K,GSE180963_KL	0.38095238095238093	0.38095238095238093	0.35987103174603174	14510	40320	0.8095238095238096	0.014902667686230072	-0.07142857142857144	0.8665262706759088
IFN_APM_locked_all8	ok	all3	all	all	locked	10	pct_gt0	IFN_APM	8	3	3	GSE154977_KP_30w_Cis72_m5,GSE154977_KP_30w_Cis72_m6,GSE154977_KP_30w_ND_m3,GSE154977_KP_30w_ND_m4,GSE165641_KL1,GSE165641_KL2,GSE180963_K,GSE180963_KL	0.47619047619047616	0.47619047619047616	0.24305555555555555	9800	40320	0.9047619047619048	0.002008275505429469	-0.07142857142857144	0.8665262706759088
