	mean_delta
Cldn7	0.37512347750664615
Cldn3	0.36165146123739716
Cldn4	0.3563277760700516
Cdh1	0.30255718872066206
Crb3	0.25636838771871645
F11r	0.19014190667401096
Lsr	0.18374338542607088
Cgnl1	0.17268124987176875
Tjp1	0.16984860531896045
Tjp2	0.16982900305404042
Ocln	0.13933262241053593
Cgn	0.08608908509454556
Cldn6	0.06474867214843498
Tjp3	0.0642484419919888
Marveld3	0.05090967637830752
Marveld2	0.03024110530454082
Cldn1	-0.004144368105688105
Ildr1	-0.004457489432336241
Jam3	-0.004576226521380226
Jam2	-0.004874018385936892
