n_units,n_epithelial,n_cd8_pos,n_cd8_ref_non_epi,frac_cd8_pos,frac_cldn4_pos,frac_cldn4_pos_epi,n_both_pos,frac_cd8_among_cldn4_pos,frac_cd8_among_cldn4_neg,rho_cldn4_cd8a,p_cldn4_cd8a,n_cldn4_cd8a,rho_cldn4_cd8a_epi,p_cldn4_cd8a_epi,n_cldn4_cd8a_epi,rho_cldn4_cd8a_nonzero,p_cldn4_cd8a_nonzero,n_cldn4_cd8a_nonzero,rho_krt8_residual_cd8a,p_krt8_residual_cd8a,n_krt8_residual_cd8a,rho_krt8_residual_cd8a_epi,p_krt8_residual_cd8a_epi,n_krt8_residual_cd8a_epi,n_epi,n_cd8_ref,n_cldn4_high_epi,n_cldn4_low_epi,median_nn_um_high,median_nn_um_low,delta_high_minus_low_um,mw_u,mw_p,gsm,patient,chip,unit
187378,135770,1286,566,0.00686313227806893,0.27100299928486804,0.322714885468071,362,0.007128790862544309,0.006764374295377677,-0.0004757584390932795,0.8368369575858664,187378,0.003829811899918496,0.1581967810579366,135770,-0.20662142970161548,0.0,51704,0.002767347689652374,0.23095552418680676,187378,0.004354673313815217,0.10859100554602584,135770,135770,566,21910,91955,148.0751498395325,146.08986960087273,1.9852802386597546,1024322592.5,0.00010536030658654868,GSM9684206,LUAD_P1,GSM9684206_D06053D2,cell_bin
96003,71675,328,72,0.0034165598991698176,0.013968313490203431,0.016602720613882106,9,0.006711409395973154,0.003369884430922651,0.006632285758766069,0.03988223731799685,96003,0.008586428106265528,0.02151761259491986,71675,-0.6755118590803062,1.1594450133931173e-221,1660,0.0015224194936577493,0.6371367043266851,96003,0.0026173350480454033,0.4834860023832021,71675,71675,72,595,70485,254.4720023892609,258.897663179875,-4.425660790614103,20619303.0,0.4825601025809598,GSM9684207,LUAD_P2,GSM9684207_D06047C3,cell_bin
47600,35983,428,76,0.008991596638655463,0.05084033613445378,0.05908345607648056,24,0.009917355371900827,0.008942009738822488,0.001870096525786123,0.6832762190377585,47600,0.0010230391989007018,0.8461324148943505,35983,-0.5945244989531105,1.4218968031420701e-269,2824,-0.006399232665978655,0.1626767460868607,47600,-0.006924943396194475,0.18898910607731167,35983,35983,76,1064,33857,230.6360743613933,229.3523490178376,1.2837253435556875,17977836.5,0.9161557631387319,GSM9684208,LUAD_P3,GSM9684208_D06047F6,cell_bin
55096,41096,275,56,0.004991287933788297,0.010599680557572237,0.012142300953864123,3,0.005136986301369863,0.004989727032579982,0.0002398935591958484,0.9550965828375304,55096,-0.005048091655021615,0.30615088786318073,41096,-0.790238767910969,8.084835780761395e-184,856,-0.001106283373258643,0.7951206778166293,55096,-0.0038894261950450115,0.4304339736000048,41096,41096,56,250,40597,250.85466837493644,238.58855798214634,12.266110392790097,5171280.5,0.6030558716324546,GSM9684209,LUAD_P4,GSM9684209_D06047E1,cell_bin
32282,25373,126,23,0.003903103896908494,0.018834025153336223,0.019548338785322982,1,0.001644736842105263,0.003946454505272463,-0.004985568527341364,0.37039294187737337,32282,-0.009014225536039954,0.15105191363421142,25373,-0.6434563082714607,6.565992826754638e-87,733,-0.006002311772476641,0.2808486611372159,32282,-0.00881066164743402,0.16049759958765147,25373,25373,23,249,24877,208.06249061279644,227.2339103215011,-19.17141970870466,2963725.5,0.2412547380270409,GSM9684210,LUAD_P5,GSM9684210_D06050A2,cell_bin
130281,86536,1674,665,0.01284914914684413,0.05883436571718056,0.07342608856429694,146,0.01904761904761905,0.01246166895021857,0.012911140011451317,3.15663391139996e-06,130281,0.013386498194030068,8.215470287936699e-05,86536,-0.6242734060160209,0.0,9193,0.005216557114711264,0.05971624803108999,130281,0.003349504373751864,0.3244706950115374,86536,86536,665,3177,80182,145.01896427709033,146.9506719957415,-1.931707718651154,126917439.0,0.7342073161038922,GSM9684211,LUAD_P6,GSM9684211_D06047A2,cell_bin
88771,64645,291,93,0.0032780975769113787,0.01903774881436505,0.022399257483177355,6,0.0035502958579881655,0.0032728149653770628,0.0005963650877052137,0.8589732824838011,88771,0.0028763883496199273,0.4645836751275634,64645,-0.6040390205510408,1.0034240610920098e-196,1975,0.000547965385310454,0.8703128960939308,88771,0.0034903527442485703,0.3748522669412596,64645,64645,93,724,63197,224.05707883557145,248.0287281747822,-23.971649339210757,21667271.0,0.014244823987520796,GSM9684212,LUAD_P7,GSM9684212_D06050C2,cell_bin
138255,98181,688,138,0.0049763118874543415,0.040960543922462116,0.050763385991179556,40,0.0070633939607981635,0.004887172680101364,0.005812630996327305,0.030672993122158626,138255,0.004026109527358732,0.20712009316416705,98181,-0.5185745753059462,0.0,6311,-0.0022752530507151878,0.397556655258919,138255,-0.003417121674531856,0.28430200912745857,98181,98181,138,2494,93197,246.9812616485427,220.19309707617992,26.788164572362774,125387251.5,1.6282521941985865e-11,GSM9684213,LUAD_P8,GSM9684213_D06047D4,cell_bin
152217,109485,1881,325,0.012357358245136877,0.03965391513431483,0.04777823446134174,123,0.020377733598409543,0.012026186713731606,0.014214267725450648,2.92394540348697e-08,152217,0.014442985984607781,1.7602500073422713e-06,109485,-0.7023240939748947,0.0,7794,0.00309932540859829,0.22658805623308584,152217,0.006408903160652191,0.03395475232225655,109485,109485,325,2619,104254,139.25605911413695,143.54441821262157,-4.288359098484619,133024331.0,0.024957614781666543,GSM9684214,LUAD_P9,GSM9684214_D06047E2,cell_bin
93134,67384,1562,354,0.01677153348938089,0.032952520024910344,0.038896473940401285,69,0.022482893450635387,0.016576916671292956,0.007664350112862163,0.019335491872019998,93134,0.008641534881090485,0.024883475357502738,67384,-0.7918563657798423,0.0,4562,0.002054704276630794,0.5306303314264219,93134,0.0035540457713905183,0.35623643298571633,67384,67384,354,1314,64763,96.28983751658987,96.62944685757029,-0.3396093409804166,42641267.0,0.8931171322161304,GSM9684215,LUAD_P10,GSM9684215_D06050D4,cell_bin
