regulon	tf	kind	n_targets	targets	note
ELF3_prior	ELF3	public_prior	26	ANGPT1;AR;CCL20;CCND3;CLDN7;COL2A1;EGR1;EHF;ERBB2;FOLH1;GADD45GIP1;HP;IL1B;ITGB6;KRT4;KRT8;LYZ;MED23;MMP13;MMP9;NOTCH3;POU5F1;PTGS2;TGFB1;TGFBR2;TIMP3	TRRUST+DoRothEA+CollecTRI union; TACSTD2/CLDN4 held out; not ChIP
ELF3_pearson	ELF3	pearson_coexpression	50	HES1;ATF3;ANXA1;DSTN;KLF5;CLDN1;NET1;KLF4;TIPARP;SCNN1A;FBXO32;TOB1;CHMP4B;PERP;B3GNT5;AQP3;HSPB1;JUN;RND3;CLU;RAP2B;MYH14;ALDH1A1;ERRFI1;GSTP1;SLC25A25;HSP90AA1;KRT19;SPINT2;ATP2A2;MAL2;WEE1;CALM1;CTNND1;IRF2BP2;NEBL;UCP2;ALDH3A1;TBL1XR1;ATP6AP1;EPHX1;BRD2;ANXA2;UBE2H;PMAIP1;PTGES3;CDKN1A;ALCAM;MLF1;NUCKS1	top 50 Pearson r>=0.1 (or top positive); held out TACSTD2/CLDN4
ELF3_intersect	ELF3	prior_AND_pearson	0		intersection of public prior and Pearson top; not ChIP
GRHL1_prior	GRHL1	public_prior	1	IGF2	TRRUST+DoRothEA+CollecTRI union; TACSTD2/CLDN4 held out; not ChIP
GRHL1_pearson	GRHL1	pearson_coexpression	50	LRRC8A;JUP;CSTA;KLK10;RHCG;NECTIN4;SDC1;CSTB;PERP;RAP2B;KRT16;EMP1;IVL;PKP1;CD9;DSC2;POLR2J3;SLC6A8;DSP;TMPRSS4;CDKN2A;CDKN2B;GRHL3;MAL2;KLK11;LYPD3;CLDND1;KLF5;ANXA1;DYNLT3;GLTP;SPINK5;RND3;CLDN1;SERPINB5;KRT19;SOX2;SLC20A2;HSPB1;POF1B;DVL3;ATP1B1;MYH14;EIF4A2;TBL1XR1;WASL;ADIRF;ECM1;FERMT1;EIF4G1	top 50 Pearson r>=0.1 (or top positive); held out TACSTD2/CLDN4
GRHL1_intersect	GRHL1	prior_AND_pearson	0		intersection of public prior and Pearson top; not ChIP
KLF4_prior	KLF4	public_prior	112	ACTA2;ACTG2;AGRP;ALPL;AQP3;ASS1;ATF3;BDKRB2;BIRC3;BIRC5;CCL2;CCNB1;CCND1;CCND2;CCNE1;CD14;CD55;CD86;CDH1;CDH2;CDH5;CDK4;CDKN1A;CDKN1B;CDKN1C;CDKN2B;CEBPB;CIITA;CLMP;COL8A1;CTBP2;CTNNB1;CXCL10;DLK2;EDN1;ENG;EPCAM;F3;FOXM1;GDF15;GHRL;GPA33;GSTP1;HBA1;HBA2;HDC;HMGB1;HSP90AA1;HSP90AB1;HSPA1A;HSPA8;ID3;IFITM3;IL10;IL1B;IL6;ITGAD;IVL;KPNA2;KRT19;KRT4;LAMA1;LAMA3;LAMC1;LDLR;LXN;MAPK7;MAPK8;MFN2;MMP2;MSC;MTF2;MYC;MYH10;MYOCD;NANOG;NDRG1;NOS3;NOTCH1;NPNT;ODC1;PFKP;PLAUR;POU5F1;PTGS2;RARA;SCARB1;SCN2A;SELE;SERPINE1;SLC19A2;SLC39A4;SLC46A1;SLC4A7;SLC5A6;SNAI2;SOD1;SOX2;STAR;TAGLN;TERT;TGFB1;TGFBR1;THBD;TKT;TNF;TP53;VCAM1;VDR;VEGFA;VIM;ZNF750	TRRUST+DoRothEA+CollecTRI union; TACSTD2/CLDN4 held out; not ChIP
KLF4_pearson	KLF4	pearson_coexpression	50	RAP2B;SERPINB5;CLDN1;ATF3;ALDH3A1;NMRAL2P;SFN;ANXA1;JUN;RND3;PERP;P2RY1;CALB2;TBL1XR1;PMAIP1;HSPA1B;B3GNT5;FOSB;KLF5;EGR1;DNAJB4;HSPB1;CHMP4B;LRRC8A;TXN;DSC2;MAL2;CDKN2A;ATP1B3;CSTA;HSPA1A;JUP;SLC25A25;AKR1C2;KRT19;DNAJB1;EIF4A2;PKP1;SDC1;AKR1B10;RAPGEFL1;TRA2B;NAA50;NET1;BRD2;FGFBP1;TFRC;YWHAZ;ADM;NAA20	top 50 Pearson r>=0.1 (or top positive); held out TACSTD2/CLDN4
KLF4_intersect	KLF4	prior_AND_pearson	3	ATF3;HSPA1A;KRT19	intersection of public prior and Pearson top; not ChIP
TFAP2A_prior	TFAP2A	public_prior	272	ABCA1;ABL1;ACADVL;ACAN;ACHE;ADA;ADAMTS7;ADD1;ADM;ADRA1A;ADRA2B;ANXA5;AP3B1;APAF1;APOE;APP;AQP1;ASXL1;ASXL2;AXIN1;AXL;BACE1;BAG3;BCL2;BDKRB2;BST2;C3;CA2;CALB2;CALR;CARM1;CBX5;CCL13;CCNB1;CCND2;CCND3;CD36;CD44;CD5;CD82;CDH1;CDH3;CDKN1A;CDKN1B;CEBPA;CFD;CFTR;CHD5;CHGB;CITED2;CKB;COL10A1;COL1A1;COL2A1;COMMD7;CRABP2;CREBBP;CRX;CRYAB;CSF2;CSTA;CTBP1;CTNNAL1;CTNNB1;CTSG;CXCL1;CYP17A1;DCBLD2;DCC;DEK;DMD;DST;ECM1;EGFR;ERBB2;ERBB3;ESR1;ESR2;ETS1;F2R;FABP4;FAS;FBLN1;FGFR1;FHIT;FMR1;FOXA1;FOXP3;FREM2;FST;FXN;GALNT3;GCLC;GDNF;GGT1;GJB2;GNRH1;GPRC5A;GPX1;GPX4;GRIN1;GUSB;GZMB;HGF;HIF1A;HIP1;HK2;HLA-DQA1;HMOX1;HOXA4;HOXA7;HOXA9;HPGDS;HPN;HRK;HSD17B1;HSPB1;HTT;ICAM1;IFNGR1;IGF1R;IGF2;IGFBP3;IGFBP5;IL6;ILK;IMPDH2;INHA;INSR;IRF6;IRS1;ITGA10;ITGAX;ITPR1;IVL;JUP;KCNE1;KCTD1;KCTD10;KCTD13;KIT;KLF12;KLF16;KRAS;KRT10;KRT5;L1CAM;LAMB1;LIPA;LNPEP;LPL;LTA;LTF;MAP3K8;MAPT;MCAM;MEIS1;MIA;MLIP;MMP2;MMP9;MPG;MUC4;MXI1;MYB;MYC;MYH11;NEFL;NF1;NME3;NPM1;NQO1;NR2F2;NR3C1;NRP1;NUP214;OAT;OGA;PDLIM7;PECAM1;PI3;PIGR;PITX2;PLAUR;PLIN2;POLD2;POMGNT2;POU4F3;PPARD;PPL;PPP2CA;PPP2R1A;PRKACA;PRKCA;PRKCG;PRPH;PSMC6;PTEN;PTGDS;PTGER4;PTGS2;PTHLH;PTPA;PVR;RAD21;RAD51B;RB1;RBL2;RECQL4;RET;RRM2;S100A4;S100B;SAA1;SCD;SERPINE1;SLC10A7;SLC16A1;SLC19A1;SLC1A2;SLC1A3;SLC25A21;SLC34A1;SLC5A5;SLC5A6;SLC9A1;SMARCA4;SMARCB1;SMPD1;SNAP91;SOD1;SOD2;SOX17;SOX2;SOX6;SOX9;SP1;SP2;SP3;SPHK1;SPRY2;ST3GAL4;ST3GAL5;SYN2;TAF7;TALDO1;TARBP2;TERT;TFAP2C;TGFA;TGFB3;TGFBR1;TGFBR2;TH;TIMP2;TLR2;TNF;TNFAIP1;TNFAIP3;TNFRSF11A;TNK1;TP53;TP53BP1;TP63;TP73;UBC;ULBP1;UNG;USF1;VDR;VEGFA;WDTC1	TRRUST+DoRothEA+CollecTRI union; TACSTD2/CLDN4 held out; not ChIP
