unit	split	compartment	regulon	gene	rho	p	n	note
cell	LUAD	malignant_like	ELF3_GRHL1_KLF4_pearson_union	CLDN4	0.4063820882129987	1.528739516254985e-94	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_GRHL1_KLF4_pearson_union	TACSTD2	0.4957037519710693	1.3466763878690269e-146	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_GRHL1_KLF4_prior_union	CLDN4	0.391391743001319	3.0421517410480232e-87	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_GRHL1_KLF4_prior_union	TACSTD2	0.4626153113619186	1.7558598584286638e-125	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_RNA	CLDN4	0.4147580946812957	8.703620209914124e-99	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_RNA	TACSTD2	0.3609446963288822	1.5300631673237977e-73	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_pearson	CLDN4	0.3870215053854277	3.4743307549171773e-85	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_pearson	TACSTD2	0.4770462990035248	2.0905206449087496e-134	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_prior	CLDN4	0.2008817339573739	6.570968252815035e-23	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	ELF3_prior	TACSTD2	0.2346520603536913	6.963457528891626e-31	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	GRHL1_RNA	CLDN4	0.2382575198061828	8.157315850859015e-32	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	GRHL1_RNA	TACSTD2	0.2163935234464084	2.0923488939977358e-26	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	GRHL1_pearson	CLDN4	0.3297713863321284	5.569975841363306e-61	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	GRHL1_pearson	TACSTD2	0.4971827813728093	1.3493398027568654e-147	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	GRHL1_prior	CLDN4			2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	GRHL1_prior	TACSTD2			2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	KLF4_RNA	CLDN4	0.3375591840171725	5.5118862965136034e-64	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	KLF4_RNA	TACSTD2	0.2090975904727491	1.0003988648700843e-24	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	KLF4_pearson	CLDN4	0.2251271395785188	1.6908393731379282e-28	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	KLF4_pearson	TACSTD2	0.2155894021204493	3.226932408631982e-26	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	KLF4_prior	CLDN4	0.3626527960888331	2.847691307954929e-74	2360	exploratory; cells are not independent (pseudoreplication)
cell	LUAD	malignant_like	KLF4_prior	TACSTD2	0.4266774180314197	4.867211710752751e-105	2360	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_GRHL1_KLF4_pearson_union	CLDN4	0.5631313011938006	0.0	9782	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_GRHL1_KLF4_pearson_union	TACSTD2	0.5523538180668903	0.0	9782	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_GRHL1_KLF4_prior_union	CLDN4	0.3873304292990012	0.0	9782	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_GRHL1_KLF4_prior_union	TACSTD2	0.4442171025208217	0.0	9782	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_RNA	CLDN4	0.3983676159865589	0.0	9782	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_RNA	TACSTD2	0.4229479744332758	0.0	9782	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_pearson	CLDN4	0.5474319963512426	0.0	9782	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_pearson	TACSTD2	0.5490622715648846	0.0	9782	exploratory; cells are not independent (pseudoreplication)
cell	all	malignant_like	ELF3_prior	CLDN4	0.1120432804177269	1.059026454913827e-28	9782	exploratory; cells are not independent (pseudoreplication)
