unit	split	compartment	regulon	gene	rho	p	n	note
cell	all	epithelial	ELF3_prior	TACSTD2	0.17748396054939053	9.017333620826789e-93	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	ELF3_prior	CLDN4	0.08218908804705191	5.3794762097902954e-21	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	ELF3_pearson	TACSTD2	0.5340203641989208	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	ELF3_pearson	CLDN4	0.4827109878951109	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	ELF3_intersect	TACSTD2			0	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	ELF3_intersect	CLDN4			0	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	GRHL1_prior	TACSTD2	-0.012156126262562317	0.16506999346262677	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	GRHL1_prior	CLDN4	-0.011655607066964618	0.18317013801581705	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	GRHL1_pearson	TACSTD2	0.5648175847932453	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	GRHL1_pearson	CLDN4	0.4690529951120173	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	GRHL1_intersect	TACSTD2			0	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	GRHL1_intersect	CLDN4			0	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	KLF4_prior	TACSTD2	0.44624186154655976	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	KLF4_prior	CLDN4	0.3114740506882088	2.301866566924845e-291	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	KLF4_pearson	TACSTD2	0.45651987480371203	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	KLF4_pearson	CLDN4	0.3754550321117659	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	KLF4_intersect	TACSTD2	0.458532668135721	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	KLF4_intersect	CLDN4	0.36185635106883285	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	TFAP2A_prior	TACSTD2	0.2707067510240982	7.811427318188825e-218	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	TFAP2A_prior	CLDN4	0.14563918887254748	9.295578291078218e-63	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	TFAP2A_pearson	TACSTD2	0.506210578415665	0.0	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	TFAP2A_pearson	CLDN4	0.21168215187568137	4.956645590005044e-132	13043	exploratory; cells are not independent (pseudoreplication)
cell	all	epithelial	TFAP2A_intersect	TACSTD2	0.4313164210634841	0.0	13043	exploratory; cells are not independent (pseudoreplication)
