Sample	paper_group	timing	n_cells	n_high	n_low	eligible	reason
BD_immune01	TN	pre	568	142	142	True	
BD_immune02	NMPR	post	10	0	0	False	n_cells<20
BD_immune03	MPR	post	746	187	187	True	
BD_immune04	NMPR	post	51	13	19	True	
BD_immune05	TN	pre	1359	340	560	True	
BD_immune06	MPR	post	1	0	0	False	n_cells<20
BD_immune07	NMPR	post	3209	803	803	True	
BD_immune08	TN	pre	17	0	0	False	n_cells<20
BD_immune09	NMPR	post	164	41	41	True	
BD_immune10	NMPR	post	189	48	82	True	
BD_immune11	MPR	post	0	0	0	False	n_cells<20
BD_immune12	NMPR	post	306	77	153	True	
BD_immune13	NMPR	post	3	0	0	False	n_cells<20
BD_immune14	MPR	post	0	0	0	False	n_cells<20
BD_immune15	NMPR	post	4	0	0	False	n_cells<20
