accession	mouse	group	primary_immune	note	n_raw	n_qc	n_epi	n_tnk	n_ptprc	n_epcam	cldn4_pct	cldn4_mean	tacstd2_pct	tacstd2_mean	ifn	n_ifn_genes	error	t_frac
GSE264739	KP1	KP	True	GEO replicate of autochthonous KP or KPP lung tumor	9832.0	8126.0	5187.0	1525.0	7136.0	3919.0	0.07191054559475613	0.07059008927129111	0.05880084827453248	0.03884290672930483	0.1488698145379839	14.0		0.1876692099433916
GSE264739	KP2	KP	True	GEO replicate of autochthonous KP or KPP lung tumor	10528.0	9444.0	6713.0	1578.0	8505.0	5229.0	0.06450171309399673	0.06752069230311675	0.04707284373603456	0.035206146755492426	0.12708609767598075	14.0		0.1670902160101652
GSE264739	KP3	KP	True	GEO replicate of autochthonous KP or KPP lung tumor	11618.0	10338.0	7135.0	1955.0	9109.0	4669.0	0.07372109320252278	0.07767137073047078	0.06867554309740714	0.05472333044314731	0.13500380331284392	14.0		0.18910814470884116
GSE264739	KPP1	KPP	True	GEO replicate of autochthonous KP or KPP lung tumor	6697.0	6026.0	3913.0	83.0	5546.0	3110.0	0.04191157679529772	0.04290123500792112	0.0301558906210069	0.01707501265128238	0.10769010105027345	14.0		0.013773647527381347
GSE264739	KPP2	KPP	True	GEO replicate of autochthonous KP or KPP lung tumor	8877.0	7685.0	4515.0	153.0	6850.0	3445.0	0.06046511627906977	0.06100921403185838	0.02945736434108527	0.017706052121239556	0.10463176416371625	14.0		0.019908913467794404
GSE264739	KPP3	KPP	True	GEO replicate of autochthonous KP or KPP lung tumor	12839.0	11648.0	7770.0	135.0	10706.0	5942.0	0.05855855855855856	0.05548977333309107	0.029601029601029602	0.020128813630128337	0.10318986932896637	14.0		0.011589972527472528
GSE295824	M3	LN2A	True	Sox2 GEMM lung tumor; mouse id is in the archive name	6443.0	5489.0	645.0	214.0	4246.0	566.0	0.26666666666666666	0.2564016574357192	0.4682170542635659	0.45016772411789524	0.1791380454986025	15.0		0.038987065039169246
GSE295824	M4	LN2A	True	Sox2 GEMM lung tumor; mouse id is in the archive name	12775.0	10334.0	1227.0	843.0	7281.0	682.0	0.12795436022819887	0.11050420678695648	0.18011409942950285	0.20411310620070686	0.2389922488177171	15.0		0.0815753822334043
GSE295824	M5	LN2A	True	Sox2 GEMM lung tumor; mouse id is in the archive name	11497.0	9505.0	1462.0	354.0	4818.0	623.0	0.09439124487004104	0.09052183907586316	0.14158686730506156	0.18733104239849496	0.22198902096275647	15.0		0.03724355602314571
GSE295824	M7	LN2A	True	Sox2 GEMM lung tumor; mouse id is in the archive name	11999.0	10038.0	1305.0	810.0	6814.0	791.0	0.13486590038314175	0.13474061169324106	0.18084291187739462	0.21018463034189164	0.19549282929286044	15.0		0.08069336521219367
GSE295824	M38	p53	True	Sox2 GEMM lung tumor; mouse id is in the archive name	7703.0	4886.0	1834.0	205.0	2744.0	1414.0	0.015267175572519083	0.011841607716388067	0.39967284623773175	0.3445774333198959	0.11893675432556049	15.0		0.04195661072451903
GSE295824	M43	p53	True	Sox2 GEMM lung tumor; mouse id is in the archive name	8609.0	5075.0	1149.0	295.0	3585.0	315.0	0.019147084421235857	0.022196538209536546	0.0783289817232376	0.08033401255897815	0.18670786606026965	15.0		0.05812807881773399
GSE295824	M44	p53	True	Sox2 GEMM lung tumor; mouse id is in the archive name	6900.0	5015.0	935.0	794.0	3363.0	626.0	0.0374331550802139	0.03160596080130706	0.30802139037433157	0.3022030786211072	0.1737055155776168	15.0		0.15832502492522432
GSE295824	M45	p53	True	Sox2 GEMM lung tumor; mouse id is in the archive name	7965.0	4679.0	1068.0	444.0	3002.0	651.0	0.08801498127340825	0.06766025248354608	0.31086142322097376	0.2653168738212434	0.10662772763431312	15.0		0.09489207095533234
GSE295824	M100	PTEN	True	Sox2 GEMM lung tumor; mouse id is in the archive name	7494.0	5527.0	3158.0	301.0	2239.0	2060.0	0.02026599113362888	0.01411657871339381	0.4176694110196327	0.4481935104373737	0.1263996553964574	15.0		0.054459924009408356
GSE295824	M74	PTEN	True	Sox2 GEMM lung tumor; mouse id is in the archive name	7285.0	6208.0	3125.0	885.0	3182.0	1178.0	0.00608	0.004221843850994512	0.11232	0.09051505569461217	0.153096587643901	15.0		0.14255798969072164
GSE295824	M80	PTEN	True	Sox2 GEMM lung tumor; mouse id is in the archive name	6956.0	6056.0	1935.0	967.0	4556.0	809.0	0.020671834625323	0.017242713251395026	0.117312661498708	0.10195991128128504	0.13611120276166136	15.0		0.15967635402906208
GSE295824	M99	PTEN	True	Sox2 GEMM lung tumor; mouse id is in the archive name	9577.0	7356.0	3145.0	853.0	5045.0	1093.0	0.0069952305246422895	0.0038516854744542676	0.13895071542130366	0.10883350623559444	0.1672082070761084	15.0		0.11595976073953236
GSE295824	M16	SH	True	Sox2 GEMM lung tumor; mouse id is in the archive name	6553.0	1413.0	752.0	78.0	590.0	583.0	0.04521276595744681	0.046833731817015466	0.34308510638297873	0.2837931156567672	0.0813855473267756	15.0		0.055201698513800426
GSE295824	M20	SH	True	Sox2 GEMM lung tumor; mouse id is in the archive name	11164.0	5322.0	2868.0	269.0	2068.0	2099.0	0.12831241283124128	0.08190870622068994	0.5596234309623431	0.765455553578606	0.10221537603258755	15.0		0.05054490792934987
GSE295824	M21	SH	True	Sox2 GEMM lung tumor; mouse id is in the archive name	5912.0	2427.0	1523.0	169.0	505.0	1057.0	0.028233749179251477	0.025973489943849792	0.1792514773473408	0.15524654647777925	0.1102912789804622	15.0		0.06963329213020189
GSE295824	M24	SH	True	Sox2 GEMM lung tumor; mouse id is in the archive name	16052.0	9549.0	8682.0	74.0	628.0	7811.0	0.3621285418106427	0.3224578206309521	0.8063810181985718	1.482213319699311	0.21121906758209405	15.0		0.007749502565713687
