library	genotype	in_test	Cldn4	Tacstd2	Epcam	IFN
B6AL10-1-RNA	KP	True	3.743084055549586	3.403267722339301	6.614857050384495	2.3681168918785787
B6AL10-2-RNA	KP	True	4.247927513443585	3.028569152196771	6.660637740008126	2.2380603031165736
B6AL10-3-RNA	KP	True	1.5260688116675876	0.0	1.232660756790275	1.091616508854802
B6AL10-4-RNA	KP	True	3.403267722339301	3.3950627995175777	5.971543553950772	2.367744042290594
B6AL10-5-RNA	KP	True	3.6064422281316078	3.2600256559614555	6.028569152196771	2.4190217209500124
KL155mix-control-2-RNA	KL	True	7.9645141540866495	5.703211467391146	7.746783016960983	0.940247683448265
KL47-1-untreated-1-RNA	KL	True	8.533524414856684	5.189429245809757	7.961449694398196	1.211713631012139
KLC-RNA	KL	True	9.168446483540569	5.7398481026993275	7.859969548221026	0.9622917940566844
KLD-RNA	KL	True	9.618513980828808	6.584661907941469	8.149950301681047	2.0158680100619164
KLE-RNA	KL	True	9.08992710748277	6.060912049587874	7.933690654952234	1.000564793245917
normal-lung-RNA	normal	False	2.782408564927373	4.710944154575872	5.385776138269413	3.0631414363021343
