accession	outcome	x	mediator	n	groups	spearman_xy	spearman_xy_p	spearman_xy_p_kind	spearman_xm	spearman_xm_p	partial_spearman_xy_m	partial_spearman_p	partial_p_kind	a	b	c	cp	ab	note
GSE179501	T_frac	tacstd2_pct	cldn4_pct	4	Non-Restored,Restored	-0.39999999999999997	0.75	exact/24	0.39999999999999997	0.75	-0.6666666666666667	0.5	exact/24	0.4	0.6666666666666669	-0.3999999999999999	-0.6666666666666672	0.2666666666666668	
GSE201247	T_frac	tacstd2_pct	cldn4_pct	4	ATTAC_Kras,Kras	-0.39999999999999997	0.75	exact/24	-0.6000000000000001	0.4166666666666667	-0.2182178902359923	0.9166666666666666	exact/24	-0.6	0.25	-0.4000000000000001	-0.2500000000000001	-0.15	
GSE264739	T_frac	tacstd2_pct	cldn4_pct	6	KP,KPP	0.8285714285714287	0.058333333333333334	exact/720	0.7714285714285715	0.10277777777777777	0.4774318553161154	0.40555555555555556	exact/720	0.7714285714285715	0.7500000000000001	0.8285714285714286	0.25000000000000006	0.5785714285714287	
GSE266323	T_frac	tacstd2_pct	cldn4_pct	4	Malat1_CRISPRa,Tomato_control	-0.19999999999999998	0.9166666666666666	exact/24	0.7999999999999999	0.3333333333333333	-0.9456108576893004	0.25	exact/24	0.8	1.5555555555555547	-0.2	-1.4444444444444444	1.2444444444444438	
GSE295824	T_frac	tacstd2_pct	cldn4_pct	16	LN2A,PTEN,SH,p53	-0.611764705882353	0.012397520495900819	mc/5000	0.5941176470588235	0.021195760847830435	-0.4680268656959868	0.08178364327134573	mc/5000	0.5941176470588235	-0.1655703513556875	-0.6117647058823529	-0.5133964383122092	-0.09836826757014376	
GSE179501	IFN	tacstd2_pct	cldn4_pct	4	Non-Restored,Restored	-0.19999999999999998	0.9166666666666666	exact/24	0.39999999999999997	0.75	-0.21821789023599228	0.9166666666666666	exact/24	0.4	0.09523809523809533	-0.2	-0.23809523809523825	0.03809523809523813	
GSE201247	IFN	tacstd2_pct	cldn4_pct	4	ATTAC_Kras,Kras	0.7999999999999999	0.3333333333333333	exact/24	-0.6000000000000001	0.4166666666666667	1.0	0.25	exact/24	-0.6	0.7500000000000001	0.8000000000000002	1.2500000000000002	-0.45000000000000007	
GSE264739	IFN	tacstd2_pct	cldn4_pct	6	KP,KPP	0.8857142857142858	0.03333333333333333	exact/720	0.7714285714285715	0.10277777777777777	0.7177419354838711	0.16666666666666666	exact/720	0.7714285714285715	0.21774193548387114	0.8857142857142858	0.7177419354838714	0.16797235023041487	
GSE266323	IFN	tacstd2_pct	cldn4_pct	4	Malat1_CRISPRa,Tomato_control	-0.7999999999999999	0.3333333333333333	exact/24	0.7999999999999999	0.3333333333333333	-0.8728715609439697	0.3333333333333333	exact/24	0.8	0.6666666666666663	-0.8	-1.3333333333333337	0.5333333333333331	
GSE295824	IFN	tacstd2_pct	cldn4_pct	16	LN2A,PTEN,SH,p53	-0.2323529411764706	0.38292341531693663	mc/5000	0.5941176470588235	0.021195760847830435	-0.5463623298255039	0.036192761447710456	mc/5000	0.5941176470588235	0.6951976041499544	-0.2323529411764706	-0.6453821059949728	0.41302916481850227	
GSE179501	T_frac_mean	tacstd2_mean	cldn4_mean	4	Non-Restored,Restored	-0.7999999999999999	0.3333333333333333	exact/24	-0.19999999999999998	0.9166666666666666	-0.8017837257372732	0.4166666666666667	exact/24	-0.19999999999999998	0.25000000000000006	-0.8000000000000002	-0.7500000000000002	-0.05000000000000001	
GSE201247	T_frac_mean	tacstd2_mean	cldn4_mean	4	ATTAC_Kras,Kras	-0.39999999999999997	0.75	exact/24	-0.7999999999999999	0.3333333333333333	-0.6666666666666666	0.5833333333333334	exact/24	-0.7999999999999999	-0.8888888888888887	-0.4000000000000001	-1.1111111111111107	0.7111111111111109	
GSE264739	T_frac_mean	tacstd2_mean	cldn4_mean	6	KP,KPP	0.8285714285714287	0.058333333333333334	exact/720	0.942857142857143	0.016666666666666666	-0.5441176470588234	0.33611111111111114	exact/720	0.9428571428571428	1.4558823529411755	0.8285714285714286	-0.5441176470588226	1.3726890756302512	
GSE266323	T_frac_mean	tacstd2_mean	cldn4_mean	4	Malat1_CRISPRa,Tomato_control	-0.39999999999999997	0.75	exact/24	0.39999999999999997	0.75	-0.6666666666666666	0.5	exact/24	0.4	0.6666666666666669	-0.3999999999999999	-0.6666666666666672	0.2666666666666668	
GSE295824	T_frac_mean	tacstd2_mean	cldn4_mean	16	LN2A,PTEN,SH,p53	-0.6	0.013997200559888023	mc/5000	0.5	0.05538892221555689	-0.47513018282438685	0.08098380323935213	mc/5000	0.5	-0.23529411764705868	-0.6	-0.48235294117647065	-0.11764705882352934	
GSE179501	IFN_mean	tacstd2_mean	cldn4_mean	4	Non-Restored,Restored	-0.39999999999999997	0.75	exact/24	-0.19999999999999998	0.9166666666666666	-0.40824829046386296	0.8333333333333334	exact/24	-0.19999999999999998	-0.0833333333333334	-0.4000000000000001	-0.41666666666666663	0.016666666666666677	
GSE201247	IFN_mean	tacstd2_mean	cldn4_mean	4	ATTAC_Kras,Kras	0.7999999999999999	0.3333333333333333	exact/24	-0.7999999999999999	0.3333333333333333	0.8728715609439694	0.3333333333333333	exact/24	-0.7999999999999999	0.6666666666666663	0.8000000000000002	1.3333333333333328	-0.533333333333333	
