gene	layer	metric	value	rank	n	note
CLDN4	concordant4	krt_partial_rho_pct_vs_tnk	-0.478	1	65	lead; I2=0%; calib to locked -0.531
CLDN7	concordant4	krt_partial_rho_pct_vs_tnk	-0.352	2	65	perm vs CLDN4 p=0.35
CLDN3	concordant4	krt_partial_rho_pct_vs_tnk	-0.346	3	65	
CDH1	concordant4	krt_partial_rho_pct_vs_tnk	-0.277	4	65	
OCLN	concordant4	krt_partial_rho_pct_vs_tnk	-0.157	5	65	
F11R	concordant4	krt_partial_rho_pct_vs_tnk	-0.070	6	65	perm vs CLDN4 p=0.040
CDH1	cosmx	q4q1_cd8nk_ratio_50um	0.786	1	8sections	8/8 and 5/5 exclusion
CLDN4	cosmx	q4q1_cd8nk_ratio_50um	0.800	2	8sections	4/8 only; locked 0.36/0.52 not replaced
CLDN3	cosmx	q4q1_cd8nk_ratio_50um		OFF		off 960 panel
CLDN7	cosmx	q4q1_cd8nk_ratio_50um		OFF		off 960 panel
OCLN	cosmx	q4q1_cd8nk_ratio_50um		OFF		off 960 panel
F11R	cosmx	q4q1_cd8nk_ratio_50um		OFF		off 960 panel
F11R	tcga	krt_partial_rho_vs_cd8	-0.131	1	3945	lung+funnel meta
CDH1	tcga	krt_partial_rho_vs_cd8	-0.126	2	3945	
CLDN7	tcga	krt_partial_rho_vs_cd8	-0.109	3	3945	
OCLN	tcga	krt_partial_rho_vs_cd8	-0.101	4	3945	
CLDN4	tcga	krt_partial_rho_vs_cd8	-0.081	5	3945	not the bulk lead
CLDN3	tcga	krt_partial_rho_vs_cd8	-0.060	6	3945	
