gene	mode	radius_um	section	donor	usable	n_high	n_low	mean_high	mean_low	delta	ratio
CLDN4	q4_q1	50	LUAD-5 R1	Lung5	True	4460	5226	0.2538116591928251	0.1953693073096058	0.05844235188321931	1.299137836377771
CLDN4	q4_q1	50	LUAD-5 R2	Lung5	True	4485	5537	0.24570791527313265	0.20010836192884232	0.04559955334429033	1.2278743022268372
CLDN4	q4_q1	50	LUAD-5 R3	Lung5	True	3974	5908	0.26446904881731254	0.19515910629654706	0.06930994252076547	1.3551458286319882
CLDN4	q4_q1	50	LUSC-6	Lung6	True	16323	49873	0.14954358880107824	0.13089246686583922	0.018651121935239018	1.1424919430570122
CLDN4	q4_q1	50	LUAD-9 R1	Lung9	True	9749	11030	0.4292747974151195	0.7384406165004533	-0.30916581908533386	0.5813260915271661
CLDN4	q4_q1	50	LUAD-9 R2	Lung9	True	23771	36954	0.3195490303310757	0.6000974184120799	-0.2805483880810042	0.5324952591474824
CLDN4	q4_q1	50	LUAD-12	Lung12	True	4567	11007	0.290562732647252	0.5664577087308077	-0.2758949760835557	0.5129469123092707
CLDN4	q4_q1	50	LUAD-13	Lung13	True	6519	6853	1.4983893235158767	1.6855391799212025	-0.18714985640532578	0.8889673650813179
CLDN4	q4_q1	100	LUAD-5 R1	Lung5	True	4460	5226	1.623542600896861	1.2053195560658247	0.41822304483103623	1.346981049735989
CLDN4	q4_q1	100	LUAD-5 R2	Lung5	True	4485	5537	1.601783723522854	1.2107639515983384	0.39101977192451565	1.3229529351351497
CLDN4	q4_q1	100	LUAD-5 R3	Lung5	True	3974	5908	1.5770005032712633	1.0754908598510495	0.5015096434202138	1.4663076760035603
CLDN4	q4_q1	100	LUSC-6	Lung6	True	16323	49873	0.8592170556882925	0.7782367212720309	0.08098033441626162	1.1040561723737463
CLDN4	q4_q1	100	LUAD-9 R1	Lung9	True	9749	11030	2.588265463124423	3.5969174977334544	-1.0086520346090313	0.7195787684191759
CLDN4	q4_q1	100	LUAD-9 R2	Lung9	True	23771	36954	1.6643809684068824	2.5338528981977593	-0.8694719297908768	0.6568577716530815
CLDN4	q4_q1	100	LUAD-12	Lung12	True	4567	11007	1.5585723669805123	2.4487144544380848	-0.8901420874575725	0.6364859586448447
CLDN4	q4_q1	100	LUAD-13	Lung13	True	6519	6853	7.184077312471238	7.535531883846491	-0.35145457137525327	0.9533603497679245
CLDN4	detected_absent	50	LUAD-5 R1	Lung5	True	12611	5226	0.2003013242407422	0.1953693073096058	0.0049320169311364015	1.0252445842136326
CLDN4	detected_absent	50	LUAD-5 R2	Lung5	True	12377	5537	0.19972529692170962	0.20010836192884232	-0.0003830650071326991	0.9980857121439587
CLDN4	detected_absent	50	LUAD-5 R3	Lung5	True	9985	5908	0.21632448673009513	0.19515910629654706	0.02116538043354807	1.1084519233316583
CLDN4	detected_absent	50	LUSC-6	Lung6	True	16323	49873	0.14954358880107824	0.13089246686583922	0.018651121935239018	1.1424919430570122
CLDN4	detected_absent	50	LUAD-9 R1	Lung9	True	27834	11030	0.4269957605805849	0.7384406165004533	-0.3114448559198684	0.5782398083737079
CLDN4	detected_absent	50	LUAD-9 R2	Lung9	True	57922	36954	0.2830876005662788	0.6000974184120799	-0.31700981784580107	0.4717360746449435
CLDN4	detected_absent	50	LUAD-12	Lung12	True	7260	11007	0.2630853994490358	0.5664577087308077	-0.3033723092817719	0.46443961375068754
CLDN4	detected_absent	50	LUAD-13	Lung13	True	19177	6853	1.605673463002555	1.6855391799212025	-0.07986571691864741	0.9526171103762886
CLDN4	detected_absent	100	LUAD-5 R1	Lung5	True	12611	5226	1.3371659662199666	1.2053195560658247	0.1318464101541419	1.1093870994547619
CLDN4	detected_absent	100	LUAD-5 R2	Lung5	True	12377	5537	1.3515391451886565	1.2107639515983384	0.1407751935903181	1.1162697265676598
CLDN4	detected_absent	100	LUAD-5 R3	Lung5	True	9985	5908	1.3213820731096646	1.0754908598510495	0.24589121325861507	1.2286316159792097
CLDN4	detected_absent	100	LUSC-6	Lung6	True	16323	49873	0.8592170556882925	0.7782367212720309	0.08098033441626162	1.1040561723737463
CLDN4	detected_absent	100	LUAD-9 R1	Lung9	True	27834	11030	2.6788100883811166	3.5969174977334544	-0.9181074093523378	0.7447516074719895
CLDN4	detected_absent	100	LUAD-9 R2	Lung9	True	57922	36954	1.5560926763578606	2.5338528981977593	-0.9777602218398986	0.6141211581243152
CLDN4	detected_absent	100	LUAD-12	Lung12	True	7260	11007	1.5578512396694215	2.4487144544380848	-0.8908632147686633	0.6361914664431166
CLDN4	detected_absent	100	LUAD-13	Lung13	True	19177	6853	7.58231214475674	7.535531883846491	0.046780260910249005	1.0062079573985387
CDH1	q4_q1	50	LUAD-5 R1	Lung5	True	4461	6196	0.17574534857655233	0.22821174951581666	-0.05246640093926433	0.7700977226169153
CDH1	q4_q1	50	LUAD-5 R2	Lung5	True	4479	6550	0.1596338468408127	0.22732824427480916	-0.06769439743399647	0.7022173920801364
CDH1	q4_q1	50	LUAD-5 R3	Lung5	True	3976	6965	0.18963782696177062	0.21493180186647523	-0.025293974904704614	0.8823162757439762
CDH1	q4_q1	50	LUSC-6	Lung6	True	16590	24504	0.12839059674502712	0.16711557296767873	-0.038724976222651614	0.7682742814750049
CDH1	q4_q1	50	LUAD-9 R1	Lung9	True	7511	31353	0.4207162827852483	0.5380665327081938	-0.11735024992294552	0.7819038301224593
CDH1	q4_q1	50	LUAD-9 R2	Lung9	True	13297	81579	0.27336993306760926	0.42827198176001174	-0.15490204869240248	0.6383091696640476
CDH1	q4_q1	50	LUAD-12	Lung12	True	4570	12757	0.27943107221006563	0.5230853648977032	-0.24365429268763755	0.5341978402793058
CDH1	q4_q1	50	LUAD-13	Lung13	True	6509	14587	1.522200030726686	1.678617947487489	-0.15641791676080286	0.9068174405051935
CDH1	q4_q1	100	LUAD-5 R1	Lung5	True	4461	6196	1.1678995740865277	1.4254357650096836	-0.25753619092315594	0.8193280979438549
CDH1	q4_q1	100	LUAD-5 R2	Lung5	True	4479	6550	1.1388702835454343	1.4022900763358779	-0.2634197927904436	0.81215028385657
CDH1	q4_q1	100	LUAD-5 R3	Lung5	True	3976	6965	1.1788229376257546	1.2271356783919598	-0.048312740766205176	0.9606296666155821
CDH1	q4_q1	100	LUSC-6	Lung6	True	16590	24504	0.780952380952381	0.9402954619653934	-0.15934308101301242	0.8305393491105917
CDH1	q4_q1	100	LUAD-9 R1	Lung9	True	7511	31353	2.6833976833976836	3.0007016872388608	-0.3173040038411772	0.8942567316202801
CDH1	q4_q1	100	LUAD-9 R2	Lung9	True	13297	81579	1.5368128149206588	2.0021451599063482	-0.46533234498568943	0.7675831132007154
CDH1	q4_q1	100	LUAD-12	Lung12	True	4570	12757	1.6789934354485776	2.282825115622795	-0.6038316801742176	0.7354892952413126
CDH1	q4_q1	100	LUAD-13	Lung13	True	6509	14587	7.217084037486557	7.661959278809899	-0.44487524132334233	0.9419371436032425
CDH1	detected_absent	50	LUAD-5 R1	Lung5	True	11641	6196	0.18323168112705093	0.22821174951581666	-0.044980068388765726	0.8029020482766673
CDH1	detected_absent	50	LUAD-5 R2	Lung5	True	11364	6550	0.18400211193241817	0.22732824427480916	-0.043326132342390994	0.8094115736449556
CDH1	detected_absent	50	LUAD-5 R3	Lung5	True	8928	6965	0.20340501792114696	0.21493180186647523	-0.011526783945328273	0.9463700399604467
CDH1	detected_absent	50	LUSC-6	Lung6	True	41692	24504	0.11690492180754102	0.16711557296767873	-0.05021065116013772	0.6995453489553077
CDH1	detected_absent	50	LUAD-9 R1	Lung9	True	7511	31353	0.4207162827852483	0.5380665327081938	-0.11735024992294552	0.7819038301224593
CDH1	detected_absent	50	LUAD-9 R2	Lung9	True	13297	81579	0.27336993306760926	0.42827198176001174	-0.15490204869240248	0.6383091696640476
CDH1	detected_absent	50	LUAD-12	Lung12	True	5510	12757	0.2671506352087114	0.5230853648977032	-0.2559347296889918	0.5107209131361504
CDH1	detected_absent	50	LUAD-13	Lung13	True	11443	14587	1.5605173468496023	1.678617947487489	-0.11810060063788663	0.9296441451643856
CDH1	detected_absent	100	LUAD-5 R1	Lung5	True	11641	6196	1.230993900867623	1.4254357650096836	-0.19444186414206066	0.863591282809759
CDH1	detected_absent	100	LUAD-5 R2	Lung5	True	11364	6550	1.2536958817317845	1.4022900763358779	-0.1485941946040934	0.8940346244249524
CDH1	detected_absent	100	LUAD-5 R3	Lung5	True	8928	6965	1.2321908602150538	1.2271356783919598	0.005055181823093946	1.0041194970630454
CDH1	detected_absent	100	LUSC-6	Lung6	True	41692	24504	0.7146934663724456	0.9402954619653934	-0.2256019955929478	0.7600732910893802
CDH1	detected_absent	100	LUAD-9 R1	Lung9	True	7511	31353	2.6833976833976836	3.0007016872388608	-0.3173040038411772	0.8942567316202801
CDH1	detected_absent	100	LUAD-9 R2	Lung9	True	13297	81579	1.5368128149206588	2.0021451599063482	-0.46533234498568943	0.7675831132007154
CDH1	detected_absent	100	LUAD-12	Lung12	True	5510	12757	1.6589836660617059	2.282825115622795	-0.6238414495610893	0.7267239416231435
CDH1	detected_absent	100	LUAD-13	Lung13	True	11443	14587	7.452765883072621	7.661959278809899	-0.20919339573727846	0.9726971407540851
