score	adjustment	gene	dataset	n	rho	p
pct	none	CLDN4	GSE123902	13	-0.6593406593406593	0.01422557851145672
pct	none	CLDN4	GSE131907	21	-0.5220779220779221	0.015195754492505697
pct	none	CLDN4	GSE205335	22	-0.43534726143421804	0.042861326301676786
pct	none	CLDN4	GSE189357	9	-0.6	0.08762282904140266
pct	none	CLDN3	GSE123902	13	-0.6153846153846153	0.025167116551899352
pct	none	CLDN3	GSE131907	21	-0.5558441558441559	0.008888714088043426
pct	none	CLDN3	GSE205335	22	-0.1394692264257482	0.5359025820314616
pct	none	CLDN3	GSE189357	9	-0.2833333333333333	0.46003032896572094
pct	none	CLDN7	GSE123902	13	-0.7197802197802198	0.005536115775787645
pct	none	CLDN7	GSE131907	21	-0.5792207792207792	0.005931730203525615
pct	none	CLDN7	GSE205335	22	0.14737436476566912	0.5127986614526022
pct	none	CLDN7	GSE189357	9	-0.3666666666666667	0.33173980143301396
pct	none	OCLN	GSE123902	13	-0.47802197802197804	0.09849011541638993
pct	none	OCLN	GSE131907	21	-0.24675324675324672	0.2808956712631201
pct	none	OCLN	GSE205335	22	0.1236589497459063	0.5835085034917986
pct	none	OCLN	GSE189357	9	-0.4666666666666666	0.20538635110581238
pct	none	F11R	GSE123902	13	-0.39560439560439564	0.18088916310493963
pct	none	F11R	GSE131907	21	-0.26103896103896107	0.25306481196664377
pct	none	F11R	GSE205335	22	0.008469791078486732	0.9701593779567723
pct	none	F11R	GSE189357	9	-0.18333333333333335	0.6368198117628938
pct	none	CDH1	GSE123902	13	-0.8076923076923077	0.000839160009727425
pct	none	CDH1	GSE131907	21	-0.2558441558441559	0.2629729422417255
pct	none	CDH1	GSE205335	22	0.07396950875211745	0.743558799033371
pct	none	CDH1	GSE189357	9	-0.5	0.17047066078705253
pct	KRT	CLDN4	GSE123902	13	-0.29183826491865406	0.3573598897072445
pct	KRT	CLDN4	GSE131907	21	-0.5142344286973737	0.020360796495913887
pct	KRT	CLDN4	GSE205335	22	-0.4843019293348363	0.026096362101390408
pct	KRT	CLDN4	GSE189357	9	-0.61723647109031	0.10302959639165575
pct	KRT	CLDN3	GSE123902	13	-0.36734370863149957	0.24012371972810487
pct	KRT	CLDN3	GSE131907	21	-0.5548788767235384	0.011104970344724893
pct	KRT	CLDN3	GSE205335	22	-0.16700794653603668	0.4693302606898193
pct	KRT	CLDN3	GSE189357	9	-0.10575650032266079	0.8031801346164289
pct	KRT	CLDN7	GSE123902	13	-0.40911285350414067	0.18664555012352546
pct	KRT	CLDN7	GSE131907	21	-0.6576276051079551	0.0016255931239793778
pct	KRT	CLDN7	GSE205335	22	0.08599048946319328	0.7109234191209648
pct	KRT	CLDN7	GSE189357	9	-0.3403876009173574	0.409357902486185
pct	KRT	OCLN	GSE123902	13	-0.3492639269208165	0.2658035980758381
pct	KRT	OCLN	GSE131907	21	-0.20818211570523654	0.37843787138917917
pct	KRT	OCLN	GSE205335	22	0.06805341640882485	0.769443026124998
pct	KRT	OCLN	GSE189357	9	-0.3993615319154359	0.32700520673486644
pct	KRT	F11R	GSE123902	13	0.1276843699237667	0.6925077983906933
pct	KRT	F11R	GSE131907	21	-0.23083756138695566	0.3274934545327949
pct	KRT	F11R	GSE205335	22	-0.016749358241122583	0.9425542192104038
pct	KRT	F11R	GSE189357	9	-0.05520660221374534	0.896697749754652
pct	KRT	CDH1	GSE123902	13	-0.6262881289598099	0.029341584939223793
pct	KRT	CDH1	GSE131907	21	-0.21590579902379853	0.3605923714071916
pct	KRT	CDH1	GSE205335	22	-0.009445893756634604	0.9675855718880255
pct	KRT	CDH1	GSE189357	9	-0.4859197859530978	0.2221593592649771
mean	none	CLDN4	GSE123902	13	-0.6538461538461539	0.015348516732105506
mean	none	CLDN4	GSE131907	21	-0.39610389610389607	0.07547637795047207
mean	none	CLDN4	GSE205335	22	-0.16996047430830044	0.4495416643645407
mean	none	CLDN4	GSE189357	9	-0.5166666666666667	0.15439012098622593
mean	none	CLDN3	GSE123902	13	-0.5549450549450549	0.04900449559833119
mean	none	CLDN3	GSE131907	21	-0.4766233766233766	0.02892832768335753
mean	none	CLDN3	GSE205335	22	-0.07961603613777528	0.724692680174392
mean	none	CLDN3	GSE189357	9	-0.21666666666666667	0.5755148957119253
mean	none	CLDN7	GSE123902	13	-0.7912087912087913	0.0012750239017411222
mean	none	CLDN7	GSE131907	21	-0.5311688311688313	0.013221701602104037
mean	none	CLDN7	GSE205335	22	0.2682100508187465	0.22748984194855948
mean	none	CLDN7	GSE189357	9	-0.16666666666666669	0.6682310400715038
mean	none	OCLN	GSE123902	13	-0.4505494505494505	0.1223318876780358
mean	none	OCLN	GSE131907	21	-0.22857142857142856	0.31896739880566105
mean	none	OCLN	GSE205335	22	0.2207792207792208	0.32346910590878875
mean	none	OCLN	GSE189357	9	-0.3	0.43284532670948284
mean	none	F11R	GSE123902	13	-0.40659340659340654	0.16797834614789608
mean	none	F11R	GSE131907	21	-0.1922077922077922	0.40388852727689917
mean	none	F11R	GSE205335	22	0.14172783738001132	0.5292524692456136
mean	none	F11R	GSE189357	9	0.0	1.0
mean	none	CDH1	GSE123902	13	-0.7912087912087913	0.0012750239017411222
mean	none	CDH1	GSE131907	21	-0.1753246753246753	0.4471597167322835
mean	none	CDH1	GSE205335	22	0.189158667419537	0.3991761294159495
mean	none	CDH1	GSE189357	9	-0.3	0.43284532670948284
mean	KRT	CLDN4	GSE123902	13	-0.2702191531643305	0.39564099007089815
mean	KRT	CLDN4	GSE131907	21	-0.3944357998035826	0.08525674737394712
