gene	mode	radius_um	n_usable_sections	mean_high	mean_low	ratio	delta	n_sections_neg	n_donors_neg	n_donors	sign_p_exclusion	wilcoxon_p	exclusion_8of8_5of5	status
CLDN4	q4_q1	50	8	0.4314135119992091	0.5390080207456722	0.8003842158088572	-0.10759450874646315	4	3	5	0.63671875	0.3125	False	SCORED
CLDN4	q4_q1	100	8	2.3321049992952907	2.548103477875379	0.9152316691784476	-0.21599847858008836	4	3	5	0.63671875	0.546875	False	SCORED
CLDN4	detected_absent	50	8	0.41809211503651	0.5390080207456722	0.7756695613881863	-0.12091590570916222	5	3	5	0.36328125	0.25	False	SCORED
CLDN4	detected_absent	100	8	2.280546298671465	2.548103477875379	0.894997522068058	-0.267557179203914	3	2	5	0.85546875	0.7421875	False	SCORED
CDH1	q4_q1	50	8	0.3936406172392215	0.5007036494347722	0.7861748514986647	-0.10706303219555069	8	5	5	0.00390625	0.0078125	True	SCORED
CDH1	q4_q1	100	8	2.172854143432947	2.4928485279101023	0.8716350468572494	-0.31999438447715534	8	5	5	0.00390625	0.0078125	True	SCORED
CDH1	detected_absent	50	8	0.40116224133741607	0.5007036494347722	0.8011969591000083	-0.09954140809735612	8	5	5	0.00390625	0.0078125	True	SCORED
CDH1	detected_absent	100	8	2.220441769579947	2.4928485279101023	0.8907247049789545	-0.27240675833015526	7	5	5	0.03515625	0.015625	False	SCORED
CLDN3	q4_q1	50	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
CLDN3	q4_q1	100	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
CLDN3	detected_absent	50	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
CLDN3	detected_absent	100	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
CLDN7	q4_q1	50	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
CLDN7	q4_q1	100	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
CLDN7	detected_absent	50	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
CLDN7	detected_absent	100	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
OCLN	q4_q1	50	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
OCLN	q4_q1	100	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
OCLN	detected_absent	50	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
OCLN	detected_absent	100	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
F11R	q4_q1	50	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
F11R	q4_q1	100	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
F11R	detected_absent	50	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
F11R	detected_absent	100	0	nan	nan	nan	nan	0	0	0	nan	nan	False	OFF_PANEL
