gene	expression	test	stratum	endpoint	n	rho	p	note	n_nmpr	n_mpr	delta	method
TACSTD2	epithelial_mean	spearman	all_post	CD8 fraction	12	-0.23076923076923078	0.470531995381542					
TACSTD2	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	CD8 fraction	12	-0.268137530882792	0.39943272875583197					
TACSTD2	epithelial_mean	spearman	all_post	CD8+NK fraction	12	-0.18181818181818185	0.5717012385276553					
TACSTD2	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	CD8+NK fraction	12	-0.2142271689412531	0.5037566211587924					
TACSTD2	epithelial_mean	spearman	all_post	NK fraction	12	0.2937062937062937	0.3541476412329215					
TACSTD2	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	NK fraction	12	0.29023539240257507	0.3601284157454879					
TACSTD2	epithelial_mean	spearman	all_post	CD8 within T/NK	12	0.006993006993006993	0.9827917689028476					
TACSTD2	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	CD8 within T/NK	12	0.006030315271167747	0.9851604905361563					
TACSTD2	epithelial_mean	spearman	all_post	CD8 cytotoxicity	12	0.22377622377622378	0.4844516614553987					
TACSTD2	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	CD8 cytotoxicity	12	0.22074933745029368	0.49053421045526996					
TACSTD2	epithelial_mean	spearman	all_post	T/NK cytotoxicity	12	0.0979020979020979	0.7621216559962992					
TACSTD2	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	T/NK cytotoxicity	12	0.10329745933461108	0.7493735174044701					
TACSTD2	epithelial_mean	NMPR_vs_MPR	all_post	MPR	12		0.1090909090909091		8.0	4.0	0.3655475974082947	exact
TACSTD2	epithelial_mean	quartile_top3_vs_bottom3	all_post	CD8 fraction	6		0.7	n=3 vs 3; minimum two-sided exact P is 0.10			-0.09738661693094999	exact
TACSTD2	epithelial_mean	quartile_top3_vs_bottom3	all_post	CD8 cytotoxicity	6		0.7	n=3 vs 3; minimum two-sided exact P is 0.10			0.19515397665597067	exact
TACSTD2	epithelial_mean	quartile_top3_vs_bottom3	all_post	MPR	6		1.0	top MPR 0/3 vs bottom 1/3; OR=0; minimum informative P is large at n=3				fisher_exact
TACSTD2	epithelial_mean	spearman	Adeno	CD8 fraction	6	0.2	0.7040000000000001					
TACSTD2	epithelial_mean	NMPR_vs_MPR	Adeno	MPR	6		1.0	descriptive stratum	4.0	2.0	-0.1927727460861206	exact
TACSTD2	epithelial_mean	spearman	Squamous	CD8 fraction	6	-0.3714285714285715	0.4684781341107872					
TACSTD2	epithelial_mean	NMPR_vs_MPR	Squamous	MPR	6		0.13333333333333333	descriptive stratum	4.0	2.0	0.8233292400836945	exact
CLDN4	epithelial_mean	spearman	all_post	CD8 fraction	12	-0.04895104895104895	0.8799185788786748					
CLDN4	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	CD8 fraction	12	-0.07322602802511534	0.8210774757207484					
CLDN4	epithelial_mean	spearman	all_post	CD8+NK fraction	12	-0.10489510489510491	0.7456094809807079					
CLDN4	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	CD8+NK fraction	12	-0.1308555271465344	0.6852125136492822					
CLDN4	epithelial_mean	spearman	all_post	NK fraction	12	-0.055944055944055944	0.8628980736949713					
CLDN4	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	NK fraction	12	-0.06061350955871001	0.8515622436765705					
CLDN4	epithelial_mean	spearman	all_post	CD8 within T/NK	12	-0.3636363636363637	0.24526500073077723					
CLDN4	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	CD8 within T/NK	12	-0.3652764200696764	0.24298266567217303					
CLDN4	epithelial_mean	spearman	all_post	CD8 cytotoxicity	12	-0.25874125874125875	0.41677476889913817					
CLDN4	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	CD8 cytotoxicity	12	-0.26319537048132285	0.4085081314297153					
CLDN4	epithelial_mean	spearman	all_post	T/NK cytotoxicity	12	-0.2867132867132868	0.36625146058358227					
CLDN4	epithelial_mean	partial_spearman_adj_epithelial_fraction	all_post	T/NK cytotoxicity	12	-0.28356709131477525	0.371766785371536					
CLDN4	epithelial_mean	NMPR_vs_MPR	all_post	MPR	12		1.0		8.0	4.0	0.06238353252410889	exact
CLDN4	epithelial_mean	quartile_top3_vs_bottom3	all_post	CD8 fraction	6		1.0	n=3 vs 3; minimum two-sided exact P is 0.10			-0.13372386238466713	exact
