Sample	B	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	NK	Neutrophil	Plasma	T	Unassigned
BD_immune01	37	11	584	24	47	1009	202	2011	318	463	35
BD_immune02	1897	6	106	7	7	125	99	234	51	2786	27
BD_immune03	847	9	767	24	74	611	405	121	1591	4618	192
BD_immune04	438	11	145	33	64	1340	441	579	156	5156	35
BD_immune05	202	4	1484	21	9	229	81	74	273	732	4
BD_immune06	87	15	64	4	86	881	355	556	28	2564	9
BD_immune07	68	115	5076	276	152	1787	153	22	433	913	136
BD_immune08	181	33	189	468	198	627	136	183	734	3025	51
BD_immune09	135	3	271	20	14	908	240	54	155	3017	32
BD_immune10	67	7	205	75	29	1260	618	440	388	3411	143
BD_immune11	249	18	438	2	33	977	314	322	20	1371	15
BD_immune12	1220	2	481	3	73	785	101	2018	253	1272	25
BD_immune13	116	5	35	12	13	3518	77	1620	70	1266	21
BD_immune14	1681	36	186	17	59	400	229	181	102	2618	37
BD_immune15	366	22	544	11	53	3896	460	1612	33	1048	41
