gene	compartment	n_post_samples_ge5cells	median_pct_pos
TACSTD2	A3-malignant	7	66.875
TACSTD2	epithelial	12	80.7165948275862
TACSTD2	CD8/NK	12	1.2938615439932435
TACSTD2	T/NK lineage	12	0.477968339328755
CLDN4	A3-malignant	7	70.0
CLDN4	epithelial	12	85.46204816886879
CLDN4	CD8/NK	12	1.4495982085583323
CLDN4	T/NK lineage	12	0.6625113607378986
