gene	dropped	endpoint	rho	p
TACSTD2	P02	CD8 fraction	-0.30000000000000004	0.37008312228206763
TACSTD2	P02	CD8+NK fraction	-0.2545454545454546	0.45003657688882837
TACSTD2	P02	MPR	0.47226041555404663	0.04242424242424242
TACSTD2	P03	CD8 fraction	-0.18181818181818182	0.5926152128455
TACSTD2	P03	CD8+NK fraction	-0.19090909090909092	0.5739131682855213
TACSTD2	P03	MPR	0.20057964324951172	0.2787878787878788
TACSTD2	P04	CD8 fraction	-0.28181818181818186	0.40114489796047825
TACSTD2	P04	CD8+NK fraction	-0.28181818181818186	0.40114489796047825
TACSTD2	P04	MPR	0.2588347792625427	0.16363636363636364
TACSTD2	P06	CD8 fraction	-0.21818181818181823	0.5192482475549817
TACSTD2	P06	CD8+NK fraction	-0.16363636363636366	0.6306852146425356
TACSTD2	P06	MPR	0.5305155515670776	0.13333333333333333
TACSTD2	P07	CD8 fraction	0.0	1.0
TACSTD2	P07	CD8+NK fraction	0.06363636363636364	0.8525390725425217
TACSTD2	P07	MPR	0.2588347792625427	0.16363636363636364
TACSTD2	P09	CD8 fraction	-0.4090909090909091	0.21154501034209602
TACSTD2	P09	CD8+NK fraction	-0.3454545454545455	0.2980892209030385
TACSTD2	P09	MPR	0.2588347792625427	0.16363636363636364
TACSTD2	P10	CD8 fraction	-0.2545454545454546	0.45003657688882837
TACSTD2	P10	CD8+NK fraction	-0.20000000000000004	0.5554454421055853
TACSTD2	P10	MPR	0.47226041555404663	0.16363636363636364
TACSTD2	P11	CD8 fraction	-0.26363636363636367	0.43344073761161456
TACSTD2	P11	CD8+NK fraction	-0.20909090909090913	0.5372209352113227
TACSTD2	P11	MPR	0.5305155515670776	0.13333333333333333
TACSTD2	P12	CD8 fraction	-0.3090909090909091	0.35502843970150694
TACSTD2	P12	CD8+NK fraction	-0.2545454545454546	0.45003657688882837
TACSTD2	P12	MPR	0.47226041555404663	0.04242424242424242
TACSTD2	P13	CD8 fraction	-0.09090909090909091	0.7903727377532903
TACSTD2	P13	CD8+NK fraction	-0.009090909090909092	0.9788365001441937
TACSTD2	P13	MPR	0.2588347792625427	0.16363636363636364
TACSTD2	P14	CD8 fraction	-0.30000000000000004	0.37008312228206763
TACSTD2	P14	CD8+NK fraction	-0.2545454545454546	0.45003657688882837
TACSTD2	P14	MPR	0.20057964324951172	0.13333333333333333
TACSTD2	P15	CD8 fraction	-0.13636363636363638	0.6893090205863619
TACSTD2	P15	CD8+NK fraction	-0.06363636363636364	0.8525390725425217
TACSTD2	P15	MPR	0.47226041555404663	0.16363636363636364
CLDN4	P02	CD8 fraction	-0.06363636363636364	0.8525390725425217
CLDN4	P02	CD8+NK fraction	-0.07272727272727274	0.831716405381337
CLDN4	P02	MPR	-0.01837211847305298	0.7878787878787878
CLDN4	P03	CD8 fraction	0.05454545454545456	0.8734465775233149
CLDN4	P03	CD8+NK fraction	-0.045454545454545456	0.8944269969053026
CLDN4	P03	MPR	0.014790594577789307	0.7757575757575759
CLDN4	P04	CD8 fraction	-0.02727272727272728	0.9365584481926121
CLDN4	P04	CD8+NK fraction	-0.10909090909090911	0.7495085962341481
CLDN4	P04	MPR	0.14313918352127075	1.0
CLDN4	P06	CD8 fraction	-0.06363636363636364	0.8525390725425217
CLDN4	P06	CD8+NK fraction	-0.11818181818181818	0.7292847795197801
CLDN4	P06	MPR	0.10997647047042847	1.0
CLDN4	P07	CD8 fraction	0.05454545454545456	0.8734465775233149
CLDN4	P07	CD8+NK fraction	-0.009090909090909092	0.9788365001441937
CLDN4	P07	MPR	-0.01837211847305298	0.9272727272727272
CLDN4	P09	CD8 fraction	-0.16363636363636366	0.6306852146425356
CLDN4	P09	CD8+NK fraction	-0.22727272727272727	0.501535667604937
CLDN4	P09	MPR	-0.01837211847305298	0.9272727272727272
CLDN4	P10	CD8 fraction	0.11818181818181818	0.7292847795197801
CLDN4	P10	CD8+NK fraction	0.045454545454545456	0.8944269969053026
CLDN4	P10	MPR	0.14313918352127075	0.7878787878787878
CLDN4	P11	CD8 fraction	-0.06363636363636364	0.8525390725425217
CLDN4	P11	CD8+NK fraction	-0.1272727272727273	0.709214625773305
CLDN4	P11	MPR	0.10997647047042847	0.6303030303030304
CLDN4	P12	CD8 fraction	-0.20000000000000004	0.5554454421055853
CLDN4	P12	CD8+NK fraction	-0.27272727272727276	0.4171414371425311
CLDN4	P12	MPR	0.14313918352127075	0.7878787878787878
CLDN4	P13	CD8 fraction	0.018181818181818184	0.9576852410216187
CLDN4	P13	CD8+NK fraction	-0.009090909090909092	0.9788365001441937
CLDN4	P13	MPR	-0.01837211847305298	0.9272727272727272
CLDN4	P14	CD8 fraction	-0.1272727272727273	0.709214625773305
CLDN4	P14	CD8+NK fraction	-0.13636363636363638	0.6893090205863619
CLDN4	P14	MPR	0.014790594577789307	0.9212121212121214
CLDN4	P15	CD8 fraction	-0.1272727272727273	0.709214625773305
CLDN4	P15	CD8+NK fraction	-0.17272727272727276	0.6115423848512369
CLDN4	P15	MPR	0.14313918352127075	0.9272727272727272
