subset	k_cohorts	n_patients	malig_score	immune	rho	p	rho_pctpos_vs_tnk	p_pctpos_vs_tnk	rho_mean_vs_cd8	p_mean_vs_cd8	I2	note	stouffer_z	stouffer_p	ci95_lo	ci95_hi
GSE207422_postICI	1	7	mean_log1p_cp10k	frac_tnk	0.28571428571428575	0.5345092286010406	0.07142857142857144	0.879048193148154	0.0	1.0	0.0	single-cohort Spearman; patient is the unit				
GSE207422_all_eligible	1	10	mean_log1p_cp10k	frac_tnk	-0.01818181818181818	0.9602404181286242	-0.16363636363636364	0.6514773427962428	-0.1515151515151515	0.6760651759978539	0.0	single-cohort Spearman; patient is the unit				
GSE205335_all	1	22	mean_log1p_cp10k	frac_tnk	-0.20045172219085267	0.3710825718233011	-0.43534726143421804	0.042861326301676765	-0.17786561264822137	0.42841247523808007	0.0	single-cohort Spearman; patient is the unit				
GSE205335_NSCLC	1	17	mean_log1p_cp10k	frac_tnk	-0.022058823529411766	0.9330304490530753	-0.2058823529411765	0.42791485314270766	-0.02450980392156863	0.9256077760199252	0.0	single-cohort Spearman; patient is the unit				
GSE179994	0	0	mean_log1p_cp10k	frac_tnk								single-cohort Spearman; patient is the unit				
combo_207422post_205335all	2	29	mean_log1p_cp10k	frac_tnk	-0.11622398037077308	0.57553338215685	-0.35653080740310994	0.07371252642730064			0.0	Primary ICI duo (179994 unusable). DL RE on Fisher-z. Includes 207422 post-ICI.	-0.5539249955416401	0.579630177972781	-0.48188756687161755	0.2839163480276132
combo_207422post_205335NSCLC	2	24	mean_log1p_cp10k	frac_tnk	0.04811280691381471	0.8381322934918936	-0.14551222031797037	0.5340934227876735			0.0	Sensitivity: drop SCLC/NUT from 205335. DL RE on Fisher-z.	0.2186971172178122	0.8268859947588747	-0.3917168362596635	0.4700436883160995
combo_207422all_205335all	2	32	mean_log1p_cp10k	frac_tnk	-0.15219844607352745	0.4341323777789292	-0.3673373449820741	0.049429931150476496			0.0	Sensitivity: 207422 includes treatment-naive biopsies. DL RE on Fisher-z.	-0.790485587326847	0.429244236055906	-0.49130405735076116	0.22697456033097507
