ligand	receptor	pathway	n_sender_high	n_receiver_high	ligand_mean_high	receptor_mean_high	ligand_frac_high	receptor_frac_high	cpdb_mean_score_high	pass_expr_prop_high	n_sender_low	n_receiver_low	ligand_mean_low	receptor_mean_low	ligand_frac_low	receptor_frac_low	cpdb_mean_score_low	pass_expr_prop_low	delta_high_minus_low	cohort	patient	sample	n_malig_high	n_malig_low	n_tnk	cldn4_threshold
CXCL9	CXCR3	T_recruit	373	4905	0.045794181525707245	0.4078793525695801	0.08847184986595175	0.21529051987767583	0.22683676704764366	False	373	4905	0.03873062878847122	0.4078793525695801	0.04825737265415549	0.21529051987767583	0.22330499067902565	False	0.0035317763686180115	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CXCL10	CXCR3	T_recruit	373	4905	0.07205331325531006	0.4078793525695801	0.05361930294906166	0.21529051987767583	0.23996633291244507	False	373	4905	0.06425411254167557	0.4078793525695801	0.07238605898123325	0.21529051987767583	0.23606673255562782	False	0.0038996003568172455	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CXCL11	CXCR3	T_recruit	373	4905	0.01681610941886902	0.4078793525695801	0.0160857908847185	0.21529051987767583	0.21234773099422455	False	373	4905	0.0028509260155260563	0.4078793525695801	0.010723860589812333	0.21529051987767583	0.20536513929255307	False	0.006982591701671481	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CCL5	CCR5	T_recruit	373	4905	0.11485142260789871	0.3933321237564087	0.22788203753351208	0.20795107033639143	0.2540917731821537	True	373	4905	0.0643317773938179	0.3933321237564087	0.12064343163538874	0.20795107033639143	0.2288319505751133	True	0.025259822607040405	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CCL3	CCR5	T_recruit	373	4905	0.013905213214457035	0.3933321237564087	0.040214477211796246	0.20795107033639143	0.20361866848543286	False	373	4905	0.025124812498688698	0.3933321237564087	0.045576407506702415	0.20795107033639143	0.2092284681275487	False	-0.005609799642115831	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CCL4	CCR5	T_recruit	373	4905	0.04927996173501015	0.3933321237564087	0.1447721179624665	0.20795107033639143	0.22130604274570942	True	373	4905	0.048828959465026855	0.3933321237564087	0.08579088471849866	0.20795107033639143	0.22108054161071777	False	0.0002255011349916458	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CCL5	CCR1	T_recruit	373	4905	0.11485142260789871	0.1041424348950386	0.22788203753351208	0.0581039755351682	0.10949692875146866	False	373	4905	0.0643317773938179	0.1041424348950386	0.12064343163538874	0.0581039755351682	0.08423710614442825	False	0.025259822607040405	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CXCL16	CXCR6	T_recruit	373	4905	0.34649568796157837	0.4344496726989746	0.5924932975871313	0.2234454638124363	0.3904726803302765	True	373	4905	0.24843795597553253	0.4344496726989746	0.40482573726541554	0.2234454638124363	0.34144381433725357	True	0.04902886599302292	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CCL19	CCR7	T_recruit	373	4905	0.0	0.13595739006996155	0.0	0.07054026503567788	0.06797869503498077	False	373	4905	0.0	0.13595739006996155	0.0	0.07054026503567788	0.06797869503498077	False	0.0	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CCL21	CCR7	T_recruit	373	4905	0.0	0.13595739006996155	0.0	0.07054026503567788	0.06797869503498077	False	373	4905	0.0003553036949597299	0.13595739006996155	0.002680965147453083	0.07054026503567788	0.06815634688246064	False	-0.00017765184747986495	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
CXCL13	CXCR5	T_recruit	373	4905	0.057456158101558685	0.08288078010082245	0.10723860589812333	0.044444444444444446	0.07016846910119057	False	373	4905	0.029978640377521515	0.08288078010082245	0.04825737265415549	0.044444444444444446	0.05642971023917198	False	0.013738758862018585	GSE207422	P03	BD_immune03	373	373	4905	1.0941064357757568
