sample_id,TACSTD2,CLDN4,CD8A
NSCLC378,115.25,233.86,10.81
NSCLC1104,343.78,293.98,0.73
NSCLC947,19.18,1.22,16.38
NSCLC990,0.52,0.12,0.56
NSCLC1203,83.65,200.01,1.43
NSCLC1327,189.9,205.41,11.95
NSCLC1401,8.24,3.49,6.65
NSCLC1155,446.11,119.76,3.68
NSCLC573,46.8,10.75,4.33
NSCLC825,267.55,475.61,0.44
NSCLC1528,161.16,146.68,11.78
NSCLC1508,410.49,225.02,13.99
NSCLC1708,363.14,105.24,14.59
NSCLC1352,298.73,85.13,0.52
NSCLC1066,326.73,128.66,6.42
NSCLC1017,73.84,40.09,8.32
NSCLC1358,193.44,308.13,6.48
NSCLC1510,89.82,473.69,18.64
NSCLC1164,106.67,437.67,2.49
NSCLC1412,298.31,456.27,7.81
NSCLC1145,61.83,240.07,25.58
NSCLC1425,490.93,204.42,8.34
NSCLC1554,291.25,126.46,4.53
NSCLC1619,42.39,59.01,1.87
NSCLC1809,225.81,528.09,6.07
NSCLC1873,22.6,149.57,3.66
NSCLC1079,238.55,27.99,1.37
