sample_id,TACSTD2,CLDN4,CD8A
13003488,26.9306,12.7984,0.763
13013321,80.9081,35.3443,4.4004
14000702,197.657,21.8156,4.3817
14008707,50.7835,9.3446,0.7936
14014368,49.5851,12.3871,0.0
15000683,67.8017,14.534,2.194
15001489,79.2986,16.2997,4.9979
15012306,105.23,14.4773,7.5488
16000827,8.2634,14.1739,6.6636
16007195,142.955,19.7796,16.0482
16007916,43.6276,38.9054,2.38
16008059,19.0229,4.0603,2.9543
16008668,92.3195,17.0744,14.8394
1606014,7.4516,16.1912,1.7967
N15-146v-RNA-121121,238.785,28.2335,7.9216
N15-149-RNA-134135,32.1743,17.1151,9.6001
N15-150-RNA-121123,31.4841,112.738,7.6956
N15-151-RNA-121124,2.6368,13.3009,20.6202
N15-156-RNA-121126,26.2503,53.2364,11.465
N15-158-RNA-116124,4.2059,6.158,4.2776
N15-161-RNA-121128,561.635,179.6355,1.6743
N15-171-RNA-121133,0.0,3.4666,0.0
N15-172-RNA-121134,24.0023,82.357,0.0
N15-173-RNA-116117,101.697,25.1166,11.3708
N15-178-RNA-116122,32.8219,28.5506,11.3037
N15-180-RNA-121136,94.4715,28.1111,19.3258
N15-183-RNA-121129,59.9904,52.0993,2.154
N15-197-RNA-121130,425.63,108.9833,0.6047
N15-201-RNA-121137,1.1714,7.711,1.8446
N15-205-RNA-116129,97.8162,72.4585,5.2264
N15-220-RNA-116118,57.2332,32.6211,2.2253
N15-243-RNA-116125,124.62,20.5824,7.1764
N15-369-RNA-121138,122.43,80.4192,1.8147
N15-379-RNA-134152,79.2209,127.7917,9.4255
N15-443-RNA-116119,71.7036,15.1978,5.8661
N15-479-RNA-116127,203.689,10.0507,2.326
N15-504-RNA-116126,165.647,30.7199,14.2403
N16-135-RNA-116123,40.6569,15.9249,0.0
N16-159-RNA-116131,39.5031,34.7148,6.5508
N16-309-RNA-121159,434.776,13.0483,2.0456
N16-45-RNA-116132,61.1058,9.1185,3.1665
N16-77-RNA-116120,112.829,21.0718,3.1272
N16-81-RNA-116121,77.2691,14.0108,13.5754
