family	row	interaction_name	ligand	receptor	axis	thesis_expect	split	n_units	n_gse123902	n_gse131907	n_gse205335	n_gse189357	mean_delta	median_delta	se	wilcoxon_p	meta_p	I2	n_pos	n_neg	observed_direction	agrees_thesis
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	q4q1	44	6	13	16	9	0.187791246046522	0.13588787950708614	0.023522347731182783	1.1368683772161603e-13	1.4221274498255083e-15	1.6524249668839537e-14	44	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	q4q1	55	10	19	18	8	0.12673648014866104	0.09283573116588499	0.016266257898607406	1.1076151546135735e-10	6.628499639750933e-15	2.6316397620744445e-14	55	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	q4q1	42	6	15	17	4	0.10074496272734793	0.08755728036487227	0.013968937036370012	4.547473508864641e-13	5.51073116402856e-13	0.0	42	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	q4q1	32	2	10	16	4	0.08238543068204277	0.05736464570190941	0.013496320876330136	4.656612873077393e-10	1.0325989415291746e-09	1.1460366705808067e-14	32	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	q4q1	27	8	9	9	1	0.022867260572259296	0.0031840149405998825	0.010563227625946683	0.005417863302589662	0.030403110663222686	0.0	21	5	high>low	yes
barrier_inhibitory	pair	LGALS9_CD44	LGALS9	CD44	LGALS9	high>low	q4q1	49	11	16	17	5	0.0969753502836649	0.11188214202867267	0.01831513445796077	1.0181070422277116e-06	1.1913334163951568e-07	4.440892098500624e-14	40	9	high>low	yes
barrier_inhibitory	pair	LGALS9_CD45	LGALS9	PTPRC	LGALS9	high>low	q4q1	48	11	16	16	5	0.1238599271534009	0.12890902584547212	0.022273144143661702	7.187659463170348e-07	2.6830411408038003e-08	1.5117930548087235e-14	39	9	high>low	yes
barrier_inhibitory	FAMILY_AGGREGATE	FAMILY:barrier_inhibitory	CDH1|F11R|LGALS9|NECTIN2	T/NK	family	high>low	q4q1	61	12	20	20	9	0.09871573702282255	0.0833604279309748	0.010173291322408818	3.9869371699269544e-11	2.9155316561126228e-22	0.0	57	4	high>low	yes
barrier_inhibitory	pair	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	F11R	high>low	pctpos	43	5	12	17	9	0.21865077764006605	0.19224980882418774	0.022402521788488953	2.2737367544323206e-13	1.6699601233051162e-22	1.6917684184764287e-14	43	0	high>low	yes
barrier_inhibitory	pair	NECTIN2_TIGIT	NECTIN2	TIGIT	NECTIN2-TIGIT	high>low	pctpos	53	9	17	19	8	0.14147045568544087	0.11541317611657367	0.016546373250671213	2.386484752546066e-10	1.2315527585285398e-17	0.0	53	0	high>low	yes
barrier_inhibitory	pair	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	CDH1	high>low	pctpos	43	6	15	18	4	0.12027989443877672	0.08809444600544393	0.015481412985198938	2.2737367544323206e-13	7.891490990848798e-15	1.6917684184764287e-14	43	0	high>low	yes
barrier_inhibitory	pair	CDH1_KLRG1	CDH1	KLRG1	CDH1	high>low	pctpos	33	2	10	17	4	0.09064022130253778	0.06581695793096747	0.014404451597067243	2.3283064365386963e-10	3.1236403225749357e-10	0.0	33	0	high>low	yes
barrier_inhibitory	pair	LGALS9_HAVCR2	LGALS9	HAVCR2	LGALS9	high>low	pctpos	26	7	9	9	1	0.033157900969651065	0.006098144760038707	0.014094580485121312	0.00035503938074694154	0.018646265488568122	0.0	22	2	high>low	yes
