cohort	patient_id	n_cells	n_mal	n_tnk	malig_def	both_compartments	q4q1_ok	q4q1_n_high	q4q1_n_low	pctpos_ok	pctpos_n_high	pctpos_n_low	median_ok	median_n_high	median_n_low	tertile_ok	tertile_n_high	tertile_n_low
GSE123902	LX255B	3886	228	1583	marker_malignant (epithelium proxy; author labels absent)	True	True	57.0	148.0	True	80.0	148.0	True	80.0	148.0	True	76.0	148.0
GSE123902	LX653	392	145	49	marker_malignant (epithelium proxy; author labels absent)	True	True	37.0	41.0	True	104.0	41.0	True	72.0	73.0	True	49.0	49.0
GSE123902	LX661	4566	117	3726	marker_malignant (epithelium proxy; author labels absent)	True	True	30.0	48.0	True	69.0	48.0	True	58.0	59.0	True	39.0	48.0
GSE123902	LX666	1316	786	177	marker_malignant (epithelium proxy; author labels absent)	True	True	197.0	258.0	True	528.0	258.0	True	393.0	393.0	True	262.0	262.0
GSE123902	LX675	3435	618	1336	marker_malignant (epithelium proxy; author labels absent)	True	True	155.0	424.0	True	194.0	424.0	True	194.0	424.0	True	618.0	424.0
GSE123902	LX676	4014	147	2606	marker_malignant (epithelium proxy; author labels absent)	True	True	37.0	85.0	True	62.0	85.0	True	62.0	85.0	True	49.0	85.0
GSE123902	LX679	2017	497	625	marker_malignant (epithelium proxy; author labels absent)	True	True	125.0	282.0	True	215.0	282.0	True	215.0	282.0	True	166.0	282.0
GSE123902	LX680	941	258	344	marker_malignant (epithelium proxy; author labels absent)	True	True	65.0	69.0	True	189.0	69.0	True	129.0	129.0	True	86.0	86.0
GSE123902	LX681	1630	1207	86	marker_malignant (epithelium proxy; author labels absent)	True	True	302.0	443.0	True	764.0	443.0	True	603.0	604.0	True	403.0	443.0
GSE123902	LX682	4092	421	2558	marker_malignant (epithelium proxy; author labels absent)	True	True	421.0	342.0	True	79.0	342.0	True	79.0	342.0	True	421.0	342.0
GSE123902	LX684	378	173	92	marker_malignant (epithelium proxy; author labels absent)	True	True	44.0	47.0	True	126.0	47.0	True	86.0	87.0	True	58.0	58.0
GSE123902	LX699	2671	46	2263	marker_malignant (epithelium proxy; author labels absent)	True	True	46.0	39.0	False			False			True	46.0	39.0
GSE123902	LX701	788	90	322	marker_malignant (epithelium proxy; author labels absent)	True	True	90.0	80.0	True	10.0	80.0	True	10.0	80.0	True	90.0	80.0
GSE131907	BRONCHO_11	3178	203	809	author Cell_subtype in {Malignant cells, tS1, tS2, tS3}	True	True	51.0	51.0	True	164.0	39.0	True	101.0	102.0	True	68.0	68.0
GSE131907	BRONCHO_58	2813	460	1546	author Cell_subtype in {Malignant cells, tS1, tS2, tS3}	True	True	115.0	128.0	True	332.0	128.0	True	230.0	230.0	True	154.0	154.0
