cohort	patient_id	split	interaction_name	ligand	receptor	prob_high	prob_low	delta	detected	detected_high	detected_low	ligand_prop_high	ligand_prop_low	receptor_prop	n_mal_high	n_mal_low	n_tnk	n_mal
GSE123902	LX255B	q4q1	CCL5_CCR1	CCL5	CCR1	0.0	0.0	0.0	False	False	False	0.035087719559669495	0.020270269364118576	0.006948831491172314	57	148	1583	228
GSE123902	LX255B	q4q1	CCL5_CCR5	CCL5	CCR5	0.0	0.0	0.0	False	False	False	0.035087719559669495	0.020270269364118576	0.013897662982344627	57	148	1583	228
GSE123902	LX255B	q4q1	CXCL9_CXCR3	CXCL9	CXCR3	0.0	0.0	0.0	False	False	False	0.0	0.0	0.027163613587617874	57	148	1583	228
GSE123902	LX255B	q4q1	CXCL10_CXCR3	CXCL10	CXCR3	0.0	0.0	0.0	False	False	False	0.0	0.0	0.027163613587617874	57	148	1583	228
GSE123902	LX255B	q4q1	LGALS9_CD45	LGALS9	PTPRC	0.0	0.0	0.0	False	False	False	0.08771929889917374	0.06756756454706192	0.22425773739814758	57	148	1583	228
GSE123902	LX255B	q4q1	LGALS9_HAVCR2	LGALS9	HAVCR2	0.0	0.0	0.0	False	False	False	0.08771929889917374	0.06756756454706192	0.02526847831904888	57	148	1583	228
GSE123902	LX255B	q4q1	LGALS9_CD44	LGALS9	CD44	0.0	0.0	0.0	False	False	False	0.08771929889917374	0.06756756454706192	0.13960833847522736	57	148	1583	228
GSE123902	LX255B	q4q1	CDH1_ITGAE_ITGB7	CDH1	ITGAE_ITGB7	0.0	0.0	0.0	False	False	False	0.28070175647735596	0.04054053872823715	0.013897662982344627	57	148	1583	228
GSE123902	LX255B	q4q1	CDH1_KLRG1	CDH1	KLRG1	0.0	0.0	0.0	False	False	False	0.28070175647735596	0.04054053872823715	0.01200252678245306	57	148	1583	228
GSE123902	LX255B	q4q1	JAM1_ITGAL_ITGB2	F11R	ITGAL_ITGB2	0.0	0.0	0.0	False	False	False	0.45614033937454224	0.054054055362939835	0.018951358273625374	57	148	1583	228
GSE123902	LX255B	q4q1	HLA-A_CD8A	HLA-A	CD8A	0.0	0.0	0.0	False	False	False	0.9473684430122375	0.6486486196517944	0.08022741973400116	57	148	1583	228
