source	combo	row	split	n	n_note	delta	p	metric	note
PR #424	GSE131907+GSE205335	NECTIN2–TIGIT	median	39	26/13	0.094	3.6e-12	median ΔP	given; not re-audited
PR #474	GSE123902+GSE205335	FAMILY barrier	median	32	11/21	0.0868	2e-08	mean ΔP	given; not re-audited
this	GSE123902+GSE131907+GSE205335+GSE189357	FAMILY barrier	q4q1	61	12/20/20/9	0.09871573702282255	3.9869371699269544e-11	mean ΔP	new four-set pooled ligand call
