gene	logFC	stat	p
TACSTD2	3.555873738041132	5.406611584661377	6.422821934434299e-08
CLDN1	1.3529190818626837	1.8347991862405824	0.06653544925125177
CLDN3	0.684608464458224	1.3427844743695758	0.17934177207959046
CLDN4	1.5453101530912212	3.0878899147157686	0.0020158313001535752
CLDN7	0.7067081512269078	2.145469901538728	0.03191529541296689
OCLN	0.9916196935716466	2.4001309303418954	0.01638920852346577
F11R	0.3758922265818019	1.6469066433693471	0.09957723619105055
TJP1	0.4599336261847011	1.9485612460336341	0.051347844004114004
CDH1	0.9170737249702552	2.458414993802955	0.013955180968400782
EPCAM	0.5491953935863234	1.6439163135297583	0.100193489929223
KRT5	1.8370859528984869	1.122561931635921	0.2616235908999831
KRT6A	1.5629917328860339	0.8572277548622637	0.3913190263522385
KRT8	1.00283820362663	2.046186268682815	0.04073804779968468
KRT17	2.463961219207291	1.9046972296360358	0.05681943933499137
KRT18	0.8063892372185739	1.3755574940674318	0.16895867410236542
KRT19	1.9551504721799886	3.5842808131159747	0.00033800827721165456
