term	n_overlap	n_set_in_bg	n_query	n_bg	enrichment	p	overlap_genes	fdr	rank
HALLMARK_APICAL_JUNCTION	9	194	100	24082	11.172061855670103	1.2001715884734008e-07	ADAM9,CDH3,ICAM1,ICAM4,LAMC2,MPZL2,NECTIN4,PTK2,TGFBI	8.161166801619124e-06	1
GOBP_CELL_CELL_ADHESION	15	933	100	24082	3.871704180064309	6.953717403767197e-06	ADAM8,ADAM9,BMP4,CDH3,DSC2,DSG2,ERBB2,ICAM1,ICAM4,MPZL2,NECTIN4,NT5E,PTK2,RAP2B,TRPV4	0.0002364263917280847	2
GOBP_KERATINIZATION	4	44	100	24082	21.892727272727274	3.344448099753782e-05	CDH3,EVPL,KRT86,PPL	0.0007580749026108572	3
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	4	50	100	24082	19.265600000000003	5.566554474317198e-05	ADAM9,EPHA2,EVPL,OVOL1	0.0009463142606339237	4
HALLMARK_INFLAMMATORY_RESPONSE	6	194	100	24082	7.448041237113403	0.0001609075730577248	ADORA2B,AHR,GNA15,ICAM1,ICAM4,LY6E	0.0019280540785403695	5
HALLMARK_GLYCOLYSIS	6	196	100	24082	7.372040816326531	0.00017012241869473848	ADORA2B,B3GNT3,DSC2,GPR87,NT5E,TGFBI	0.0019280540785403695	6
HALLMARK_APOPTOSIS	5	160	100	24082	7.525625	0.0005508189784283172	EMP1,ERBB2,GNA15,GPX3,PTK2	0.004841595331704907	7
GOBP_KERATINOCYTE_DIFFERENTIATION	3	39	100	24082	18.524615384615387	0.0005695994507888126	ADAM9,EPHA2,EVPL	0.004841595331704907	8
HALLMARK_P53_PATHWAY	5	195	100	24082	6.174871794871795	0.0013367261614506132	CDKN2B,EPHA2,PTPN14,RAP2B,TP63	0.0084693884953309	9
HALLMARK_IL2_STAT5_SIGNALING	5	197	100	24082	6.112182741116751	0.001398317135821042	AHR,EMP1,HOPX,NT5E,SPRED2	0.0084693884953309	10
HALLMARK_KRAS_SIGNALING_UP	5	197	100	24082	6.112182741116751	0.001398317135821042	ADAM8,ALDH1A3,EMP1,G0S2,MPZL2	0.0084693884953309	11
GOBP_CELL_CELL_JUNCTION_ORGANIZATION	5	200	100	24082	6.0205	0.0014945979697642768	CDH3,DSG2,EPHA2,HOPX,TRPV4	0.0084693884953309	12
HALLMARK_UV_RESPONSE_DN	4	144	100	24082	6.689444444444444	0.003084102538541104	ADORA2B,EFEMP1,ERBB2,RND3	0.016132228663138085	13
CUSTOM_EPITHELIAL_ADHESION	2	23	100	24082	20.94086956521739	0.004080255478544686	DSG2,NECTIN4	0.01981838375293133	14
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	4	199	100	24082	4.840603015075377	0.009577192035554934	LAMC2,NT5E,SERPINH1,TGFBI	0.04070306615110847	15
HALLMARK_TNFA_SIGNALING_VIA_NFKB	4	199	100	24082	4.840603015075377	0.009577192035554934	CLCF1,G0S2,ICAM1,TRIP10	0.04070306615110847	16
GOBP_CELL_JUNCTION_ORGANIZATION	8	808	100	24082	2.3843564356435643	0.019295247415479406	CDH3,DSG2,EPHA2,ERBB2,HOPX,PLS3,PTK2,TRPV4	0.07718098966191762	17
HALLMARK_UV_RESPONSE_UP	3	153	100	24082	4.721960784313725	0.02598278286569889	CDKN2B,GPX3,ICAM1	0.09815717971486247	18
HALLMARK_HEME_METABOLISM	3	182	100	24082	3.969560439560439	0.04029303743856378	ACP5,BCAM,ICAM4	0.1407619996783181	19
HALLMARK_XENOBIOTIC_METABOLISM	3	184	100	24082	3.9264130434782607	0.041400588140681795	CES1,CYP2S1,EPHA2	0.1407619996783181	20
HALLMARK_HYPOXIA	3	195	100	24082	3.7049230769230768	0.047764074517183175	ADORA2B,EDN2,TGFBI	0.15324281709053558	21
HALLMARK_INTERFERON_GAMMA_RESPONSE	3	198	100	24082	3.648787878787879	0.049578558470467396	GBP6,ICAM1,LY6E	0.15324281709053558	22
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	1	17	100	24082	14.165882352941178	0.06831702326278019	TP63	0.20198076442908924	23
HALLMARK_NOTCH_SIGNALING	1	32	100	24082	7.525625	0.12474669390719664	NOTCH3	0.3534489660703905	24
KEGG_TIGHT_JUNCTION	2	154	100	24082	3.127532467532468	0.13441425401582557	ERBB2,SYNPO	0.3546977578880399	25
HALLMARK_ANGIOGENESIS	1	35	100	24082	6.880571428571428	0.13561973095719174	PTK2	0.3546977578880399	26
HALLMARK_KRAS_SIGNALING_DN	2	168	100	24082	2.866904761904762	0.15438185563774307	EDN2,SYNPO	0.3888135623469085	27
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	1	48	100	24082	5.017083333333334	0.18121156314506331	GPX3	0.44008522478086803	28
GOBP_APICAL_JUNCTION_ASSEMBLY	1	62	100	24082	3.884193548387097	0.22765018688498628	EPHA2	0.5338004382130713	29
GOBP_TIGHT_JUNCTION_ORGANIZATION	1	74	100	24082	3.2543243243243243	0.26537260022092435	EPHA2	0.6015112271674286	30
HALLMARK_INTERFERON_ALPHA_RESPONSE	1	96	100	24082	2.508541666666667	0.329853956130155	LY6E	0.691189573062104	31
HALLMARK_PROTEIN_SECRETION	1	96	100	24082	2.508541666666667	0.329853956130155	CAV2	0.691189573062104	32
HALLMARK_ANDROGEN_RESPONSE	1	98	100	24082	2.4573469387755105	0.33543023398602106	ALDH1A3	0.691189573062104	33
HALLMARK_COAGULATION	1	124	100	24082	1.9420967741935484	0.40387471332584207	ADAM9	0.8077494266516841	34
HALLMARK_FATTY_ACID_METABOLISM	1	149	100	24082	1.616241610738255	0.4630898966331283	G0S2	0.8753836122542057	35
HALLMARK_DNA_REPAIR	1	150	100	24082	1.6054666666666666	0.46533328485594505	BCAM	0.8753836122542057	36
HALLMARK_MYOGENESIS	1	177	100	24082	1.3605649717514123	0.5225182304338474	GPX3	0.8753836122542057	37
HALLMARK_ALLOGRAFT_REJECTION	1	188	100	24082	1.2809574468085105	0.5440403500708653	ICAM1	0.8753836122542057	38
HALLMARK_ADIPOGENESIS	1	194	100	24082	1.241340206185567	0.5553719545227733	GPX3	0.8753836122542057	39
HALLMARK_COMPLEMENT	1	194	100	24082	1.241340206185567	0.5553719545227733	ADAM9	0.8753836122542057	40
HALLMARK_MTORC1_SIGNALING	1	198	100	24082	1.2162626262626264	0.5627710075665149	SERPINH1	0.8753836122542057	41
HALLMARK_MITOTIC_SPINDLE	1	199	100	24082	1.2101507537688443	0.5646016431067654	SYNPO	0.8753836122542057	42
HALLMARK_ESTROGEN_RESPONSE_EARLY	1	200	100	24082	1.2041000000000002	0.566424690282133	ZNF185	0.8753836122542057	43
HALLMARK_ESTROGEN_RESPONSE_LATE	1	200	100	24082	1.2041000000000002	0.566424690282133	LAMC2	0.8753836122542057	44
CUSTOM_CLAUDIN_PANEL	0	19	100	24082	0.0	1.0		1.0	45
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0	21	100	24082	0.0	1.0		1.0	46
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0	42	100	24082	0.0	1.0		1.0	47
GOBP_CORNIFICATION	0	6	100	24082	0.0	1.0		1.0	48
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0	46	100	24082	0.0	1.0		1.0	49
HALLMARK_APICAL_SURFACE	0	43	100	24082	0.0	1.0		1.0	50
HALLMARK_BILE_ACID_METABOLISM	0	104	100	24082	0.0	1.0		1.0	51
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0	73	100	24082	0.0	1.0		1.0	52
HALLMARK_E2F_TARGETS	0	198	100	24082	0.0	1.0		1.0	53
HALLMARK_G2M_CHECKPOINT	0	195	100	24082	0.0	1.0		1.0	54
HALLMARK_HEDGEHOG_SIGNALING	0	35	100	24082	0.0	1.0		1.0	55
HALLMARK_IL6_JAK_STAT3_SIGNALING	0	86	100	24082	0.0	1.0		1.0	56
HALLMARK_MYC_TARGETS_V1	0	196	100	24082	0.0	1.0		1.0	57
HALLMARK_MYC_TARGETS_V2	0	58	100	24082	0.0	1.0		1.0	58
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0	200	100	24082	0.0	1.0		1.0	59
HALLMARK_PANCREAS_BETA_CELLS	0	32	100	24082	0.0	1.0		1.0	60
HALLMARK_PEROXISOME	0	102	100	24082	0.0	1.0		1.0	61
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0	103	100	24082	0.0	1.0		1.0	62
HALLMARK_SPERMATOGENESIS	0	106	100	24082	0.0	1.0		1.0	63
HALLMARK_TGF_BETA_SIGNALING	0	53	100	24082	0.0	1.0		1.0	64
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0	110	100	24082	0.0	1.0		1.0	65
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0	41	100	24082	0.0	1.0		1.0	66
KRT_EPITHELIAL	0	17	100	24082	0.0	1.0		1.0	67
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0	27	100	24082	0.0	1.0		1.0	68
