spec	rank_name	rule	n_hits	eligible	note	qc_delta	n_cohorts	top1	top2	top3	top1_family	lead_priority	n_story_top3	junction_term	junction_rank	junction_effect	junction_p	junction_fdr	strict_tj_term	strict_tj_rank	strict_tj_effect	keratin_term	keratin_rank	keratin_effect	adhesion_term	adhesion_rank	adhesion_effect	n_sets
q4q1_ols_t||p<0.01 & stat>0	q4q1_ols_t	p<0.01 & stat>0	283	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS t.	3.867005931364888	4	HALLMARK_APICAL_JUNCTION	GOBP_CELL_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	junction	1	2	HALLMARK_APICAL_JUNCTION	1	5.7022694983789295	5.472238805449367e-07	1.2906574743428073e-05	GOBP_TIGHT_JUNCTION_ORGANIZATION	14	5.74968961894757	GOBP_KERATINIZATION	4	13.537905557340187	GOBP_CELL_CELL_ADHESION	2	2.736186699692091	68
q4q1_ols_t||top100 positive stat	q4q1_ols_t	top100 positive stat	100	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS t.	3.867005931364888	4	HALLMARK_APICAL_JUNCTION	GOBP_CELL_CELL_ADHESION	GOBP_KERATINIZATION	junction	1	3	HALLMARK_APICAL_JUNCTION	1	9.930721649484536	1.5167162886395353e-06	0.00010313670762748841	KEGG_TIGHT_JUNCTION	20	3.127532467532468	GOBP_KERATINIZATION	3	21.892727272727274	GOBP_CELL_CELL_ADHESION	2	3.6135905680600215	68
q4q1_ols_t||top200 positive stat	q4q1_ols_t	top200 positive stat	200	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS t.	3.867005931364888	4	HALLMARK_APICAL_JUNCTION	GOBP_CELL_CELL_ADHESION	GOBP_KERATINIZATION	junction	1	3	HALLMARK_APICAL_JUNCTION	1	7.448041237113403	8.671142392215472e-08	5.896376826706522e-06	GOBP_TIGHT_JUNCTION_ORGANIZATION	14	6.508648648648649	GOBP_KERATINIZATION	3	16.419545454545457	GOBP_CELL_CELL_ADHESION	2	3.097363344051447	68
q4q1_ols_t||top300 positive stat	q4q1_ols_t	top300 positive stat	300	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS t.	3.867005931364888	4	GOBP_CELL_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_APICAL_JUNCTION	adhesion	2	2	HALLMARK_APICAL_JUNCTION	3	5.37914089347079	1.0539103843809837e-06	1.703432389657508e-05	GOBP_TIGHT_JUNCTION_ORGANIZATION	15	5.423873873873874	GOBP_KERATINIZATION	4	12.770757575757576	GOBP_CELL_CELL_ADHESION	1	2.83924973204716	68
q4q1_ols_t||p<0.01 & logFC>0.25	q4q1_ols_t	p<0.01 & logFC>0.25	274	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS t.	3.867005931364888	4	GOBP_CELL_CELL_ADHESION	HALLMARK_APICAL_JUNCTION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	adhesion	2	2	HALLMARK_APICAL_JUNCTION	2	5.889570321318383	3.793302247471216e-07	1.0393580027437681e-05	GOBP_TIGHT_JUNCTION_ORGANIZATION	14	5.938548037088183	GOBP_KERATINIZATION	4	13.982581287325813	GOBP_CELL_CELL_ADHESION	1	2.826061445302415	68
q4q1_ols_t||p<0.05 & logFC>0.50	q4q1_ols_t	p<0.05 & logFC>0.50	732	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS t.	3.867005931364888	4	GOBP_CELL_CELL_ADHESION	HALLMARK_P53_PATHWAY	HALLMARK_APICAL_JUNCTION	adhesion	2	2	HALLMARK_APICAL_JUNCTION	3	5.765787842938426	1.1971572011817103e-16	2.713556322678543e-15	KEGG_TIGHT_JUNCTION	20	3.631697537435242	GOBP_KERATINIZATION	9	9.720131644311973	GOBP_CELL_CELL_ADHESION	1	3.067743749231283	68
q4q1_ols_t||p<0.05 & logFC>1	q4q1_ols_t	p<0.05 & logFC>1	371	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS t.	3.867005931364888	4	GOBP_CELL_CELL_ADHESION	HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_APICAL_JUNCTION	adhesion	2	2	HALLMARK_APICAL_JUNCTION	3	7.6956400922555375	3.965991991261957e-14	7.537569573556541e-13	GOBP_TIGHT_JUNCTION_ORGANIZATION	29	5.263058206454433	GOBP_KERATINIZATION	9	16.2277628032345	GOBP_CELL_CELL_ADHESION	1	4.03519932513441	68
q4q1_ols_logFC||p<0.01 & stat>0	q4q1_ols_logFC	p<0.01 & stat>0	283	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS log2 fold-change.	3.867005931364888	4	HALLMARK_APICAL_JUNCTION	GOBP_CELL_CELL_ADHESION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	junction	1	2	HALLMARK_APICAL_JUNCTION	1	5.7022694983789295	5.472238805449367e-07	1.2906574743428073e-05	GOBP_TIGHT_JUNCTION_ORGANIZATION	14	5.74968961894757	GOBP_KERATINIZATION	4	13.537905557340187	GOBP_CELL_CELL_ADHESION	2	2.736186699692091	68
q4q1_ols_logFC||top100 positive stat	q4q1_ols_logFC	top100 positive stat	100	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS log2 fold-change.	3.867005931364888	4	KRT_EPITHELIAL	GOBP_KERATINIZATION	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	keratin	2	3	HALLMARK_APICAL_JUNCTION	9	7.448041237113403	0.0001609075730577248	0.0011251568411297565	GOBP_TIGHT_JUNCTION_ORGANIZATION	34	3.2543243243243243	KRT_EPITHELIAL	1	113.32705882352943	GOBP_CELL_CELL_ADHESION	5	4.387931404072884	68
q4q1_ols_logFC||top200 positive stat	q4q1_ols_logFC	top200 positive stat	200	True	Within-cohort TACSTD2 Q4 vs Q1, cohort-adjusted OLS on log2 TMM-CPM+1. Rank = OLS log2 fold-change.	3.867005931364888	4	GOBP_KERATINIZATION	GOBP_CELL_CELL_ADHESION	KRT_EPITHELIAL	keratin	2	3	HALLMARK_APICAL_JUNCTION	12	6.827371134020619	7.213148038969663e-07	4.087450555416143e-06	GOBP_TIGHT_JUNCTION_ORGANIZATION	26	6.508648648648649	GOBP_KERATINIZATION	1	32.83909090909091	GOBP_CELL_CELL_ADHESION	2	4.775101822079314	68
