term	n_overlap	n_set_in_bg	n_query	n_bg	enrichment	p	overlap_genes	fdr	rank
GOBP_CELL_CELL_JUNCTION_ORGANIZATION	22	200	364	24082	7.277527472527472	4.590378393472739e-13	CDH1,CDH3,DLG5,DSG2,EPHA2,EPHB2,GJB2,GJB6,GRHL1,GRHL2,HOPX,INAVA,JUP,LSR,OCLN,PARD6B,PKP3,PLEC,PLEKHA7,RHOC,TJP1,TRPV4	3.1214573075614626e-11	1
HALLMARK_APICAL_JUNCTION	20	194	364	24082	6.820550583437181	1.7939971492226452e-11	ADAM9,B4GALT1,CDH1,CDH3,CLDN4,CTNND1,DSC3,EGFR,ICAM1,ICAM4,JUP,LAMC2,MPZL2,NECTIN2,NECTIN4,PTK2,SDC3,TGFBI,TJP1,WASL	6.099590307356994e-10	2
GOBP_CELL_JUNCTION_ORGANIZATION	39	808	364	24082	3.1933345120226306	1.9248129823618028e-10	AGRN,CBLN3,CDH1,CDH3,CYFIP1,DLG5,DSG2,EPHA2,EPHB2,ERBB2,ERBB3,GJB2,GJB6,GRHL1,GRHL2,HOPX,INAVA,JUP,LSR,OCLN,PARD6B,PKP3,PLEC,PLEKHA7,PLS3,PLXNA1,PLXNB2,PTK2,PTPRF,RHOC,RHOD,SDC4,SEMA4C,THBS1,TJP1,TNC,TRPV4,WASL,WNT7B	4.362909426686753e-09	3
CUSTOM_EPITHELIAL_ADHESION	8	23	364	24082	23.01194457716197	1.0150625133724694e-09	CDH1,CLDN4,DSG2,JUP,NECTIN2,NECTIN4,OCLN,TJP1	1.4240298823299474e-08	4
GOBP_CELL_CELL_ADHESION	41	933	364	24082	2.9073236516966423	1.0470807958308438e-09	ADAM8,ADAM9,BMP4,CCL2,CCN1,CD47,CDC42EP1,CDH1,CDH3,CELSR1,CLDN4,CTNND1,DLG5,DSC2,DSC3,DSG2,EGFR,ERBB2,ICAM1,ICAM4,ITGB5,JUP,LRP5,MPZL2,MUC21,NECTIN2,NECTIN4,PCDH7,PKP3,PLEKHA7,PLXNB2,PTK2,PTPRF,RAP2B,S100A11,SDC4,SFN,SPINT2,TJP1,TRPV4	1.4240298823299474e-08	5
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	16	199	364	24082	5.319343972610304	6.789000833549432e-08	ANPEP,CCN1,COL1A1,FBLN2,GPC1,IGFBP3,ITGB5,LAMC2,LRP1,QSOX1,SDC1,SDC4,SERPINH1,TGFBI,THBS1,TNC	7.07123896910997e-07	6
HALLMARK_ESTROGEN_RESPONSE_EARLY	16	200	364	24082	5.292747252747253	7.279216585848498e-08	B4GALT1,CELSR1,CLIC3,ENDOD1,ESRP2,KRT19,LAD1,MREG,MYOF,P2RY2,PTGES,RAB31,RHOD,SFN,SVIL,ZNF185	7.07123896910997e-07	7
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	6	17	364	24082	23.350355526826114	1.230579548564222e-07	CLDN4,KDF1,KRT16,LSR,SFN,TP63	1.0459926162795888e-06	8
GOBP_KERATINIZATION	8	44	364	24082	12.028971028971029	2.781589609074911e-07	CDH3,EVPL,KRT16,KRT17,KRT80,KRT86,PPL,SFN	2.101645482412155e-06	9
HALLMARK_GLYCOLYSIS	15	196	364	24082	5.063214846378112	3.317433612354185e-07	AGRN,ANGPTL4,B3GNT3,B4GALT1,DSC2,EGFR,GPC1,GPR87,IDH1,IGFBP3,QSOX1,SDC1,SDC3,TGFBI,XYLT2	2.2558548564008456e-06	10
HALLMARK_P53_PATHWAY	14	195	364	24082	4.749901380670612	1.7563748635269468e-06	CDKN2B,EI24,EPHA2,KRT17,NDRG1,PHLDA3,PLXNB2,PTPN14,RAP2B,SDC1,SERTAD3,SFN,ST14,TP63	1.0857590065439308e-05	11
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	7	50	364	24082	9.262307692307692	9.71770764316609e-06	ADAM9,EPHA2,EVPL,KRT16,OVOL1,SCEL,ST14	5.5067009977941175e-05	12
GOBP_TIGHT_JUNCTION_ORGANIZATION	8	74	364	24082	7.152361152361152	1.5948929353105198e-05	CLDN4,EPHA2,EPHB2,GRHL2,LSR,OCLN,PLEC,TJP1	8.34251689239349e-05	13
GOBP_KERATINOCYTE_DIFFERENTIATION	6	39	364	24082	10.178360101437024	2.4500578377336312e-05	ADAM9,EPHA2,EVPL,KRT16,SCEL,ST14	0.0001190028092613478	14
HALLMARK_HYPOXIA	12	195	364	24082	4.07134404057481	4.4638090115988926e-05	ANGPTL4,CCN1,EDN2,EGFR,ERRFI1,F3,GPC1,IGFBP3,NDRG1,SDC3,SDC4,TGFBI	0.0002023593418591498	15
HALLMARK_KRAS_SIGNALING_UP	12	197	364	24082	4.030010598538517	4.9290310107055205e-05	ADAM8,ALDH1A3,ANGPTL4,CSF2,EMP1,EPHB2,GALNT3,IGFBP3,JUP,MPZL2,PLAU,TOR1AIP2	0.00020948381795498461	16
HALLMARK_ESTROGEN_RESPONSE_LATE	12	200	364	24082	3.969560439560439	5.705394293601232e-05	CDH1,CLIC3,DLG5,KRT19,LAMC2,LSR,MYOF,PKP3,PTGES,RAB31,SFN,ST14	0.0002282157717440493	17
KRT_EPITHELIAL	4	17	364	24082	15.566903684550743	0.0001045673139528622	KRT14,KRT16,KRT17,KRT19	0.000395032074933035	18
HALLMARK_IL2_STAT5_SIGNALING	11	197	364	24082	3.694176381993641	0.00021705651888510687	AHR,CSF2,CYFIP1,EMP1,HOPX,IKZF2,IRF6,NDRG1,PLEC,SPRED2,SYNGR2	0.0007768338570624877	19
HALLMARK_TNFA_SIGNALING_VIA_NFKB	11	199	364	24082	3.6570489811695843	0.00023686784483686988	B4GALT1,CCL2,CCN1,CLCF1,CSF2,F3,ICAM1,PLAU,SDC4,TNC,TRIP10	0.0008053506724453576	20
GOBP_APICAL_JUNCTION_ASSEMBLY	6	62	364	24082	6.402516838000709	0.0003448144647534486	DLG5,EPHA2,GRHL2,OCLN,RHOC,TJP1	0.0011165420763445003	21
