term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	fdr	rank
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.6679210931940947	3.1851770114150235	0.0009990009990009	199	0.9791203431239284	TNC,ICAM1,ZFP36,TRIP10,HBEGF,JUN,G0S2,CCL2,IER3,DUSP1,OLR1,SDC4	0.0014874014874014	1
HALLMARK_INFLAMMATORY_RESPONSE	0.577291345694999	2.780737449926141	0.0009990009990009	194	0.699220212876235	LY6E,ICAM1,AHR,ADORA2B,ICAM4,TNFSF15,GNA15,HBEGF,SCARF1,CCL2,OLR1,EDN1	0.0014874014874014	2
GOBP_KERATINOCYTE_DIFFERENTIATION	0.7169911524986187	2.626299699627505	0.0009990009990009	39	0.9822461467391244	EVPL,EPHA2,ADAM9,ST14,ANXA1,SCEL,IVL,CFLAR,JAG1,WNT5A,UGCG,KRT16	0.0014874014874014	3
HALLMARK_APICAL_JUNCTION	0.5435287055897982	2.6181071966770086	0.0009990009990009	194	0.6185276535583117	MPZL2,TGFBI,ICAM1,CLDN4,ICAM4,PTK2,ITGB4,ADAM9,BAIAP2,WASL,JUP,NECTIN4	0.0014874014874014	4
CUSTOM_EPITHELIAL_ADHESION	0.8003823026865006	2.5555055384520924	0.0009990009990009	23	1.6288876970989044	CLDN4,JUP,NECTIN4,CDH1,OCLN,DSG2,CLDN7,TJP1,NECTIN2,CLDN1,TJP3,NECTIN1	0.0014874014874014	5
HALLMARK_P53_PATHWAY	0.5270113019036629	2.503598387418536	0.0009990009990009	195	0.661807912935173	TP63,EPHA2,RAP2B,PTPN14,TM4SF1,ITGB4,BAIAP2,CDKN2B,FUCA1,SDC1,ZFP36L1,HBEGF	0.0014874014874014	6
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.8499798738103481	2.4871492651897413	0.0009990009990009	17	1.3529988988388042	TP63,CLDN4,TMEM79,SFN,LSR,KDF1,MET,CLDN1,UGCG,KRT16,IL18,FA2H	0.0014874014874014	7
GOBP_KERATINIZATION	0.6719490218721191	2.464311076080428	0.0009990009990009	44	1.1058484482954507	EVPL,PPL,KRT86,SHARPIN,KRT80,TMEM79,CDH3,SFN,KRT7,IVL,KRT17,SPRR2D	0.0014874014874014	8
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.6482301664599487	2.442227438105083	0.0009990009990009	50	0.8707960334259573	EVPL,OVOL1,EPHA2,ADAM9,ST14,ANXA1,SCEL,SPINK5,IVL,GATA6,CFLAR,JAG1	0.0014874014874014	9
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5053552655487501	2.4018222519113266	0.0009990009990009	198	0.5505778262429895	GBP6,LY6E,ICAM1,CCL2,IRF5,VAMP8,PTGS2,TNFSF10,NMI,FCGR1A,CD74,HLA-DQA1	0.0014874014874014	10
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.5631953578875086	2.369246704624096	0.0009990009990009	86	0.6392392038350561	JUN,CSF2,TLR2,IFNGR1,CXCL13,FAS,CSF2RA,OSMR,CXCL9,IL13RA1,IFNGR2,TNFRSF12A	0.0014874014874014	11
HALLMARK_APOPTOSIS	0.505913659301638	2.357830248045681	0.0009990009990009	160	0.6165271856972077	PTK2,ERBB2,GPX3,GNA15,JUN,IER3,ANXA1,BCL10,GADD45B,IFNGR1,CCND1,IGFBP6	0.0014874014874014	12
KRT_EPITHELIAL	0.7970018260492082	2.332128756328015	0.0009990009990009	17	1.4871022183953444	KRT19,KRT13,KRT7,KRT14,KRT8,KRT17,KRT15,KRT16,KRT18,KRT4,KRT6C,KRT5	0.0014874014874014	13
GOBP_CELL_CELL_JUNCTION_ORGANIZATION	0.481992066617538	2.2759837047399154	0.0009990009990009	200	0.5128415964378723	TRPV4,PLEKHA7,GRHL2,EPHA2,HOPX,PKP3,PLEC,RHOC,GRHL1,JUP,CDH3,PERP	0.0014874014874014	14
GOBP_APICAL_JUNCTION_ASSEMBLY	0.5785165750715693	2.267707195719944	0.0009990009990009	62	0.6530713815823525	GRHL2,EPHA2,RHOC,OCLN,MICALL2,DLG5,TJP1,CLDN1,MARVELD3,F11R,VCL,CTNNA1	0.0014874014874014	15
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.4661285441046812	2.22287024346922	0.0009990009990009	199	0.517901954506616	TGFBI,TNC,NT5E,THBS1,SERPINH1,FUCA1,SDC1,COL1A1,JUN,ANPEP,QSOX1,SDC4	0.0014874014874014	16
HALLMARK_ALLOGRAFT_REJECTION	0.4577723884071009	2.166596649105847	0.0009990009990009	188	0.4929081845049199	ICAM1,CCL2,CAPG,CD47,HLA-DOA,IL27RA,BCL10,UBE2D1,TLR2,HLA-DRA,IFNGR1,EGFR	0.0014874014874014	17
HALLMARK_COAGULATION	0.4820691435261146	2.151346346141906	0.0009990009990009	124	0.5482527611280287	THBS1,CAPN2,ADAM9,OLR1,F3,MMP7,CTSH,ANXA1,MMP15,CTSO,GNG12,PLAT	0.0014874014874014	18
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.4957501851034084	2.1321854667692324	0.0009990009990009	96	0.5099108583872852	LY6E,CD47,NMI,CD74,PARP14,IRF2,IFITM3,IFIT2,LGALS3BP,TRIM5,TRIM26,IRF7	0.0014874014874014	19
GOBP_TIGHT_JUNCTION_ORGANIZATION	0.5261764028427622	2.130804951247582	0.0009990009990009	74	0.5718673481658703	GRHL2,CLDN4,EPHA2,PLEC,CLDN23,OCLN,MICALL2,EPHB2,LSR,CLDN7,TJP1,CLDN1	0.0014874014874014	20
GOBP_CELL_CELL_ADHESION	0.3856266834771705	2.125356041231093	0.0009990009990009	933	0.3217900550769086	TRPV4,DSC2,MPZL2,PLEKHA7,NT5E,ICAM1,CLDN4,RAP2B,ADAM8,ICAM4,PTK2,PKP3	0.0014874014874014	21
HALLMARK_ANGIOGENESIS	0.5966820536920201	2.1222993707197264	0.0009990009990009	35	0.6668298596133441	PTK2,OLR1,THBD,VEGFA,JAG1,TNFRSF21,CXCL6,ITGAV,PDGFA,NRP1,SERPINA5,FSTL1	0.0014874014874014	22
HALLMARK_KRAS_SIGNALING_UP	0.4299413094065877	2.0565215961852044	0.0009990009990009	197	0.4171856887402069	MPZL2,ADAM8,ALDH1A3,FUCA1,JUP,GALNT3,HBEGF,G0S2,TSPAN1,IGFBP3,PTGS2,PLEK2	0.0014874014874014	23
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.5630497029719388	2.0511585341944474	0.0009990009990009	42	0.5757074527973822	GRHL2,CLDN4,CLDN23,OCLN,MICALL2,CLDN7,CLDN1,CLDN16,MARVELD3,CLDN6,CLDN3,CLDN9	0.0014874014874014	24
KEGG_TIGHT_JUNCTION	0.4409063975998061	2.002589583701946	0.0009990009990009	154	0.4451553020670596	CLDN4,ERBB2,SYNPO,JUN,CLDN23,OCLN,MICALL2,AMOTL2,PRKCZ,MSN,EZR,RUNX1	0.0014874014874014	25
HALLMARK_HYPOXIA	0.4136361011852827	1.9650027848830969	0.0009990009990009	195	0.3868574312014678	TGFBI,ADORA2B,ZFP36,ERRFI1,JUN,IER3,DUSP1,SDC4,NDRG1,IGFBP3,F3,EFNA1	0.0014874014874014	26
HALLMARK_TGF_BETA_SIGNALING	0.507103924611357	1.95101231177317	0.0009990009990009	53	0.5843766828702158	THBS1,RAB31,CDH1,ENG,JUNB,BCAR3,TJP1,ACVR1,KLF10,IFNGR2,SMURF1,ID1	0.0014874014874014	27
HALLMARK_COMPLEMENT	0.4043855122459515	1.947872502325692	0.0009990009990009	194	0.3781962850565425	ADAM9,OLR1,CTSD,F3,CTSH,EHD1,MMP15,PRKCD,PPP4C,PSEN1,CTSO,CD55	0.0014874014874014	28
HALLMARK_IL2_STAT5_SIGNALING	0.405763184490308	1.9408713086745184	0.0009990009990009	197	0.3852837761290453	SPRED2,NT5E,HOPX,AHR,PLEC,DHRS3,IRF6,CAPG,NDRG1,NFKBIZ,CSF2,GADD45B	0.0014874014874014	29
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.4043944899826086	1.909565184228151	0.0009990009990009	200	0.3374302418963911	KRT19,DHRS3,RAB31,ZNF185,SFN,ESRP2,KRT13,RHOD,LAD1,SVIL,MYOF,ELF3	0.0014874014874014	30
HALLMARK_XENOBIOTIC_METABOLISM	0.3963136040107053	1.876595670557166	0.0009990009990009	184	0.3231005526635199	EPHA2,SPINT2,JUP,IDH1,ABCC3,CYP2S1,CES1,COMT,ENPEP,NQO1,NINJ1,MAOA	0.0014874014874014	31
HALLMARK_UV_RESPONSE_DN	0.4087643627463102	1.868785288375695	0.0009990009990009	144	0.4107527830464273	RND3,EFEMP1,ADORA2B,ERBB2,COL1A1,DUSP1,F3,ARHGEF9,RUNX1,NOTCH2,MYC,MET	0.0014874014874014	32
CUSTOM_CLAUDIN_PANEL	0.6248917649167988	1.8460189958424265	0.0009990009990009	19	0.6644241886686488	CLDN4,CLDN23,CLDN7,CLDN1,CLDN16,CLDN6,CLDN3,CLDN9,CLDN8,CLDN15,CLDN12,CLDN19	0.0014874014874014	33
HALLMARK_NOTCH_SIGNALING	0.538946865625636	1.8366204045301564	0.0009990009990009	32	0.6259775645674872	NOTCH3,NOTCH2,CCND1,DTX2,MAML2,JAG1,WNT5A,TCF7L2,PPARD,HES1,APH1A,DTX4	0.0014874014874014	34
REACTOME_TIGHT_JUNCTION_INTERACTIONS	0.5614389121060468	1.8355683955242152	0.0029970029970029	27	0.6876889958477319	CLDN4,CLDN23,CLDN7,PARD6B,CLDN1,CLDN16,CRB3,F11R,CLDN6,CLDN3,CLDN9,PARD3	0.004097942873453	35
HALLMARK_GLYCOLYSIS	0.3849909886076965	1.8246550234865215	0.0009990009990009	196	0.3215579794871709	DSC2,B3GNT3,TGFBI,NT5E,ADORA2B,SDC1,IDH1,IER3,XYLT2,QSOX1,HS6ST2,IGFBP3	0.0014874014874014	36
HALLMARK_ESTROGEN_RESPONSE_LATE	0.3862566964587547	1.8239178772300764	0.0009990009990009	200	0.2823106889006016	KRT19,PKP3,ZFP36,RAB31,SFN,PERP,KRT13,ST14,CDH1,MDK,LAMC2,MYOF	0.0014874014874014	37
HALLMARK_UV_RESPONSE_UP	0.3781748331983022	1.7425570791680485	0.0009990009990009	153	0.2661253184185412	ICAM1,CDKN2B,GPX3,MARK2,DNAJB1,PRKCD,CXCL2,FOS,AQP3,MAOA,EPHX1,JUNB	0.0014874014874014	38
HALLMARK_ADIPOGENESIS	0.3509025865764398	1.6902521942267	0.0019980019980019	194	0.201646807478651	ATL2,GPX3,IDH1,RAB34,NABP1,APLP2,REEP6,RNF11,CD151,SOWAHC,CRAT,RREB1	0.002848215614173	39
GOBP_CELL_JUNCTION_ORGANIZATION	0.3098996205200606	1.6895751822813274	0.0009990009990009	808	0.1622734531885534	TRPV4,SEMA4C,TNC,PLEKHA7,GRHL2,EPHA2,HOPX,PTK2,PKP3,ERBB2,THBS1,PLEC	0.0014874014874014	40
HALLMARK_APICAL_SURFACE	0.4595033296044745	1.6864630092693025	0.0029970029970029	43	0.2937449787672364	EPHB4,CX3CL1,LYPD3,HSPB1,ATP6V0A4,RTN4RL1,ATP8B1,B4GALT1,SHROOM2,PLAUR,CROCC,GSTM3	0.004097942873453	41
HALLMARK_ANDROGEN_RESPONSE	0.3934220757746646	1.68043965217853	0.0009990009990009	98	0.2711590230627913	KRT19,ALDH1A3,STEAP4,NDRG1,TMPRSS2,TSC22D1,CCND1,KRT8,SLC38A2,SPDEF,SAT1,TMEM50A	0.0014874014874014	42
HALLMARK_MYOGENESIS	0.3532931689422719	1.673790258723087	0.0009990009990009	177	0.2826622570453262	ITGB4,GPX3,COL1A1,HBEGF,CNN3,PLXNB2,IGFBP3,AGRN,SVIL,GADD45B,CRAT,NQO1	0.0014874014874014	43
HALLMARK_HEME_METABOLISM	0.3152271407941545	1.4809938253362904	0.0019980019980019	182	0.1756214327382043	ICAM4,BCAM,ACP5,HEBP1,IGSF3,SLC6A9,ARHGEF12,FTCD,NFE2,PIGQ,AQP3,ENDOD1	0.002848215614173	44
HALLMARK_PEROXISOME	0.2950089292262739	1.2651195436506657	0.0479520479520479	102	0.1504494087081309	IDH1,DHRS3,BCL10,CRAT,SULT2B1,STS,SEMA3C,SCP2,ACOX1,PRDX5,SLC35B2,LONP2	0.0606186266563625	45
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3042922348875024	1.241600245260916	0.0699300699300699	73	0.0769708593438103	MAL2,ERRFI1,CXCL16,S100A11,LGALS3,ATF3,GPX8,JAG1,TNFRSF12A,PLAUR,CD9,PPARG	0.0836663336663336	46
HALLMARK_MITOTIC_SPINDLE	0.2593371338577933	1.2367249445887198	0.0409590409590409	199	0.0762885996855159	NET1,SYNPO,WASL,ARHGAP27,CDC42EP1,RASA1,EZR,NOTCH2,ARHGEF12,CDC42EP4,NEDD9,ACTN4	0.052774148927995	47
HALLMARK_PROTEIN_SECRETION	0.2864020616641409	1.2317944236483724	0.0669330669330669	96	0.1508690450669755	CAV2,VAMP3,EGFR,SSPN,CTSC,ATP1A1,SGMS1,ABCA1,SNAP23,ATP7A,KRT18,RER1	0.0815366451730088	48
HALLMARK_KRAS_SIGNALING_DN	0.254613577911812	1.1985845653921516	0.0599400599400599	168	0.0428741701420403	SYNPO,KRT13,EDN1,EDN2,EFHD1,PRODH,LYPD3,RYR1,TGFB2,CLDN16,TCF7L1,KRT15	0.0743700743700743	49
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.2701385099311908	1.1651043784207802	0.0969030969030969	103	0.0640284926207741	RALB,SFN,CAB39,MKNK2,EGFR,GNA14,DAPP1,CFL1,TNFRSF1A,NOD1,RAC1,MKNK1	0.1139036402194297	50
HALLMARK_BILE_ACID_METABOLISM	0.2671664015046134	1.1584893968123322	0.1078921078921078	104	0.0932989126420372	IDH1,CH25H,SULT2B1,AR,BCAR3,SCP2,HSD17B6,PRDX5,SLC35B2,NR3C2,LONP2,ABCA1	0.1246339867029522	51
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.2589439641114702	1.1452503064103767	0.1098901098901098	110	0.0946702912379668	CCL2,EXOSC4,NABP1,YWHAZ,ATF3,ERO1A,VEGFA,CEBPB,DNAJA4,PDIA6,NFYA,BAG3	0.1247904637735146	52
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	0.300001076572843	1.128066300211494	0.1458541458541458	46	0.1240622974234157	DLG5,TGFB2,WNT5A,HMGA2,CUL7,SNAI1,LIMS1,TGFBR3,ROCK2,S100A4,WNT4,SLC39A10	0.1602004552824225	53
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.2960060140813434	1.1253762387419646	0.1418581418581418	48	0.0572036686622003	GPX3,NQO1,JUNB,FES,MGST1,PTPA,GPX4,HMOX2,PRDX1,PRNP,GCLM,TXN	0.1584082584082584	54
HALLMARK_HEDGEHOG_SIGNALING	0.2992452018916694	1.0643656864420976	0.1878121878121878	35	0.1200698572962176	RASA1,CELSR1,ADGRG1,OPHN1,SHH,VEGFA,NRP1,AMOT,NRP2,ETS2,NKX6-1,TLE1	0.1997367711653425	55
HALLMARK_FATTY_ACID_METABOLISM	0.2307946901941014	1.0610863648516535	0.1788211788211788	149	0.0528834145098876	IDH1,G0S2,REEP6,CRAT,MAOA,EPHX1,ME1,ACOX1,ALDH3A1,HPGD,ADH7,DHCR24	0.1932422416293384	56
