term	family	n_genes	effect	effect_name	stat	p	mean_gene_logFC	fdr
REACTOME_TIGHT_JUNCTION_INTERACTIONS	strict_tj	27	0.321618641025038	mean_cohort_delta	2.353109423776765	0.10002305475873571	0.32161864102503807	0.17890720615930183
KEGG_TIGHT_JUNCTION	strict_tj	154	0.17208027211324817	mean_cohort_delta	2.388694255487616	0.09685527556911123	0.17208027211324797	0.17890720615930183
GOBP_TIGHT_JUNCTION_ORGANIZATION	strict_tj	74	0.2667914627122736	mean_cohort_delta	2.1037530942913945	0.12611394795652944	0.26679146271227355	0.17890720615930183
HALLMARK_APICAL_JUNCTION	junction	194	0.3104605464810186	mean_cohort_delta	2.057651855806726	0.13179240431364148	0.3104605464810187	0.17890720615930183
GOBP_APICAL_JUNCTION_ASSEMBLY	junction	62	0.2784608819092952	mean_cohort_delta	1.9305262142039397	0.14908933846608485	0.27846088190929474	0.17890720615930183
GOBP_KERATINIZATION	keratin	44	0.7813759356449828	mean_cohort_delta	2.4700707172797034	0.09005876821005837	0.7813759356449824	0.17890720615930183
KRT_EPITHELIAL	keratin	17	1.219660204039191	mean_cohort_delta	2.9504902719225536	0.06000097527570912	1.2196602040391917	0.17890720615930183
CUSTOM_EPITHELIAL_ADHESION	adhesion	23	0.6612488363613929	mean_cohort_delta	3.8785942659249137	0.03035199509778073	0.6612488363613934	0.17890720615930183
GOBP_CELL_CELL_ADHESION	adhesion	933	0.1860378003286689	mean_cohort_delta	1.554367146141243	0.21793165984072968	0.18603780032866898	0.23774362891715964
HALLMARK_TNFA_SIGNALING_VIA_NFKB	other	199	0.4967515488938643	mean_cohort_delta	2.3708603616165127	0.09842735766661768	0.49675154889386425	0.17890720615930183
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	other	199	0.4416153520991424	mean_cohort_delta	1.1499500544536598	0.33351937937231935	0.44161535209914204	0.3335193793723194
HALLMARK_INFLAMMATORY_RESPONSE	other	194	0.3647303983677036	mean_cohort_delta	1.934670455157197	0.14848487446642833	0.3647303983677038	0.17890720615930183
