rank	term	enrichment	fdr	n_overlap	family
1	HALLMARK_APICAL_JUNCTION	5.889814884490932	1.2835588851559693e-05	13	TJ/junction
3	GOBP_KERATINIZATION	13.98316191108162	1.2835588851559693e-05	7	barrier/keratin/adhesion
9	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	15.510734220695577	0.005544947855197832	3	barrier/keratin/adhesion
10	KRT_EPITHELIAL	15.510734220695577	0.005544947855197832	3	barrier/keratin/adhesion
11	GOBP_TIGHT_JUNCTION_ORGANIZATION	5.938794634050108	0.008943562702852112	5	TJ/junction
14	CUSTOM_EPITHELIAL_ADHESION	11.464455728340209	0.009808223653347669	3	TJ/junction
15	GOBP_EPIDERMAL_CELL_DIFFERENTIATION	7.031532846715328	0.010512012099851071	4	barrier/keratin/adhesion
17	GOBP_KERATINOCYTE_DIFFERENTIATION	6.761089275687816	0.03554924536734308	3	barrier/keratin/adhesion
27	GOBP_CORNIFICATION	14.64902676399027	0.1548357227192911	1	barrier/keratin/adhesion
29	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	4.185436218282934	0.17929002435697497	2	TJ/junction
31	KEGG_TIGHT_JUNCTION	2.282965209972509	0.19925418739169465	4	TJ/junction
37	CUSTOM_CLAUDIN_PANEL	4.626008451786401	0.3328176186927053	1	TJ/junction
44	HALLMARK_APICAL_SURFACE	2.044050246138177	0.5568047245485813	1	TJ/junction
