cohort	term	rank_among_positive_NES	n_positive	NES	FDR	strict_TJ_family
concordant-4	GOBP_KERATINIZATION	2	36	2.8254679785709143	0.00146282289139432	False
concordant-4	CUSTOM_EPITHELIAL_ADHESION	7	36	2.5852538898752195	0.00146282289139432	True
concordant-4	HALLMARK_APICAL_JUNCTION	8	36	2.554582030951699	0.00146282289139432	True
concordant-4	KRT_EPITHELIAL	10	36	2.516949730222767	0.00146282289139432	False
concordant-4	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	15	36	2.297004600592882	0.00146282289139432	False
concordant-4	GOBP_TIGHT_JUNCTION_ORGANIZATION	20	36	2.1183986729464768	0.00146282289139432	True
concordant-4	KEGG_TIGHT_JUNCTION	22	36	2.0402357910089237	0.00146282289139432	True
concordant-4	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	24	36	1.9552142531332304	0.00146282289139432	True
concordant-4	CUSTOM_CLAUDIN_PANEL	26	36	1.7099268345799108	0.00639985014985015	True
concordant-4	HALLMARK_APICAL_SURFACE	27	36	1.6933911375188802	0.00639985014985015	True
OncoSG_LUAD	KRT_EPITHELIAL	4	26	2.3041992786956795	0.0023976023976023976	False
OncoSG_LUAD	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	6	26	2.1714552206625735	0.0023976023976023976	False
OncoSG_LUAD	GOBP_KERATINIZATION	9	26	1.923591986841438	0.0023976023976023976	False
OncoSG_LUAD	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	16	26	1.489805315551775	0.02724548179093634	True
OncoSG_LUAD	GOBP_TIGHT_JUNCTION_ORGANIZATION	24	26	1.0707272566609694	0.18109550024443644	True
GSE31210_LUAD	KRT_EPITHELIAL	2	31	2.1225986136114052	0.0023576423576423576	False
GSE31210_LUAD	KEGG_TIGHT_JUNCTION	3	31	1.9953797882313595	0.0023576423576423576	True
GSE31210_LUAD	GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	4	31	1.9406578439097302	0.0040649006166247545	False
GSE31210_LUAD	GOBP_KERATINIZATION	7	31	1.9059675437763257	0.0023576423576423576	False
GSE31210_LUAD	GOBP_TIGHT_JUNCTION_ORGANIZATION	10	31	1.7875017193694658	0.0040649006166247545	True
GSE31210_LUAD	GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	12	31	1.7537375383271112	0.0023576423576423576	True
