case_id	CLDN4	PRKDC	XRCC5	XRCC6	STING1	TBK1	IRF3	HLA-A	HLA-B	HLA-C	HLA-E	HLA-F	HLA-G	HLA-DRA	B2M	NHEJ3	STING3	HLA_ABC	WES_purity	WGS_purity
C3N-01799	22.9868855161172	28.5766652341107	29.3101808032701	29.6451135964612	25.2448976725375	25.4287317553094	24.913339517223	28.0806404128264	27.4634138469688	25.4770938726675	24.8793106825203	24.1359884223803		27.7910345921457		1.830929975776878	1.7248644985805068	0.04028488814620468	0.27	0.075
C3L-01890	23.2027895420681	27.9672439684065	29.1002208868364	29.3002556035515	25.0813800809801	24.327320369786	24.804811097498	27.1720641625578	25.8011956904409	25.8341938251473	24.7818612874737	23.2465985174499		27.5424698368321		-0.06871950735989026	-0.43166158144132627	-1.055737096007621		
C3N-00572	23.1132171218189	28.0680308787814	29.0873312678607	29.3005717296741	25.8160300872856	24.2695512471532	24.8753707297258	27.5552737878938	26.3133648334748	26.8142497138627	25.1736377104733	23.8640845617956		28.3919431692811		0.04989603321339792	0.06661537009800485	-0.10340510069958324	0.28	0.325
C3N-02423	22.8022812803958	28.3335368705545	29.0394081256152	29.2200770407882	25.4998847657756	24.570380944288	24.8399281113461	28.0357469735821	27.7971559871928	26.3056374974456	25.2275874997067	24.1422432667715		28.1539615989753		0.18559399654915254	0.31087659982730936	0.6207223696214922	0.3	0.175
C3N-02729	22.2029179081993	28.2193009389939	28.8141073509297	29.1428654602649	25.8182851551417	24.6424068099854	24.5715298527807	28.1268896621876	27.0542343941442	24.980531806808	25.0817783527371	22.9213746438212		28.4691713301117		-0.5485246652779585	0.18045763214919397	-0.4058802262094578	0.49	0.49
C3L-00263	23.553764737516	27.8596809099478	28.9764244973559	29.0929630962248	25.3243244159057	24.5616080514751	24.8725507540867	28.4879269659974	27.5473794115685	25.8964098704355	24.859788947799	23.2708191768516		27.8859512439775		-0.8398109088516122	0.2381014905568822	0.49291877893942077	0.23	
C3N-01410	23.3211210488318	28.997004532969	29.1558752225838	29.3001983258347	25.1805161541971	24.2305329335817	24.7668368686264	27.8393062458414	26.9880269425897	26.221320874534	24.4353547818768	23.1170573368619		27.3993900454253		1.4946464997872457	-0.5962710362101958	0.06893744129714711	0.38	0.3975
C3N-00578	23.1164940904834	27.8913275841257	28.6677227104267	28.9185971903831	25.6287979533787	24.5431517877399	24.5544922087836	27.2064972703094	27.4122388974867	27.0508264960522	24.8220723250526	23.8771128182463		28.3770480994474		-1.7059698866036512	-0.13940299224867417	0.41947179466516177	0.56	0.333
C3N-02587	22.0696702147104	27.9790251043724	28.8077087937923	29.1460436219504	25.834430893202	24.6615804280339	24.6582333345117	27.5577647626918	25.8233455411268	25.6037052153839	24.5740995436471	23.3948621293886		28.0911046413609		-0.8948953033799802	0.3714983548035431	-0.9824040964925768	0.49	0.49
C3L-00893	24.6759156789237	28.2186320642425	29.0949130591278	29.3302501623268	25.7074815925395	24.3408624461323	24.8044330992968	27.9114670663362	26.8301090261965	25.676041219362	24.5317421035239	23.2394161886142		28.7223743422487		0.33227053243960336	-0.004069931354004963	-0.2612945497513353	0.57	0.355
C3N-01488	22.7616095643611	28.2553486058959	28.9178363766663	29.2376194241416	25.9030710742148	24.6539484881908	24.8065037432393	28.2571194570745	27.7620498426568	26.9580790383781	24.7110358000204	24.3717096011928		28.3394642632733		-0.12466472469135459	0.6563014579813197	1.045704851597681	0.35	0.21
C3N-01413	22.9881347041029	28.0223445419109	28.9832131326889	29.2189101141383	25.2883141195607	24.3618812077247	24.3990246977248	28.9704066758933	27.8845118083554	26.4087768675346	25.33406498539	24.1516825608177		28.888748039324		-0.3641797508541688	-0.9323895037460964	1.1592810699080542	0.27	0.1325
C3N-01030		28.5190339353879	28.8707949499234	29.0925585280628	25.2935724523727	24.5033476064819	25.2468891419259	27.7327764526633	24.8197634295323	26.0075283790151	24.9653272929577	23.549427595895	21.7105022367452	27.590341355993		-0.10904203245438777	0.7590205298152545	-1.2056669288748914	0.32	0.32
C3N-02588		28.499172236714	28.9395389484514	29.0814579751379	24.8480293250366	24.5853033650123	24.9180910747684	27.1136257897656	26.6504234696002	24.9823923616749	25.1524726131675	23.5440419554715	19.0556973804585	28.0586241867291		-0.02645765105975458	0.04770078493280324	-1.089440708376442	0.22	0.22
C3N-00552		28.2140735147372	28.8056407499382	29.1174691744266	26.5574855770616	24.7572745090528	25.1763385408198	26.875251846511	27.1029211207625	26.4866467733574	24.6369328051889	24.0866897502142	18.3251582937008	28.2323459644584		-0.6189572437702707	1.8867171203347899	-0.1882906396352192	0.35	0.36
C3L-01889		28.4351384212411	29.343030136454	29.4691488782777	25.5532567101005	24.1255543270497	24.2058827317861	27.9674002343009	26.26749349566	24.4288009853205	24.2173196818797	22.9936108163824	18.3027300327424	27.6787122332357		1.3685239665285256	-1.4910560997859665	-1.1714589890180767	0.52	0.52
C3N-00169		28.489953360631	28.9003529653776	28.9721635993662	24.6674057103562	24.4451134986881	24.8949685238144	27.9007122671265	26.5356675924303	26.0389147282118	24.6103339013505	23.6235930663804	18.6318243037083	28.251089386209		-0.31602515045474805	-0.3461413852849069	-0.2291470295030188	0.42	0.28
C3L-00422		27.4600571297974	28.8711153828685	28.9624527392951	25.2484574366612	24.2362760452166	24.4570844302492	27.2024032587809	26.7813741739313	25.6245126435986	24.6840506558386	23.2490333341035	18.6316177478736	28.4614748461058		-1.8472036850301101	-1.0717215452729671	-0.6469862540274871	0.56	0.5675
C3L-00083		27.9589762933848	28.9927235391823	29.1346456424537	25.8733926015884	24.4346588330556	24.7220849868289	27.4340375884579	26.4274040494904	25.6313315060187	24.4689110942355	23.2060865838618	18.9030260922186	27.8566105449561		-0.5912489756583612	0.12150116726648087	-0.7161332864587576	0.33	
C3N-00551		28.2226294986276	28.937280359919	29.1279579165122	25.016991693346	24.4369619568985	24.8499453865076	26.999911853299	26.8742890408499	25.6142495345006	24.9113193506388	23.8261914113852	19.3638315317821	27.7747168783885		-0.33628462612033666	-0.2105578062074023	-0.6999589363169404	0.27	0.18
C3N-01842		29.0156957135558	29.5053248803128	29.617171892835	25.0516191639302	24.352008715091	24.6602842417957	27.4179410506702	26.4429454448929	26.1992813671375	24.6000827925639	23.4108206337264	18.6442794562155	27.344617926883		2.773035349278109	-0.6560156765574228	-0.420840974847753	0.46	0.2925
C3N-02089	22.5664900184424	28.5485019964909	29.0151742148135	29.3287325112405	24.6722704000484	24.5474526952547	24.7204192883872	27.9554209065121	26.6703401390534	25.8386634797402	25.1427137064729	23.2898761051453	18.8663084559625	27.3037803678529		0.6441223387031728	-0.4678648256872528	-0.23820235631900308	0.27	0.27
C3L-01682	22.5812742648168	28.0234517110163	28.9956843179825	29.2611923466718	25.1453805859056	24.5509262356768	24.5942055837505	27.702918885083	27.940598649029	26.1434443758657	25.5700663076389	24.5453936111121	18.6884905062242	28.5647718963782		-0.2607667537083298	-0.37133103222795505	0.45343315335163825	0.24	0.13
