gene	n_cldn4_observed	n_cldn4_na	median_cldn4_observed	median_cldn4_na	delta_median_na_minus_obs	p	tested	U	q
PRKDC	79	31	28.2505501536004	28.2730773320189	0.022527178418499716	0.48540972851639397	True	1119.0	0.9206133254475186
XRCC5	79	31	28.9729270252696	28.9604384325435	-0.012488592726096925	0.5366417332080765	True	1131.0	0.9206133254475186
XRCC6	79	31	29.2376194241416	29.2192281093371	-0.01839131480450007	0.8628510566501397	True	1198.0	0.9206133254475186
STING1	79	31	25.3463603634538	25.2654789981885	-0.08088136526530221	0.7751114539851143	True	1181.0	0.9206133254475186
TBK1	79	31	24.5049820315493	24.4451134986881	-0.05986853286119853	0.14021647414011956	True	1447.0	0.9206133254475186
IRF3	79	31	24.8044330992968	24.7633360823155	-0.04109701698130053	0.9206133254475186	True	1240.0	0.9206133254475186
HLA-A	79	31	27.8604977686749	27.7327764526633	-0.12772131601160197	0.45278455832648856	True	1338.0	0.9206133254475186
HLA-B	79	31	26.9880269425897	26.9046816367225	-0.0833453058671978	0.6562090123277129	True	1292.0	0.9206133254475186
HLA-C	79	31	26.1318748383373	25.9644916209552	-0.16738321738209905	0.2317222800238038	True	1405.0	0.9206133254475186
HLA-E	79	31	24.891526320535	24.8517755080424	-0.03975081249259915	0.8316307768389062	True	1257.0	0.9206133254475186
HLA-F	79	31	23.6474327698493	23.7392206002494	0.09178783040010075	0.5904594538383565	True	1143.0	0.9206133254475186
HLA-G	36	18	18.684616939430448	18.60574048681655	-0.07887645261389764	0.5147860125085237	True	360.0	0.9206133254475186
HLA-DRA	79	31	28.0262627077586	28.2184406130033	0.1921779052446979	0.26150153275085763	True	1055.0	0.9206133254475186
B2M	0	0					False		
