a	b	n	rho	p	ci_low	ci_high	tested	note
PRKDC	XRCC5	110	0.3096769830714785	0.0009942915441663435	0.12997185334222644	0.46968411078466843	True	spearman
PRKDC	XRCC6	110	0.34723080044180965	0.00020198968853726046	0.17111451648973744	0.501844352037561	True	spearman
XRCC5	XRCC6	110	0.8545544710682326	1.6664601890553935e-32	0.7944278402906254	0.898093727283197	True	spearman
HLA-A	HLA-B	110	0.3498005094335369	0.00017975647627727098	0.1739524337957459	0.5040294761448607	True	spearman
HLA-A	HLA-C	110	0.09629195500755133	0.31696730961688446	-0.09261942510430124	0.2785118942786737	True	spearman
HLA-B	HLA-C	110	0.1879268760002705	0.049294908713750335	0.0007104075464456058	0.3624157635337323	True	spearman
STING1	TBK1	110	0.07047765029416406	0.4643868966887647	-0.11832527617526947	0.25436246317578565	True	spearman
STING1	IRF3	110	-0.023754029258616416	0.8054321069937088	-0.21006119788521252	0.16421783491761183	True	spearman
TBK1	IRF3	110	0.19709667966548702	0.039032495122796315	0.010232853703298773	0.3706590937272184	True	spearman
