layer	grid	imputation	method	nhej_panel	immune_panel	n_nhej	n_immune	n	n_low	n_high	pattern_effect	pattern_p_two	pattern_p_one	nhej_effect	nhej_p_two	nhej_p_one	immune_effect	immune_p_two	immune_p_one	full_match	worse_arm_p	effect_kind	approx
protein	core_subsets	complete	spearman	PRKDC	STING1	1	1	79			-0.1442064264849075	0.20481791228264556	0.10240895614132278	0.04315968841285297	0.7056733067647624	0.3528366533823812	-0.18544303797468353	0.10179614337150668	0.05089807168575334	True	0.3528366533823812	rho	True
protein	core_subsets	complete	spearman	PRKDC	TBK1	1	1	79			-0.17680136319376827	0.11906646004824697	0.05953323002412349	0.04315968841285297	0.7056733067647624	0.3528366533823812	-0.21652872444011684	0.05527875708014359	0.027639378540071795	True	0.3528366533823812	rho	True
protein	core_subsets	complete	spearman	PRKDC	IRF3	1	1	79			-0.1802823758519961	0.11185710054635228	0.05592855027317614	0.04315968841285297	0.7056733067647624	0.3528366533823812	-0.18201071080817915	0.10840539774754727	0.05420269887377364	True	0.3528366533823812	rho	True
protein	core_subsets	complete	spearman	PRKDC	HLA-A	1	1	79			-0.1574732229795521	0.1657445263310205	0.08287226316551025	0.04315968841285297	0.7056733067647624	0.3528366533823812	-0.10133885102239533	0.37418943835668633	0.18709471917834317	True	0.3528366533823812	rho	True
protein	core_subsets	complete	spearman	PRKDC	HLA-B	1	1	79			-0.04028724440116845	0.7244509452420266	0.3622254726210133	0.04315968841285297	0.7056733067647624	0.3528366533823812	0.03880233690360273	0.7342229634903079	0.632888518254846	False	0.632888518254846	rho	True
protein	core_subsets	complete	spearman	PRKDC	HLA-C	1	1	79			0.006645569620253164	0.9536480586344838	0.5231759706827581	0.04315968841285297	0.7056733067647624	0.3528366533823812	0.07061830574488802	0.5362869814943989	0.7318565092528005	False	0.7318565092528005	rho	True
protein	core_subsets	complete	spearman	PRKDC	STING1+TBK1	1	2	79			-0.18096397273612463	0.1104858534194867	0.05524292670974335	0.04315968841285297	0.7056733067647624	0.3528366533823812	-0.22590068159688412	0.04530595349509946	0.02265297674754973	True	0.3528366533823812	rho	True
protein	core_subsets	complete	spearman	PRKDC	STING1+IRF3	1	2	79			-0.1628286270691334	0.1516372010530993	0.07581860052654965	0.04315968841285297	0.7056733067647624	0.3528366533823812	-0.22874878286270692	0.04258804983338396	0.02129402491669198	True	0.3528366533823812	rho	True
protein	core_subsets	complete	spearman	PRKDC	STING1+HLA-A	1	2	79			-0.1575462512171373	0.16554586007174124	0.08277293003587062	0.04315968841285297	0.7056733067647624	0.3528366533823812	-0.17461051606621228	0.1237836080396596	0.0618918040198298	True	0.3528366533823812	rho	True
protein	core_subsets	complete	spearman	PRKDC	STING1+HLA-B	1	2	79			-0.14357351509250244	0.20683343418032377	0.10341671709016188	0.04315968841285297	0.7056733067647624	0.3528366533823812	-0.04647030185004868	0.6842478711571722	0.3421239355785861	True	0.3528366533823812	rho	True
