accession,pdat,submission_date,n_samples,taxon,assay,pubmed,title,verdict,analyzable_tacstd2_cldn4_ici,reason
GSE111894,2019/06/13,Mar 15 2018,1084,Homo sapiens,Expression profiling by high throughput sequencing,31227543;36701231,Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer [scRNA-seq],LUNG_SC_T_CELL_NO_ICI,no,scRNA-seq of CD3+ tissue-resident memory T cells from lung tumor / non-involved lung (Clarke et al.). No ICI treatment or outcome. Epithelial TACSTD2/CLDN4 are not a T-cell phenotype.
GSE111898,2019/06/13,Mar 15 2018,1252,Homo sapiens,Expression profiling by high throughput sequencing; Other; Genome binding/occupancy profiling by high throughput sequencing,31227543;36701231,Single-cell transcriptomic analysis of tissue resident memory T cells in human lung cancer.,LUNG_SC_T_CELL_NO_ICI,no,"SuperSeries of GSE111894 (sorted CD8 TRM/non-TRM). Same limitation: no ICI, T-cell compartment only."
GSE117049,2019/09/03,Jul 12 2018,88,Homo sapiens,Expression profiling by high throughput sequencing; Expression profiling by array,31417181,The nuclear hypoxia-regulated NLUCAT1 long non-coding RNA contributes to an aggressive phenotype in lung adenocarcinoma through regulation of oxidative stress,LUNG_NOT_ICI,no,Early-stage LUAD hypoxia lncRNA (NLUCAT1) SuperSeries. Sample characteristics include histology/stage/recurrence/vital status but no immunotherapy. Hit the search only via the substring 'ICI' inside unrelated words (e.g. cisplatin-response). Not an ICI cohort.
GSE117570,2019/04/30,Jul 24 2018,8,Homo sapiens,Expression profiling by high throughput sequencing,31033233;34295900;40978058,Reprogramming of Tumor-infiltrating Immune Cells in Early Stage of NSCLC,LUNG_SC_NO_ICI,no,"10x scRNA-seq, 4 treatment-naive early NSCLC tumor/normal pairs. Mentions immunotherapy only as future design insight. Series matrix has no gene table. No ICI exposure or outcome."
GSE118933,2019/05/17,Aug 22 2018,18,Homo sapiens,Expression profiling by high throughput sequencing,30763282;35980387,Immune Checkpoint Regulation of Pulmonary Fibrosis [bulk RNA-seq],NOT_CANCER_IPF,no,"Bulk RNA-seq of invasive fibroblasts from idiopathic pulmonary fibrosis. PD-L1 is discussed as a fibrosis checkpoint, not as lung-cancer ICI therapy. No tumors, no ICI outcomes."
GSE119144,2019/07/31,Aug 28 2018,60,Homo sapiens,Methylation profiling by array,31537801;32762727;38110532,DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load,LUNG_METHYLATION_NO_ICI_LABELS,no,"Illumina methylation companion of the same Jung et al. paper as GSE135222 (n=60 NSCLC). Sample characteristics are only 'disease state: tumor'. No ICI drug, response, or PFS is deposited. Cannot test TACSTD2/CLDN4 promoter methylation vs ICI outcome from GEO."
GSE120028,2019/08/06,Sep 17 2018,19,Homo sapiens,Expression profiling by high throughput sequencing,31340866,"Transcriptomic analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody  [3'SAGE-seq]",NOT_LUNG_PRIMARY_NOT_PD1,no,"IT1208 anti-CD4 depleting antibody phase 1, 3'-SAGE-seq. Sources: gastric, gastro-esophageal, CRC (including one bronchus metastasis), pancreatic liver met, non-cancer esophagus/stomach. No primary lung cancer. Agent is anti-CD4, not PD-1/PD-L1/CTLA-4. Series matrix has no gene table. No deposited response labels."
GSE120101,2019/08/06,Sep 18 2018,105,Homo sapiens,Expression profiling by high throughput sequencing,31340866,"T-cell receptor repertoire analysis of advanced solid tumors in first-in-human phase 1 study of IT1208, a defucosylated humanized anti-CD4 depleting antibody [TCR-seq]",NOT_LUNG_PRIMARY_NOT_PD1,no,"TCR-seq companion of GSE120028 (same IT1208 trial). Blood/TIL CD4/CD8 repertoires, not tumor epithelial expression. Same non-lung, non-PD-1 limitations."
GSE124574,2019/01/03,Jan 02 2019,41,Homo sapiens,Expression profiling by array,30761123;41369171,CD56dim NK cell gene signature in melanoma patients with better and worse clinical outcomes,NOT_LUNG,no,NanoString of melanoma NK-cell signatures with PFS. Not lung.
GSE127462,2019/05/06,Feb 28 2019,302,Homo sapiens,Expression profiling by array,31061481,High-throughput tissue dissection and cell purification with digital cytometry [Affymetrix],NOT_LUNG_ICI_COHORT,no,"CIBERSORTx methods paper, Affymetrix bulk of follicular lymphoma and other dissection samples. Mentions immunotherapy only in the methods outlook. Not a lung ICI outcome cohort."
GSE127465,2019/04/09,Feb 28 2019,40,Mus musculus; Homo sapiens,Expression profiling by high throughput sequencing,30979687,Single cell transcriptomics of human and mouse lung cancers reveals conserved myeloid populations across individuals and species,LUNG_SC_MYELOID_NO_ICI,no,"scRNA-seq of tumor-infiltrating myeloid cells in human/mouse lung cancer. Human samples are surgical NSCLC (treatment-prior flag = 0). Immunotherapy is mentioned as a future TIM target, not as the treatment under study. No ICI outcome; not bulk epithelium."
GSE127471,2019/05/06,Feb 28 2019,1,Homo sapiens,Expression profiling by high throughput sequencing,31061481,High-throughput tissue dissection and cell purification with digital cytometry [scRNA-Seq],LUNG_SC_N1_NO_ICI,no,"Single scRNA-seq PBMC sample from one NSCLC patient, deposited as a CIBERSORTx reference. No ICI, n=1."
GSE127825,2019/11/20,Mar 05 2019,6,Homo sapiens,Expression profiling by high throughput sequencing,30518613;35367648,Noncoding regions are the main source of targetable tumor-specific antigens,NOT_LUNG,no,"RNA-seq of human thymic / medullary thymic epithelial cells for tumor-specific antigen discovery. Not lung cancer, not ICI-treated."
GSE129380,2019/09/28,Apr 05 2019,24,Homo sapiens; Mus musculus; Sarcophilus harrisii,Genome binding/occupancy profiling by high throughput sequencing,31564637,An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [ChIP-Seq],CELLLINE_CHIP,no,ChIP-seq (H3K27me3/H3K4me3/H3K27ac) including mouse SCLC line RP-116 plus non-lung lines. No patient ICI outcomes; not expression of TACSTD2/CLDN4.
GSE129381,2019/09/28,Apr 05 2019,30,Homo sapiens; Mus musculus,Expression profiling by high throughput sequencing,31564637,An evolutionarily conserved function of polycomb silences the MHC class I antigen presentation pathway and enables immune evasion in cancer [RNA-Seq],CELLLINE_INVITRO,no,RNA-seq of K562 and related lines under polycomb / IFN perturbation. SCLC mentioned in the SuperSeries; no human lung ICI cohort.
GSE133605,2019/07/02,Jul 01 2019,1,Homo sapiens,Expression profiling by array; Third-party reanalysis,,"Transcriptome of tumor biopsy sample of patient with non-small-cell lung adenocarcinoma, ALK rearrangement positive",LUNG_N1_NOT_ICI,no,"n=1 third-party reanalysis of an ALK+/PD-L1+ LUAD biopsy. PD-L1 is a tumor marker, not ICI treatment. Series matrix has no gene table. Cannot test a gene–outcome association."
GSE135164,2019/12/31,Jul 31 2019,15,Homo sapiens,Expression profiling by high throughput sequencing,31959344,Genome-wide profiling of non-small cell lung cancer derived cells,LUNG_PDC_NO_ICI_OUTCOME,no,"15 NSCLC patient-derived cell cultures. Treatment history includes naive / chemo / TKI; exactly one line (PDC6) is annotated 'Chemotherapy, immunotherapy' with no drug name, no response, and no survival. Series matrix has no gene table. n=1 immunotherapy exposure is not an ICI outcome analysis."
GSE135222,2019/08/02,Aug 01 2019,27,Homo sapiens,Expression profiling by high throughput sequencing,31537801;32762727,DNA methylation loss coupled with mitotic cell division promotes immune evasion of tumours with high mutation load [RNA-seq],SKIP_FABLE_COVERED,no,"NSCLC tumor RNA-seq with anti-PD-1/PD-L1 PFS; TACSTD2/CLDN4 already tested in cursor/fable-geo-2019-2021-c71e (Cox HR ~1.04/1.05, n=27). Not re-analyzed."
GSE135976,2019/08/20,Aug 19 2019,4,Homo sapiens,Expression profiling by array,31480591,MET regulates expression of co-stimulatory and co-inhibitory molecules in tumor cells and contributes to suppression of immune cell function,CELLLINE_INVITRO,no,"Agilent array, n=4 Hs746T (gastric MET-amplified) MET siRNA/inhibitor. Not lung; not ICI. Immunotherapy is mentioned only as a hypothetical combination."
GSE136932,2019/12/17,Sep 05 2019,24,Homo sapiens,Expression profiling by array,32039023,Effect of Pirfenidone on NSCLC [A549/H1975 0.75 mg/ml Pirf],CELLLINE_INVITRO,no,A549/H1975 pirfenidone time-course arrays. Checkpoint therapy is mentioned only as clinical background. No ICI treatment arm.
GSE136933,2019/12/17,Sep 05 2019,6,Homo sapiens,Expression profiling by array,,Effect of Pirfenidone on NSCLC  [A549 1.5 mg/ml Pirf 6hrs],CELLLINE_INVITRO,no,"A549 pirfenidone 6 h arrays. Same in-vitro, non-ICI limitation as GSE136932."
GSE136934,2019/12/17,Sep 05 2019,8,Homo sapiens,Expression profiling by array,,Effect of Pirfenidone on NSCLC [A549 1.5 mg/ml Pirf 24hrs],CELLLINE_INVITRO,no,"A549 pirfenidone 24 h arrays. Same in-vitro, non-ICI limitation as GSE136932."
GSE138571,2019/11/26,Oct 08 2019,10,Homo sapiens; Mus musculus,Genome binding/occupancy profiling by high throughput sequencing,31744829,In vivo epigenetic CRISPR screen identifies Asf1a as an immunotherapeutic target in Kras-mutant lung adenocarcinoma,MOUSE_ATAC_SCREEN,no,ATAC-seq of mouse KP cells ± Asf1a KO and human H2009. The paper studies anti-PD-1 sensitization in mice. No human lung ICI expression cohort and no TACSTD2/CLDN4 outcome labels.
GSE139555,2019/12/09,Oct 29 2019,32,Homo sapiens,Expression profiling by high throughput sequencing; Other,32103181;35263569,Peripheral clonal expansion of T lymphocytes associates with tumour infiltration and response to cancer immunotherapy,MIXED_SC_T_CELL_NO_ICI_LABELS,no,"scRNA/TCR of CD3+/CD45+ immune cells. 13/32 GSMs are lung (LUAD/LUSC/LCNEC tumor/normal); the rest are endometrial, CRC, RCC. No ICI drug or response field is deposited. TACSTD2/CLDN4 are epithelial and are not informative in sorted T/immune cells."
GSE142620,2019/12/27,Dec 26 2019,36,Homo sapiens,Expression profiling by high throughput sequencing,31941995,Chronic IL-1β-induced inflammation regulates epithelial-to-mesenchymal transition memory phenotypes via epigenetic modifications in non-small cell lung cancer,CELLLINE_INVITRO,no,"A549 chronic IL-1β EMT-memory RNA-seq. PD-L1 appears as a gene of interest, not as therapy. No ICI outcomes."
GSE71799,2019/01/01,Aug 06 2015,134,Homo sapiens,Expression profiling by array,30540547,Identification of molecular signatures of cystic fibrosis disease status using plasma-based functional genomics,NOT_CANCER,no,"Cystic-fibrosis plasma functional genomics (2015 submission, PDAT 2019/01/01). Hit via 'responder cells' wording. Not lung cancer, not ICI."
