celltype,n,n_tacstd2_pos,detection_rate,mean,median,p90
Epithelial,468,303,0.6474,0.9469,0.8759,2.2346
CD8_T,100,5,0.05,0.0408,0.0,0.0
NK,50,1,0.02,0.0341,0.0,0.0
Other_T,165,4,0.0242,0.0293,0.0,0.0
Neutrophil,2339,353,0.1509,0.2472,0.0,1.3854
Myeloid,1569,127,0.0809,0.0564,0.0,0.0
Other_immune,583,50,0.0858,0.1296,0.0,0.0
Other,1906,53,0.0278,0.0534,0.0,0.0
