celltype,KL1,KL2,total
Epithelial,265,203,468
CD8_T,25,75,100
NK,11,39,50
Other_T,49,116,165
Neutrophil,2098,241,2339
Myeloid,664,905,1569
Other_immune,326,257,583
Other,962,944,1906
