accession	year	assay	compartment	n_evaluable	public_processed_matrix	response_labels_public	can_test_malignant_or_epi_TACSTD2	can_test_perpatient_TNK_rho	ICI_or_neoadjuvant	finding	notes
GSE274584	2025	bulk EV RNA counts	NK-derived extracellular vesicles	10 NSCLC	yes_countTable.txt.gz	no	no	no	context_only_HLA_ICI_rationale	not_tested	PMID 40821787. Companion EV RNA, not scRNA. SuperSeries with GSE274588/595.
GSE274588	2025	scRNA 10x MTX	PBMC pre/post resection	~10 patients	yes_RAW.tar_1.1GB	no	no_PBMC	no	context_only_HLA_ICI_rationale	skipped_no_epithelium	PMID 40821787. Blood only. User rule: skip PB if no epithelium.
GSE274595	2025	scRNA 10x MTX	resected tumor tissue + nuclei	8 patients (7 with n_tnk>=20)	yes_RAW.tar_181MB	no	yes_marker_epithelial	yes_n=7	no_ICI_surgical_leftover	epi_TACSTD2_vs_TNK_rho=+0.75_p=0.052	PMID 40821787. Not ICI-treated. Tissue lanes have few T/NK (PT005 n_tnk=9). TACSTD2 expression is low. Direction opposite immune-cold claim.
GSE302113	2025	scATAC + mtDNA fragments	tumor / NILT / PBMC NSCLC+ovary	not RNA	yes_RAW.tar_36GB	no	no	no	not_ICI	not_tested	PMID 42242233. Innate TME clonal tracing. Occupancy profiling, not gene expression. Cannot score TACSTD2/CLDN4 RNA.
GSE267108	2024	scRNA BD-Rhapsody MTX	LUAD tumor	8 patients	yes_processed_data.tar.gz_249MB	PD-L1_inferred_from_published_n	yes_marker_epithelial	yes_n=8	treatment_naive_PDL1_axis_not_ICI	epi_TACSTD2_rho=-0.14_p=0.74;_CLDN4_rho=-0.36_p=0.39;_PDL1_poshigh_vs_neg_TACSTD2_p=0.11	PMID 39991571. GEO has no PD-L1 field. Groups matched exactly to paper cell counts (38244/14231/6335).
GSE176021	2021	scRNA 10x (GEO processed tars + CD3/CD8 RDS)	sorted lymphocytes	6 neoadjuvant nivo pts	yes_GEO_processed_not_EGA_FASTQ	yes_MPR_on_GEO	no_lymphocytes_only	no_no_epithelium	yes_neoadjuvant_nivo	not_tested_no_epi	PMID 34290408. Raw FASTQ is EGA EGAS00001005343. GEO cell type = lymphocytes. CD3/CD8 annotation RDS only. Cannot do malignant TACSTD2 vs T/NK.
GSE176022	2021	bulk TCR-seq peptide assays	MANAFEST TCR counts	6 patients	yes_txt.gz	yes_same_trial	no	no	yes_neoadjuvant_nivo	not_tested	Not gene-expression scRNA. Bulk TCR.
GSE186446	2023	scRNA/TCR T cells; GEO expression = bulk fcount	T cells (sc) / mixed regions (bulk)	3 ICB patients	yes_fcount_aggr.txt.gz	no_MPR_on_GEO	sc_no_epi;_bulk_proxy_only	bulk_region_n=19_patient_n=3	yes_ICB_3pts	bulk_TACSTD2_vs_TNK_region_rho=+0.27_p=0.26	PMID 37001526. SuperSeries GSE185206. scRNA is 187650 T cells. Only public expression matrix on this accession is bulk featureCounts. Patient-unit n=3 is underpowered.
GSE337519	2026	scRNA MTX	1 patient paired neoadjuvant chemo-IO	1 patient	yes_RAW.tar_34MB	no	yes_descriptive	n=1_no_rho	yes_neoadjuvant_chemoIO	descriptive_epi_TACSTD2=0.286_CLDN4=0.084_frac_tnk=0.532	PMID 42483203. One GSM / one MTX (8612 barcodes). Cannot test response.
GSE308745	2026	scRNA 10x + TCR + ADT	PBMC	PB cohort 2	yes_RAW.tar_1.6GB	paper_mentions_neoadj_PD1_in_TME	no	no	PB_companion	skipped_no_epithelium	PMID 41904165. Overall design = PBMC. User rule: skip PB if no epithelium. Tumor/LN from this paper are not this accession.
E-MTAB-13526	2024	scRNA 10x annotated h5ad	NSCLC tumor + background	24 patients tumor h5ad	yes_h5ad_58GB_plus_per_sample_MTX	no	yes_author_celltypes	yes_extra_n	not_ICI_treatment_naive_atlas	see_EMTAB13526_stats	De Zuani/Cvejic Nat Commun 2024. Extra n only. Tumor object streamed remotely (obs + TACSTD2/CLDN4 columns). Not ICI.
