sample	dataset	patient	viable_tumor	region	TACSTD2	CLDN4	EPCAM	KRT8	CD3D	CD3E	CD8A	NKG7	GNLY	PTPRC	tnk_score
1263_A4	GSE186446_bulk_fcount	MSK 1263	Yes	Adrenal	0.3116157092078041	0.0	2.882722916811101	2.1142469303946902	1.2233434099459417	2.0198853484862918	1.1286248446598193	0.9700291943842473	0.7121596000160526	5.796366369542822	1.1073324829966693
1263_A3	GSE186446_bulk_fcount	MSK 1263	Yes	Adrenal	1.1934511046681684	0.0	1.2834433394791565	4.058752625169941	1.6883469323313707	2.2589025682256456	1.7656499390317746	2.0012601849536917	2.0741091911209515	5.623119138109432	1.818419018772279
1263_LN12	GSE186446_bulk_fcount	MSK 1263	No	LN	1.2436382828571404	0.0	1.4813420045434174	2.324878381275062	4.403825197559062	5.071736141389944	3.4056194920503855	3.3418607671396683	2.6353347608872477	7.170964318608978	3.717101818916372
1263_R2	GSE186446_bulk_fcount	MSK 1263	No	No Viable Tumor	3.7890760861505868	0.776234008318482	4.377130225816979	5.09520611991288	2.584312782164955	3.43135289536121	2.268943376136636	2.6600557522864525	2.9809827904125727	6.042552794666788	2.504437303529348
1263_R3	GSE186446_bulk_fcount	MSK 1263	No	No Viable Tumor	4.060474647283896	0.6054866343903923	4.291330755777821	5.253031293300346	2.7969554376476635	3.5001597337268637	2.9647767073792455	2.9209133270516836	2.8170548839565765	5.9303780682797145	2.8942151573595307
1263_R4	GSE186446_bulk_fcount	MSK 1263	No	No Viable Tumor	3.891548473147322	0.5876633460663485	4.629144461252963	5.33261829928406	2.561892154318159	3.385661813948863	2.325696065671074	2.4301653978365514	2.8178659354062456	6.199494377349599	2.4392512059419285
1263_R8	GSE186446_bulk_fcount	MSK 1263	No	No Viable Tumor	3.286670512722496	0.477004962056347	4.292190678874948	4.8496052604417725	2.991108358867849	3.7029720805535504	2.5282924337458126	2.959923408105198	3.077344982178333	6.502497536726198	2.8264414002396197
1263_Normal	GSE186446_bulk_fcount	MSK 1263	No	Normal	2.72776461303194	1.0369990339732182	2.893412432929791	4.175309277274835	3.7318871019750457	4.441525289959507	3.3854231062425377	4.393775982546558	4.739441054203512	7.315402677467186	3.8370287302547137
1263_R1	GSE186446_bulk_fcount	MSK 1263	Yes	Viable Tumor	3.2027181238143707	0.5376902832790548	3.984517830596091	4.685364002083806	2.9446832085542782	3.665549709610843	2.7060283293852456	2.8971850365767176	2.692344868342375	6.328829510985802	2.84929885817208
1263_R5	GSE186446_bulk_fcount	MSK 1263	Yes	Viable Tumor	3.3614476644084554	0.3634492488528001	3.573027062581606	4.900835616364182	3.2339389441364785	3.754001289218235	3.2143199185746125	3.2296123032855486	3.0259274393793194	6.179109812643408	3.225957055332213
