cell_type	n
cDC2	59572
B cells	47023
Pro-inflammatory (low) macrophages	36021
Naive T cells	21447
NK cells (higher cytotoxicity)	18994
Cytotoxic T cells (low)	18220
CD8+ (low) T cells	18219
Exhausted T cells	17288
NK cells (lower cytotoxicity)	17052
Pro-inflammatory (medium) macrophages	16544
Downregulated T cells	16448
Anti-inflammatory (medium) macrophages	16241
Immature myeloid cells 2	15756
Anti-inflammatory (high) macrophages	15544
Pro-inflammatory (high) macrophages	14140
STAB+ anti-inflammatory cells	14059
SPP1+ macrophages	12614
Transitioning epithelial cells	12307
Tregs	12083
Epithelial cells	9368
Exhausted cytotoxic T cells	9132
Plasma B cells	8234
pDCs	7327
AT2 cells	6752
Anti-inflammatory (high) alveolar macrophages	6574
CD8+ T cells	6465
Exhausted cytotoxic T cells 2	5721
Cycling immature anti-inflammatory myeloid cells	5234
Mast cells	5195
Immature myeloid cells 1	5038
LYZ+ B cells	4636
Cycling anti-inflammatory macrophages	4011
Cycling cytotoxic (low) T cells	3838
Ciliated epithelial cells	3129
Cycling exhausted cytotoxic T cells	3009
CAMLs	2520
Immature anti-inflammatory myeloid cells	2271
Cycling epithelial cells	1895
Activated adventitial fibroblasts	1137
Collagen+ macrophages	1131
SPP1+ cycling anti-inflammatory macrophages	693
Lymphatic endothelial cells	304
Cycling epithelial cells 2	303
Mast cells,3 (to remove)	297
Mast cells,9 (to remove)	241
Cycling myeloid cells,2,0 (to remove)	82
Cycling mast cells	60
