gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
LGALS3BP	0.6865382522102166	7.949417091712054	5.056169922857548	0.0014696353360461659	0.13578227446561214	7	0.311925993632349	malignant	GSE189357	continuous_single			IFN
C1R	-0.7365602564827725	5.1716088060595276	-4.8701336425394794	0.0018139780608454916	0.15124025551354295	7	0.311925993632349	malignant	GSE189357	continuous_single			IFN
PTPN1	-0.4880852842147708	5.907066188748678	-4.620571129790109	0.0024245077312761857	0.10563310692653317	7	0.311925993632349	malignant	GSE189357	continuous_single			IFN
ZNFX1	-0.4801372634448942	4.31785303944499	-4.59123261178341	0.0025101052373877916	0.10457698488476072	7	0.311925993632349	malignant	GSE189357	continuous_single			IFN
C1S	-0.9383524091529859	4.687735529139362	-4.559370665582985	0.002606862914436342	0.2058074409778226	7	0.311925993632349	malignant	GSE189357	continuous_single			IFN
SERPING1	-0.8333591116927612	6.141213264205645	-4.50197068033003	0.0027917313802834575	0.18510984874554304	7	0.311925993632349	malignant	GSE189357	continuous_single			IFN
TIAM1	-0.6172895925760102	2.717350235048845	-4.380995053502859	0.0032305559763028437	0.1409016867258162	7	0.3283476531859021	malignant	GSE189357	continuous_single			TJ
CSF1	-0.639536127369778	4.694429739881234	-3.8586027023072442	0.006222738920306071	0.16574293253549235	7	0.38035816741723477	malignant	GSE189357	continuous_single			IFN
SLC39A9	0.3585042927831279	4.257615479082529	3.602581565205839	0.008709805409445064	0.09951316473875428	7	0.3867350904957935	malignant	GSE189357	continuous_single			TJ
IL4R	-0.33542308497323775	5.086804455110178	-3.542815435879198	0.009434168719637986	0.09467698530843674	7	0.3867350904957935	malignant	GSE189357	continuous_single			IFN
TBCD	0.23004251333027867	4.86233934623089	3.5413412921896565	0.009452839101688627	0.06495914805998279	7	0.3867350904957935	malignant	GSE189357	continuous_single			TJ
MYL9	-0.8491618605543685	6.209957346350308	-3.3600979151254937	0.01208270626915516	0.25271937961446395	7	0.4031545321558107	malignant	GSE189357	continuous_single			TJ
CIITA	0.2840080557772173	3.8368553690689513	3.348511840840988	0.012275740356933216	0.08481620172676108	7	0.4031545321558107	malignant	GSE189357	continuous_single			IFN
TRAFD1	0.22166528170446445	4.106366239189054	3.3027726085922637	0.01307077680060008	0.06711490858553067	7	0.4045432542217682	malignant	GSE189357	continuous_single			IFN
GCH1	0.3365481771725969	3.749676157702531	3.1022663679732196	0.017267336530670932	0.10848461648780706	7	0.4128141807813115	malignant	GSE189357	continuous_single			IFN
TUBA1A	-0.5744336630209448	7.96671787862264	-3.0492911210563878	0.018601780323496915	0.18838268968623095	7	0.42014180247296146	malignant	GSE189357	continuous_single			TJ
ACTR3B	0.27776884202473967	1.994099585407091	2.923984189754647	0.02221365430587648	0.09499669765589512	7	0.42811832255903215	malignant	GSE189357	continuous_single			TJ
ZEB1	-0.9420505135873659	3.305943614734303	-2.913757393265806	0.02253954503357369	0.3233112392145642	7	0.42811832255903215	malignant	GSE189357	continuous_single			TJ
TJAP1	0.25499703879207136	3.7236219063068665	2.8802090684732815	0.023644521992475284	0.08853421148598709	7	0.42811832255903215	malignant	GSE189357	continuous_single			TJ
PCNA	0.5000821064410054	5.336122803998409	2.8690123043616205	0.02402591032317518	0.17430462242380584	7	0.42811832255903215	malignant	GSE189357	continuous_single			TJ
STAT4	-0.5902998876349612	2.938272088643049	-2.841326123835038	0.02499706749731471	0.20775506292048332	7	0.42811832255903215	malignant	GSE189357	continuous_single			IFN
RAB8B	-0.4725608444426718	4.816620091531044	-2.812239527887294	0.026061979529833596	0.16803719589194632	7	0.4289444722251291	malignant	GSE189357	continuous_single			TJ
MYL6B	0.40103226438231965	5.37205560253529	2.7436303458130964	0.0287670833494328	0.1461684752810498	7	0.43229331897496537	malignant	GSE189357	continuous_single			TJ
ARPC2	-0.36804032344594484	7.948888972042383	-2.739269031274247	0.028948700931801973	0.1343571293085954	7	0.4327725003573876	malignant	GSE189357	continuous_single			TJ
CDH1	0.367368830583277	6.534760721054813	2.730621838122387	0.029312353016937905	0.13453669250513461	7	0.4335679115915497	malignant	GSE189357	continuous_single			TJ
MICALL2	0.3897366235113321	4.033879318637825	2.6922204932432447	0.03098596558079386	0.14476400595325198	7	0.4381678490227337	malignant	GSE189357	continuous_single			TJ
MYD88	-0.2254681835094812	3.770225528043582	-2.680788318539992	0.03150326058552711	0.08410517978990428	7	0.4381678490227337	malignant	GSE189357	continuous_single			IFN
NFKB1	-0.28248957949475256	6.523250258302602	-2.6796845435235817	0.03155368022149902	0.10541896813096523	7	0.4381678490227337	malignant	GSE189357	continuous_single			IFN
PLA2G4A	0.8045348619733922	2.5448609214671567	2.6429464323341976	0.03328076866061627	0.3044083119243711	7	0.44248911636683913	malignant	GSE189357	continuous_single			IFN
CNP	0.27885555284585545	4.396399338021979	2.6184402350268265	0.03448732807950734	0.10649681788249733	7	0.4456781537850348	malignant	GSE189357	continuous_single			IFN
ELF1	-0.3082210127749361	7.065533403129057	-2.604054197686821	0.0352167272416493	0.11836198073324608	7	0.4490264235069737	malignant	GSE189357	continuous_single			IFN
CLDN18	-0.9337493432129857	7.147486756932303	-2.5829609829298796	0.03631528449808023	0.36150346419628226	7	0.4490264235069737	malignant	GSE189357	continuous_single			TJ
CLDN15	0.3070005692039874	2.587196170630262	2.582284227050278	0.036351113847734685	0.11888721078340457	7	0.4490264235069737	malignant	GSE189357	continuous_single			TJ
MPDZ	-0.7287816649399552	3.895238341300006	-2.5718393246401385	0.03690876905950131	0.28336982717298215	7	0.449254301241147	malignant	GSE189357	continuous_single			TJ
CD274	-0.3309065049671421	2.785906564821504	-2.5456236114193924	0.03834782228839318	0.1299903502948084	7	0.4513532899358615	malignant	GSE189357	continuous_single			IFN
CDC42	0.21250126544249717	8.35248957100099	2.513994342254769	0.040161635836614015	0.08452734434235343	7	0.45374698348427744	malignant	GSE189357	continuous_single			TJ
ARID5B	-0.375220939033893	6.272384522234109	-2.4876989615329244	0.041736932147950906	0.15083052444684913	7	0.4575573065801893	malignant	GSE189357	continuous_single			IFN
PPP2R2A	-0.2256478978421144	6.044849179843791	-2.4874762133200923	0.04175054532831043	0.09071359019788852	7	0.4575573065801893	malignant	GSE189357	continuous_single			TJ
AUTS2	0.23202009831795845	5.586780154072805	2.425268157964863	0.045737087747711624	0.09566781205450516	7	0.4657147139772215	malignant	GSE189357	continuous_single			IFN
VIM	-0.5862592871040346	10.377625560118737	-2.4194542578221787	0.04612911872809669	0.24231054801248594	7	0.4662805414439152	malignant	GSE189357	continuous_single			TJ
KRT19	0.38302976447014314	9.20005897387174	2.418138826644188	0.04621829533990463	0.1583985833442404	7	0.46651231325641696	malignant	GSE189357	continuous_single			keratin
TENT5A	0.3538705494479538	6.805149966941562	2.4118581058563575	0.046646525691258454	0.14672113114312257	7	0.46771650114227037	malignant	GSE189357	continuous_single			IFN
