family	n_tested	n_p05	n_fdr05	n_up	n_down	median_logFC	top_gene	top_logFC	top_p	top_fdr	n_q1	n_q4	compartment	contrast
IFN	214	73	0	0	73	-1.167460729083398	OAS2	-4.05347400380783	0.0001736752426651423	0.3065808563548327	6	6	malignant	q4q1_GSE205335
MHC-I/APM	21	11	0	0	11	-1.5749499404544063	ERAP1	-2.074865498756278	0.005385268794333509	0.3729685530877069	6	6	malignant	q4q1_GSE205335
TJ	184	26	0	11	15	-0.03528704573277815	PRKCE	-1.626693305286309	0.003482860138319456	0.35400964271994073	6	6	malignant	q4q1_GSE205335
keratin	14	1	0	0	1	-1.1538077768958415	KRT6A	-4.712643468154484	0.007103362086250403	0.3780000521349934	6	6	malignant	q4q1_GSE205335
chemokine	20	8	0	0	8	-1.7546076168051838	CCL5	-4.4982648131686105	0.0002561106281258551	0.3065808563548327	6	6	malignant	q4q1_GSE205335
IFN	219	76	0	0	76	-0.9119752853551155	CCL5	-3.632535243859054	0.00031188916051834453	0.25840961638375415	9	8	malignant	q4q1_combined
MHC-I/APM	21	13	0	0	13	-1.2883146362479088	PSMB9	-2.2189937976214402	0.0036385399350558185	0.27093220509843113	9	8	malignant	q4q1_combined
TJ	189	26	0	11	15	-0.017327997995330007	ACTR3	-0.9418005369528899	0.0026795816984909234	0.2663350253975949	9	8	malignant	q4q1_combined
keratin	14	1	0	0	1	-0.7463391373229056	KRT6A	-3.6537698519061195	0.005153867157685552	0.29588861890372087	9	8	malignant	q4q1_combined
chemokine	23	9	0	0	9	-0.9735178150909907	CCL5	-3.632535243859054	0.00031188916051834453	0.25840961638375415	9	8	malignant	q4q1_combined
