family	split	cohort	n_q1	n_q4	n	n_genes	logFC	p	t	se	df	fdr
IFN	q4q1	GSE189357+GSE205335	9.0	8.0	17	222	-0.8868206799970267	0.0017718357939161705	-3.8487707251027174	0.23041660398551253	14.0	0.004429589484790426
MHC-I/APM	q4q1	GSE189357+GSE205335	9.0	8.0	17	21	-1.1343601407593022	0.013890434924240256	-2.8104917511140974	0.4036162498287477	14.0	0.02315072487373376
TJ	q4q1	GSE189357+GSE205335	9.0	8.0	17	194	-0.01235268740251829	0.8947177745626991	-0.1347627171250738	0.09166249884271563	14.0	0.8947177745626991
keratin	q4q1	GSE189357+GSE205335	9.0	8.0	17	16	-0.7789759017436019	0.18302236650890624	-1.400887526372003	0.5560588463236458	14.0	0.2287779581361328
chemokine	q4q1	GSE189357+GSE205335	9.0	8.0	17	25	-1.2041629510505867	0.0005509897019732249	-4.44849279599743	0.27069009803366273	14.0	0.0027549485098661243
IFN	continuous	GSE189357+GSE205335			31	222	-0.3410475771515031	0.004079955014672667	-3.128279489312797	0.10902081425800689	28.0	0.009956584723139802
MHC-I/APM	continuous	GSE189357+GSE205335			31	21	-0.4802941529184618	0.005973950833883882	-2.975086841213201	0.16143870029777155	28.0	0.009956584723139802
TJ	continuous	GSE189357+GSE205335			31	194	-0.006324465474941643	0.8608782542246605	-0.176876980015463	0.0357562949932136	28.0	0.8608782542246605
keratin	continuous	GSE189357+GSE205335			31	16	-0.467936843309693	0.06680163347024655	-1.9072003343556334	0.24535274815154126	28.0	0.08350204183780818
chemokine	continuous	GSE189357+GSE205335			31	25	-0.42407507886046714	0.0030198620994067106	-3.247334165123409	0.13059175843837154	28.0	0.009956584723139802
IFN	continuous	GSE189357			9	222	-0.05878533219797667	0.5712967342128937	-0.5938487521205367	0.09899041125886664	7.0	0.7454791908410386
MHC-I/APM	continuous	GSE189357			9	21	-0.03778977147216343	0.8155959015940736	-0.24216253543226474	0.1560512711213069	7.0	0.8155959015940736
TJ	continuous	GSE189357			9	194	-0.024634867909853322	0.29081189222073606	-1.142505172385508	0.021562150006215412	7.0	0.7270297305518402
keratin	continuous	GSE189357			9	16	0.17383274189317025	0.09279084736976992	1.9454240112779766	0.08935468097722155	7.0	0.4639542368488496
chemokine	continuous	GSE189357			9	25	-0.13709542964035074	0.5963833526728309	-0.5546791558678603	0.24716167570034056	7.0	0.7454791908410386
IFN	q4q1	GSE205335	6.0	6.0	12	222	-1.1470399963590434	0.0017229826825717527	-4.237588130255914	0.2706822751766043	10.0	0.0043074567064293814
MHC-I/APM	q4q1	GSE205335	6.0	6.0	12	21	-1.4609347186021937	0.018013215272803796	-2.8247547135811772	0.5171899392107022	10.0	0.03002202545467299
TJ	q4q1	GSE205335	6.0	6.0	12	194	-0.004376951532570228	0.97303234264852	-0.03466077580775689	0.12627967581702804	10.0	0.9730323426485199
keratin	q4q1	GSE205335	6.0	6.0	12	16	-1.2583213807139162	0.11197602920457253	-1.7428048559356242	0.7220093382390691	10.0	0.13997003650571566
chemokine	q4q1	GSE205335	6.0	6.0	12	25	-1.41113864162081	0.0005357393756697426	-5.00201609771821	0.2821139744561268	10.0	0.002678696878348713
IFN	continuous	GSE205335			22	222	-0.40649983452967153	0.0066190316455535456	-3.0296178958309494	0.1341752816713471	20.0	0.012185725791924278
MHC-I/APM	continuous	GSE205335			22	21	-0.5866915031889999	0.0073114354751545665	-2.9854444451110203	0.19651730721359395	20.0	0.012185725791924278
TJ	continuous	GSE205335			22	194	-9.679895617697998e-05	0.9983480320696614	-0.0020964683506977167	0.04617239089002451	20.0	0.9983480320696614
keratin	continuous	GSE205335			22	16	-0.6381737586767365	0.05178341874972785	-2.0683633072566674	0.30854045632977584	20.0	0.06472927343715981
chemokine	continuous	GSE205335			22	25	-0.4852344253184877	0.00273813116641415	-3.416042149295247	0.14204579572257178	20.0	0.012185725791924278
