sample,B/Plasma,Endothelial,Epithelial,Fibroblast,Mast,Myeloid,T/NK
BD_immune01,58,537,173,7,12,259,154
BD_immune02,445,54,27,1,0,35,638
BD_immune03,226,14,192,2,11,92,663
BD_immune04,69,90,23,2,12,200,804
BD_immune05,172,53,568,10,3,87,307
BD_immune06,21,132,20,1,22,237,767
BD_immune07,16,18,687,42,14,266,157
BD_immune08,171,55,51,82,47,139,655
BD_immune09,65,16,71,3,3,221,821
BD_immune10,60,99,67,10,3,216,745
BD_immune11,77,105,152,3,11,321,531
BD_immune12,278,371,94,0,13,166,278
BD_immune13,25,292,5,3,4,637,234
BD_immune14,371,39,43,9,12,93,633
BD_immune15,63,202,89,0,10,601,235
