gene,mean_high,mean_low,log2FC_high_vs_low,spearman_rho,spearman_p,welch_t,welch_p,mwu_p,spearman_fdr,welch_fdr,up_in_trop2_high,n_high,n_low,n_total
TACSTD2,10.039809962320103,7.489923451327825,2.5498865109922777,1.0000000000000004,,26.276007287414203,2.004802883754774e-71,6.875109406079945e-58,,8.845390803414437e-67,True,172,172,516
RHBDL2,3.922470779184541,2.541521364543134,1.3809494146414072,0.5888983851378707,1.7429283890982322e-49,14.594608987818093,1.0674620737313654e-37,6.447197545548888e-32,7.6898000527014e-45,2.3548747077550787e-33,True,172,172,516
PRSS22,5.677777231821274,3.94085015106096,1.736927080760314,0.5734275543684517,1.922346817967505e-46,13.777918557051535,6.8557286002625305e-34,1.075380459144847e-29,4.240697080436316e-42,1.0082720052406103e-29,True,172,172,516
LIPH,6.061284937348318,4.275865829716454,1.7854191076318635,0.5378555179441985,4.99709731107073e-40,11.585024145242132,4.123851543078578e-26,5.2384488251528695e-24,7.349064445481354e-36,2.0216494881352215e-22,True,172,172,516
CLDN4,8.612779398413153,7.413513574689069,1.199265823724084,0.5355856184379986,1.2092952291094341e-39,11.759191031426221,1.289455901782349e-26,2.0387688050731117e-26,1.333852637707706e-35,9.482013973756504e-23,True,172,172,516
PPL,6.269623912114948,4.963545310469863,1.3060786016450852,0.529435892240041,1.2819425883268856e-38,11.523826938481706,5.235818136063328e-26,2.680902342996694e-25,1.1311861399396437e-34,2.152993250815438e-22,True,172,172,516
KRT19,10.380139221548266,8.775480196145383,1.6046590254028832,0.5275563336947926,2.6125828838190717e-38,11.502551333583394,1.409749139703549e-25,1.6236749119244162e-25,1.921119280568291e-34,4.146636119524019e-22,True,172,172,516
DTX2,5.096824213340163,4.050703480981117,1.0461207323590465,0.52549169291722,5.681915581554079e-38,12.737336751952274,1.2899470586603251e-30,6.716724384584601e-27,3.5812302208309427e-34,1.422843854378805e-26,True,172,172,516
RHOC,6.780393179129383,5.902958248025844,0.8774349311035392,0.5221782929723342,1.955155646825856e-37,12.142029422626951,2.1105150479904663e-28,3.2520826589831556e-25,1.0782683392244595e-33,1.8623606886477473e-24,True,172,172,516
EPHA1,4.1985293566418145,3.088656317069721,1.1098730395720935,0.5127739494356042,6.062605507201596e-36,11.348765174867339,3.826491235794031e-25,6.115249795849332e-24,2.972023944197049e-32,9.931095283204025e-22,True,172,172,516
TTC22,3.782921424154156,2.8278327956818368,0.9550886284723195,0.5099074132445034,1.6908473066816022e-35,11.309535867537182,2.973720356001815e-25,2.2272401595785223e-24,7.46001831707923e-32,8.200219739197256e-22,True,172,172,516
VGLL1,2.8032512891797285,0.9447300733561605,1.858521215823568,0.504192965447422,1.2693703315454921e-34,11.341758529266846,1.3897623522861706e-24,2.0342511728528782e-23,5.091329002526101e-31,3.227247618169375e-21,True,172,172,516
ZNF185,5.260631157569233,4.201711961243113,1.0589191963261202,0.5037277168722241,1.4932796561007079e-34,11.525754659256796,3.817425620846516e-26,3.0421569962313908e-24,5.490291535596936e-31,2.0216494881352215e-22,True,172,172,516
KIAA1522,7.232169676987104,6.370472204785206,0.8616974722018975,0.5010278221655846,3.8144600835921572e-34,10.99745946559865,5.234111081375466e-24,1.975371336748359e-22,1.277636768090693e-30,1.0497009773698498e-20,True,172,172,516
RNF223,2.4353560026721675,1.4347528293452094,1.000603173326958,0.5008515398925384,4.054151122681256e-34,11.375921998277127,1.202960988563078e-25,4.0829105903010695e-24,1.277636768090693e-30,3.7911315554565406e-22,True,172,172,516
SPATS2L,5.188204007558827,4.223346779907463,0.9648572276513638,0.5000589245416274,5.329815871470138e-34,11.497847936555994,5.367721891836047e-26,1.2734112537909668e-24,1.5676765083284165e-30,2.152993250815438e-22,True,172,172,516
