resource	class	indication	modality	open_processed_rna	TACSTD2_in_open_processed	usable_for_slide_style_bulk_correlation	evidence
OncoSG GIS031 / luad_oncosg_2020	OncoSG LUAD	East-Asian LUAD, Chen Nat Genet 2020	bulk RNA-seq V2 RSEM z-scores	Yes via cBioPortal API (169 tumors)	Yes	Yes	TACSTD2 retrieved for 169 RNA samples; native OncoSG count portal returned HTTP 403 from this environment; raw FASTQ remains EGAS00001002941 / EGAD00001004421 (controlled).
OncoSG stad_oncosg_2018	OncoSG non-LUAD	gastric cancer WGS	no RNA profile	No	No	No	cBioPortal study metadata: mrnaRnaSeqSampleCount=0 and mrnaRnaSeqV2SampleCount=0.
OncoSG other LUAD RNA studies	OncoSG LUAD	NA	NA	None found	NA	No	GEO query OncoSG[All Fields] and GIS031[All Fields] returned 0 series. Only one OncoSG LUAD RNA study is public.
GSE248378	durvalumab patient NSCLC	NCT02904954 resectable stage I-IIIA NSCLC	bulk RNA-seq post-treatment FPKM	Yes (downloaded)	Yes	Yes	Reproduces TACSTD2 vs ESTIMATE ImmuneScore Spearman rho=-0.6576 (n=29).
GSE253564	durvalumab patient NSCLC	NCT02904954 pretreatment companion	bulk RNA-seq pretreatment FPKM	Yes (downloaded)	Yes	Yes	TACSTD2 vs ESTIMATE ImmuneScore Spearman rho=-0.7119 (n=32).
GSE110390	durvalumab patient NSCLC	CP1108 / NCT01693562 advanced NSCLC	bulk RNA-seq	21-gene matrix only	No	No	Open processed genes are CXCL9 CD274 LAG3 IFNG PDCD1 NKG7 CD8A SLAMF7 PDCD1LG2 HAVCR2 CD80 CD86 CTLA4 CD2 TLR8 GZMK TNFRSF4 FOXP3 CD276 VTCN1 CD37. TACSTD2 is absent. Full transcriptome is SRA-only.
GSE131933	durvalumab patient NSCLC	3 NSCLC tumors, pre/post durvalumab or durvalumab+tremelimumab	scRNA-seq gene counts	Yes; smallest processed file downloaded (25.5 MB)	Yes	No	TACSTD2 is present but sparse (991/4458 cells nonzero in T1T3D0). Not a bulk 29-sample correlation cohort. Larger count files were not downloaded (86.4 MB and 914.2 MB).
GSE190731	durvalumab NSCLC model	EGFR-mutant NSCLC xenograft + human T cells	Affymetrix HG-U133 Plus 2.0	Yes, series matrix (downloaded)	Yes	No	TACSTD2 probes 202285_s_at, 202286_s_at, 202287_s_at, 227128_s_at are present. T-cell-engrafted n=20 correlations are null/weakly positive, not rho=-0.65.
PACIFIC NCT02125461	durvalumab patient NSCLC	unresectable stage III after cCRT	no public RNA accession	No	No	No	GEO query PACIFIC AND durvalumab AND RNA returned 0 series. Publications point to AstraZeneca request-based sharing.
COAST NCT03822351	durvalumab patient NSCLC	unresectable stage III consolidation	no public RNA accession	No	No	No	No GEO/ArrayExpress sample-level RNA accession identified.
NeoCOAST NCT03794544	durvalumab patient NSCLC	resectable NSCLC platform	aggregate DE tables only	No sample-level matrix	Aggregate only	No	Supplementary Table 7 is gene-level fold-change, not a TACSTD2 sample vector.
GSE176307	durvalumab keyword, not lung	metastatic urothelial cancer ICB	bulk RNA-seq	Yes	Not required	No	Lung-keyword false positive; not NSCLC.
GSE158403	durvalumab keyword, not lung	melanoma + MAPK inhibitors	bulk RNA-seq	Yes	Not required	No	Not NSCLC.
All other GEO durvalumab expression series in the 44-series census	durvalumab non-lung	HNSCC, HCC, ovarian, CRC, breast, CTCL, RCC, mesothelioma, esophageal, pancreas, in-vitro	various	Not downloaded	Not scored	No	Complete GEO esearch of durvalumab expression series (n=44) found no additional patient NSCLC bulk RNA beyond GSE248378, GSE253564, and GSE110390.
BioStudies/ArrayExpress independent lung RNA	durvalumab patient NSCLC	NA	NA	None found	NA	No	BioStudies query durvalumab AND (NSCLC OR lung) returned papers, not a new sample-level RNA accession.
