cohort	unit	patient	cldn4_pct	cldn4_mean	quartile	in_count_matrix
GSE123902	donor	LX255B	35.08771929824561	0.4488016514639581	Q2	True
GSE123902	donor	LX653	71.72413793103448	1.2524068271342224	Q4	True
GSE123902	donor	LX661	58.97435897435898	0.8576085684228482	Q3	True
GSE123902	donor	LX666	67.17557251908397	0.9923952117887151	Q3	True
GSE123902	donor	LX675	31.3915857605178	0.582960587751478	Q1	True
GSE123902	donor	LX676	42.17687074829932	0.831390019521496	Q2	True
GSE123902	donor	LX679	43.25955734406438	0.5643712240448416	Q2	True
GSE123902	donor	LX680	73.25581395348837	1.85907788462344	Q4	True
GSE123902	donor	LX681	63.29743164871583	1.1775350457817828	Q3	True
GSE123902	donor	LX682	18.76484560570071	0.4613182340255857	Q1	True
GSE123902	donor	LX684	72.83236994219652	0.9118972941270772	Q4	True
GSE123902	donor	LX699	15.217391304347819	0.3141177643147814	Q1	True
GSE123902	donor	LX701	11.11111111111111	0.1116109679423314	Q1	True
GSE131907	sample	BRONCHO_11	80.78817733990148	1.8059599708830327	Q2	True
GSE131907	sample	BRONCHO_58	72.17391304347827	1.426353336223562	Q2	True
GSE131907	sample	EBUS_06	71.16357504215851	1.3552293035869711	Q2	True
GSE131907	sample	EBUS_10	84.46866485013625	1.9049734855942484	Q3	True
GSE131907	sample	EBUS_12	88.32684824902724	2.3549040610356684	Q3	True
GSE131907	sample	EBUS_13	0.2659574468085106	0.0018434765440424	Q1	True
GSE131907	sample	EBUS_15	47.265625	1.1294928392821784	Q1	True
GSE131907	sample	EBUS_19	94.00921658986177	2.4779035334230066	Q4	True
GSE131907	sample	EBUS_28	96.33620689655172	2.197978326433922	Q4	True
GSE131907	sample	EBUS_49	49.122807017543856	0.9512107328950752	Q1	True
GSE131907	sample	EBUS_51	85.36964980544747	1.581328884787959	Q3	True
GSE131907	sample	NS_02	58.5635359116022	1.126727726322637	Q1	True
GSE131907	sample	NS_03	93.14412089937338	2.264933208146411	Q4	True
GSE131907	sample	NS_04	89.34092758340114	1.9523515591538416	Q4	True
GSE131907	sample	NS_06	60.24096385542169	1.434511918266367	Q1	True
GSE131907	sample	NS_07	90.407204385278	1.5931307483262624	Q4	True
GSE131907	sample	NS_12	86.33938100320171	1.728830943634575	Q3	True
GSE131907	sample	NS_13	72.41124260355029	0.9959480312401604	Q2	True
GSE131907	sample	NS_16	11.39240506329114	0.1031375586066322	Q1	True
GSE131907	sample	NS_17	88.21942446043165	2.300820123330216	Q3	True
GSE131907	sample	NS_19	67.1523178807947	1.0082934839931024	Q2	True
GSE205335	patient	P0031	59.24764890282132	0.9488405678584309	Q2	True
GSE205335	patient	P1006	74.18096723868955	1.3380774788530891	Q3	True
GSE205335	patient	P1015	41.580756013745706	0.7684376084668274	Q1	True
GSE205335	patient	P1016	82.64617691154422	1.4550707508198382	Q4	True
GSE205335	patient	P1017	64.31838975297347	1.4468339255966445	Q3	True
GSE205335	patient	P1018	67.03389830508475	1.456712726949631	Q3	True
GSE205335	patient	P1025	92.85714285714286	1.6940450124805284	Q4	True
GSE205335	patient	P1027	78.07283763277694	2.119879172945015	Q3	True
GSE205335	patient	P1030	61.69154228855721	1.6170852017252315	Q3	True
GSE205335	patient	P1037	86.05284663579407	0.954375637171382	Q4	True
GSE205335	patient	P1056	49.70662196144174	0.8104878252251735	Q2	True
GSE205335	patient	P1062	45.21276595744681	0.9858522627525454	Q1	True
GSE205335	patient	P1063	35.11450381679389	0.736917035356666	Q1	True
GSE205335	patient	P1072	58.86699507389162	0.9359386543482128	Q2	True
GSE205335	patient	P1076	59.36395759717315	0.9238031801089972	Q2	True
GSE205335	patient	P1079	51.38121546961326	0.9667483711478282	Q2	True
GSE205335	patient	P1084	86.73469387755102	2.256213852289076	Q4	True
GSE205335	patient	P1089	87.77046095954844	2.151441746784373	Q4	True
GSE205335	patient	P1090	38.16254416961131	0.6880064512464571	Q1	True
GSE205335	patient	P1115	88.8829928362961	1.6229821464124854	Q4	True
GSE205335	patient	P1119	36.08837970540098	0.5610693021147378	Q1	True
GSE205335	patient	P4001	48.14814814814815	0.7331695459652892	Q1	False
GSE189357	patient	TD1	56.1299176578225	0.9674971541301648	Q3	True
GSE189357	patient	TD2	35.6255178127589	0.5306434754503818	Q1	True
GSE189357	patient	TD3	48.042168674698786	0.6981268538447051	Q3	True
GSE189357	patient	TD4	30.346232179226067	0.5108686257635009	Q1	True
GSE189357	patient	TD5	36.86635944700461	0.5360227792318812	Q2	True
GSE189357	patient	TD6	63.501238645747314	1.13970175467227	Q4	True
GSE189357	patient	TD7	36.63133097762073	0.4511173921656661	Q1	True
GSE189357	patient	TD8	45.338567222767416	0.6825880840310956	Q2	True
GSE189357	patient	TD9	78.56412354264675	1.286821189923943	Q4	True
