contrast	term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	label	fdr_headline	n_q1	n_q4
stacked_q1_vs_q4	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6727458122256748	3.7886112255807123	0.000999000999000999	198	1.2896191704999276	CCL5,GZMA,CSF2RB,GBP4,CD69,TAP1,IL10RA,EPSTI1,IL15RA,STAT1,SAMHD1,FGL2,CD86,JAK2,LCP2,SAMD9L,PSME2,PSMB9,PFKP,STAT4,OAS2,IFI35,LAP3,RTP4,TNFAIP3	130	IFN-γ	0.001332001332001332		
stacked_q1_vs_q4	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6778311728566649	3.3261117148813604	0.000999000999000999	95	1.230525631223829	GBP2,GBP4,TMEM140,TAP1,EPSTI1,SAMD9L,PSME2,PSMB9,IFI35,LAP3,IFITM1,RTP4,STAT2,CASP1,UBE2L6,SELL,IFI44L,B2M,OASL,IRF9,SP110,SAMD9,BST2,ELF1,CXCL11	60	IFN-α	0.001332001332001332		
stacked_q1_vs_q4	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.7605748471822823	2.595895046846412	0.000999000999000999	21	1.7029816344961763	TAP2,TAP1,PSMB9,HLA-E,HLA-B,B2M,HLA-F,HLA-C,ERAP1,PSMB10,PSMB8,IRF1,HLA-A,TAPBPL,TAPBP,NLRC5,ERAP2,HLA-G	18	MHC-I / APM	0.001332001332001332		
stacked_q1_vs_q4	KEGG_TIGHT_JUNCTION_NO_CLDN4	-0.25354036854459766	-1.0612609269633004	0.3356643356643357	147	-0.34722981932578256	DLG2,NEDD4L,MAP3K1,ROCK1,PCNA,MICALL2,ROCK2,PPP2R2D,STK11,CLDN9,MARVELD3,PPP2CB,CLDN18,SCRIB,PRKAA1,CDC42,CRB3,MAPK9,IGSF5,AMOTL1,MAPK8,JUN,EPB41L4B,CACNA1D,TJP2	42	KEGG TJ (CLDN4 out)	0.3356643356643357		
stacked_q1_vs_q4	KEGG_TIGHT_JUNCTION	-0.2605580002071812	-1.1050885349111779	0.25074925074925075	148	-0.3629242446099462	DLG2,NEDD4L,MAP3K1,ROCK1,PCNA,MICALL2,ROCK2,PPP2R2D,STK11,CLDN9,MARVELD3,PPP2CB,CLDN18,SCRIB,PRKAA1,CDC42,CRB3,MAPK9,IGSF5,AMOTL1,MAPK8,JUN,EPB41L4B,CACNA1D,TJP2	43	KEGG TJ (CLDN4 in)			
stacked_q1_vs_q4	GOBP_TIGHT_JUNCTION_ORGANIZATION_NO_CLDN4	-0.3543380294654502	-1.3395737545902524	0.053946053946053944	69	-0.5844359191737462	ROCK1,MICALL2,ROCK2,CLDN9,MARVELD3,NPHP4,CLDN18,ESAM,CLDN12,FZD5,F11R,ABCC8,PRKACA,GRHL2,OCLN,CLDN15,ILDR1,STRN,MARVELD2,SLC39A9,CLDN3,TBCD	22	GO TJ organization (CLDN4 out)			
stacked_q1_vs_q4_drop_CLDN4	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6727342242667763	3.622754168915769	0.000999000999000999	198	1.2896191704999276	CCL5,GZMA,CSF2RB,GBP4,CD69,TAP1,IL10RA,EPSTI1,IL15RA,STAT1,SAMHD1,FGL2,CD86,JAK2,LCP2,SAMD9L,PSME2,PSMB9,PFKP,STAT4,OAS2,IFI35,LAP3,RTP4,TNFAIP3	130	IFN-γ	0.001332001332001332		
stacked_q1_vs_q4_drop_CLDN4	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.6778200252540514	3.3719611568452215	0.000999000999000999	95	1.230525631223829	GBP2,GBP4,TMEM140,TAP1,EPSTI1,SAMD9L,PSME2,PSMB9,IFI35,LAP3,IFITM1,RTP4,STAT2,CASP1,UBE2L6,SELL,IFI44L,B2M,OASL,IRF9,SP110,SAMD9,BST2,ELF1,CXCL11	60	IFN-α	0.001332001332001332		
stacked_q1_vs_q4_drop_CLDN4	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.7605632804733384	2.685208064154052	0.000999000999000999	21	1.7029816344961763	TAP2,TAP1,PSMB9,HLA-E,HLA-B,B2M,HLA-F,HLA-C,ERAP1,PSMB10,PSMB8,IRF1,HLA-A,TAPBPL,TAPBP,NLRC5,ERAP2,HLA-G	18	MHC-I / APM	0.001332001332001332		
stacked_q1_vs_q4_drop_CLDN4	KEGG_TIGHT_JUNCTION_NO_CLDN4	-0.25358743337860445	-1.0601647150541407	0.3126873126873127	147	-0.34722981932578256	DLG2,NEDD4L,MAP3K1,ROCK1,PCNA,MICALL2,ROCK2,PPP2R2D,STK11,CLDN9,MARVELD3,PPP2CB,CLDN18,SCRIB,PRKAA1,CDC42,CRB3,MAPK9,IGSF5,AMOTL1,MAPK8,JUN,EPB41L4B,CACNA1D,TJP2	42	KEGG TJ (CLDN4 out)	0.3126873126873127		
stacked_q1_vs_q4_drop_CLDN4	KEGG_TIGHT_JUNCTION	-0.25358743337860445	-1.0626983836130726	0.3356643356643357	147	-0.34722981932578256	DLG2,NEDD4L,MAP3K1,ROCK1,PCNA,MICALL2,ROCK2,PPP2R2D,STK11,CLDN9,MARVELD3,PPP2CB,CLDN18,SCRIB,PRKAA1,CDC42,CRB3,MAPK9,IGSF5,AMOTL1,MAPK8,JUN,EPB41L4B,CACNA1D,TJP2	42	KEGG TJ (CLDN4 in)			
stacked_q1_vs_q4_drop_CLDN4	GOBP_TIGHT_JUNCTION_ORGANIZATION_NO_CLDN4	-0.3543857424068586	-1.3325379095015362	0.057942057942057944	69	-0.5844359191737462	ROCK1,MICALL2,ROCK2,CLDN9,MARVELD3,NPHP4,CLDN18,ESAM,CLDN12,FZD5,F11R,ABCC8,PRKACA,GRHL2,OCLN,CLDN15,ILDR1,STRN,MARVELD2,SLC39A9,CLDN3,TBCD	22	GO TJ organization (CLDN4 out)			
q1_vs_q4_GSE123902	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5254588978708833	2.520125413686616	0.000999000999000999	177	0.8782504181379793	IL15RA,ARID5B,CSF2RB,B2M,CFH,SAMHD1,FGL2,TNFAIP2,OASL,EPSTI1,HLA-DQA1,IL10RA,IRF2,RTP4,HLA-B,UBE2L6,MYD88,PML,CD69,CCL5,VCAM1,GZMA,LAP3,IFI44,SAMD9L	74	IFN-γ	0.001332001332001332	4.0	3.0
q1_vs_q4_GSE123902	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5798907459129005	2.508105332728075	0.000999000999000999	89	0.924815352525646	B2M,ELF1,OASL,LPAR6,MVB12A,EPSTI1,HLA-C,IRF2,GBP2,RTP4,UBE2L6,LAP3,IFI44,SAMD9L,CASP1,BST2,SAMD9,IFI44L,PSME2,IL4R,ISG15,TAP1,IFI35,TMEM140,IFITM1	41	IFN-α	0.001332001332001332	4.0	3.0
q1_vs_q4_GSE123902	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.7421538560961984	2.284139976188707	0.000999000999000999	20	1.38168696919061	B2M,HLA-C,HLA-B,HLA-E,TAP1,PSMB9,TAP2,HLA-F,PSMB8,HLA-G,TAPBPL,HLA-A	12	MHC-I / APM	0.001332001332001332	4.0	3.0
q1_vs_q4_GSE123902	KEGG_TIGHT_JUNCTION_NO_CLDN4	-0.2901992125843943	-1.206686405611326	0.09290709290709291	126	-0.32676343216920944	CACNA1D,PPP2R2D,LLGL2,CLDN1,CRB3,CLDN18,MYH14,PRKCI,PATJ,CLDN23,OCLN,EPB41L4B,PRKAA2,AFDN,MAPK9,SCRIB,PPP2CB,NEDD4L,MARVELD2,ERBB2,RAPGEF6,PRKAB1,F11R,CLDN3	24	KEGG TJ (CLDN4 out)	0.09290709290709291	4.0	3.0
q1_vs_q4_GSE131907	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.25248045571622324	1.2909288324505659	0.001998001998001998	183	0.013535938074755702	PSMA2,IRF8,CD69,CCL5,LCP2,GZMA,JAK2,IL10RA,STAT1,PFKP,STAT2,GBP4,FGL2,IL18BP,PSME1,CCL2,TAP1,SERPING1,IL2RB,PTPN1,LATS2,CMTR1,SAMHD1,IRF9,HLA-DRB1	52	IFN-γ	0.007992007992007992	6.0	5.0
q1_vs_q4_GSE131907	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.20812714153993458	0.9821843806044496	0.08291708291708291	94	-0.03915781058097352	STAT2,GBP4,GBP2,PSME1,TAP1,CMTR1,IFITM1,IRF9,LAP3,MOV10,PSME2,TMEM140,RTP4,PNPT1,IFI30,PSMB9,CXCL10,TRIM26,IRF1,PLSCR1,C1S,IFI35,PARP12,IFITM3,EPSTI1	26	IFN-α	0.11455211455211456	6.0	5.0
q1_vs_q4_GSE131907	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.32756779149107107	1.103901721672143	0.08591408591408592	21	0.15309214425476023	TAP2,TAP1,PSMB9,PSMB10,IRF1	5	MHC-I / APM	0.11455211455211456	6.0	5.0
q1_vs_q4_GSE131907	KEGG_TIGHT_JUNCTION_NO_CLDN4	-0.303605763759458	-1.1968788072156606	0.13586413586413587	133	-0.39045086508991395	SRC,MYH9,PRKACA,OCLN,STK11,NEDD4,CLDN1,AMOTL1,MAGI1,SLC9A3R1,MARVELD2,MYH14,ACTR2,ARPC5L,JUN,RAC1,MARVELD3,ACTR3,MAPK9,TUBA4A,CACNA1D,CRB3,WHAMM,MICALL2,ARHGEF2	39	KEGG TJ (CLDN4 out)	0.13586413586413587	6.0	5.0
q1_vs_q4_GSE205335	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.7618292805676803	3.9393980766915426	0.000999000999000999	190	1.8003423631093556	CD274,OAS2,GBP4,CCL5,GZMA,PSME2,SAMD9L,RSAD2,STAT1,CASP1,NFKB1,XAF1,IFI35,DDX58,TNFSF10,MYD88,EPSTI1,TAP1,FAS,MX1,RNF213,CD86,CMPK2,IRF5,KLRK1	138	IFN-γ	0.001332001332001332	5.0	6.0
q1_vs_q4_GSE205335	HALLMARK_INTERFERON_ALPHA_RESPONSE	0.7701085750560173	3.534586123522245	0.000999000999000999	96	1.812319594583923	GBP4,PSME2,SAMD9L,RSAD2,GBP2,CASP1,IFI35,EPSTI1,SAMD9,TAP1,MX1,CMPK2,PSMB9,IFIH1,PARP12,DDX60,IFI44L,TMEM140,STAT2,SP110,IL7,IL15,UBA7,OASL,OAS1	73	IFN-α	0.001332001332001332	5.0	6.0
q1_vs_q4_GSE205335	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.872256504940526	2.835811543903565	0.000999000999000999	21	2.0987975331783195	ERAP1,TAP1,TAP2,PSMB9,HLA-B,HLA-F,PSMB10,TAPBPL,PSMB8,HLA-E,HLA-A,NLRC5,TAPBP,IRF1,HLA-C,ERAP2,B2M,CANX	18	MHC-I / APM	0.001332001332001332	5.0	6.0
q1_vs_q4_GSE205335	KEGG_TIGHT_JUNCTION_NO_CLDN4	0.2727148031091563	1.343028361722864	0.011988011988011988	143	0.17684285535600505	PRKCE,ACTR2,ACTR3,CLDN16,ACTG1,CLDN10,ARPC1B,TUBA1C,MYH9,RAP1A,TUBA4A,HSPA4,ARPC4,WAS,ACTN4,MSN,ACTB,HCLS1,MYL6,VASP,RAP2C,LLGL1,SLC9A3R1,RHOA,CLDN1	52	KEGG TJ (CLDN4 out)	0.011988011988011988	5.0	6.0
loo_drop_GSE123902	HALLMARK_INTERFERON_GAMMA_RESPONSE	0.6585381335880668	3.711756049614345	0.000999000999000999	195	1.0593861080262006	CCL5,GZMA,GBP4,CSF2RB,CD86,LCP2,CD69,STAT1,TAP1,PFKP,IL2RB,JAK2,CD274,IL10RA,EPSTI1,SAMD9L,PSMB9,OAS2,PSME2,TNFAIP3,SAMHD1,PARP12,STAT4,CFB,GBP6	110	IFN-γ	0.001332001332001332	14.0	13.0
