gene	stat_low_vs_high
SAMSN1	6.565377977483868
CD48	6.060779586587814
SRGN	5.906488721138987
CTSW	5.876344645742054
GYPC	5.765145134873953
BCL2A1	5.7286311168237205
CD37	5.659230661315842
MIR155HG	5.648741506719601
CD70	5.647068303639404
SLA	5.622440401358471
CCL5	5.611489318828735
SERPINB9	5.519944754816068
CD52	5.402609937440434
RGS1	5.342988787964407
GMFG	5.293311233198917
ACAP1	5.28598568983855
GZMM	5.216239436912632
GIMAP4	5.183145598063643
ALOX5AP	5.030579903554402
DOK2	5.018112592281869
LSP1	4.980360518255399
ENTPD1	4.936845499199444
CCDC69	4.910893157680445
HMOX1	4.8523358090769255
PTGER2	4.830997935343887
SLC2A3	4.813676009071181
GBP5	4.762752878618905
AC133644.2	4.756323572725588
BIN2	4.73173271062282
HAVCR2	4.710423879697489
PLEK	4.628445838330657
FGR	4.618851440552075
CLEC2D	4.6106205852287125
GBP2	4.6067535750456505
ABI3	4.6018222901035335
LAPTM5	4.548308731733372
TIGIT	4.46942163099459
STX11	4.458174518030708
CSF2RB	4.435925709585488
GIMAP7	4.4284619150085724
MYLK	4.414664676113496
MSC	4.405861119907367
GBP4	4.356426656833784
SP140	4.334055106151629
PTPN7	4.299307978172927
IL16	4.281088506609515
ITM2A	4.277435169538804
SH2D1A	4.272154723980274
GLIPR1	4.270735982872728
TBC1D10C	4.265264454785083
CST7	4.255357303443608
TNFRSF4	4.253216462026384
ARHGAP15	4.235657339524548
PDCD1	4.172052076448243
P2RY10	4.160763014596424
CYBB	4.131335917245464
OPTN	4.120672017570538
FKBP5	4.117173148096812
LOX	4.111653907369192
TRAF3IP3	4.100183897327192
CCL3	4.092570069799453
MATK	4.0874504439257615
BTK	4.074230947455159
GNGT2	4.036323531593995
PECAM1	4.035283609507949
WIPF1	3.996978298160405
TAGAP	3.9760292245291757
C1ORF162	3.9581803226207466
LINC01480	3.9564118381903546
TRAT1	3.9551857905885854
RELB	3.951106894169912
RHOH	3.94934683588277
GBP1	3.9409353355153374
IL18RAP	3.91107953839522
CCL4	3.9110171389660895
FCER1G	3.9065654922507584
EMP3	3.9031021916098774
SIT1	3.8949185473646804
IGKC	3.88908358718235
MMP14	3.8766818079354173
SASH3	3.8754305119984997
FCGR3A	3.8735259501386032
TAP2	3.865594455893652
CSGALNACT1	3.8655872658647006
RHOF	3.838575115744
ARHGAP9	3.8368330102687693
PDE3B	3.8075820139858654
TNIP1	3.7809312475222145
CD300A	3.7798232928588313
PARVG	3.778634586440901
TMEM140	3.7747707357896347
CXCR3	3.7548050765318264
ZYX	3.7533732893903915
KLHL6	3.7450877799960836
TAP1	3.7374454360851805
PSTPIP1	3.7345786546490114
GPX8	3.7281768383634932
PPP1R2	3.723491955128175
JAML	3.719790413560209
TNFSF8	3.7196390237361587
ITGA5	3.7158980497067144
CD84	3.71426995221284
IL10RA	3.7122314128708136
RUNX3	3.6986037129056104
CYTH4	3.691759341544791
GIMAP6	3.6905925015022283
SAMD3	3.675681449549266
PTGDS	3.6626141832687056
SLC7A7	3.6620948854931012
SCML4	3.6575534392176476
GIMAP1	3.653702120666124
MYO1F	3.6515568323683745
ACTG2	3.643261169776152
EPSTI1	3.638932517204413
RBKS	3.61797697786885
S1PR1	3.612005643251288
C16ORF74	3.6046289784670833
GPR183	3.5992706539073445
VIM	3.5977183860575375
RASAL3	3.587483632383154
UTS2	3.5866592562351975
ITGAL	3.584271313916108
WNT6	3.580710551872433
EBI3	3.57826205046461
IL2RG	3.5742893544046503
JAK3	3.573480210639376
STK10	3.5688046859847637
IL15RA	3.5588259550039196
C3AR1	3.5492350892232816
SPI1	3.5476902051662114
CLMP	3.52799758437449
GPRIN3	3.5247232656876655
MEI1	3.517829867946012
CD53	3.5149829388420795
CD68	3.5127086200760407
APOBEC3G	3.5121145066216557
PDCD1LG2	3.506002632775512
IL21R	3.505469018843871
BAK1	3.4961629004567025
PTPN22	3.490392853962279
TNFSF14	3.485081376247125
S1PR4	3.4843499249651804
THEMIS	3.4767452711074336
STAT1	3.474671968507318
CALCRL	3.4738623407658795
SAMHD1	3.4647243136437917
LAMA2	3.4624939955968537
ITGA4	3.459849711466574
FERMT3	3.4584934471627395
SLC2A1-AS1	3.454897350149214
P2RY8	3.4491555392126707
CD109	3.4474833524271027
FASLG	3.4466886854095677
FGL2	3.4452963953876683
SLAMF1	3.4448428790036005
DEF6	3.441218347261199
APBB1IP	3.4402809894459843
CHI3L2	3.4264584581966373
C16ORF54	3.4257727546690764
PPP1R18	3.4160065388489262
GRAP2	3.413922424783185
RARB	3.3954284231534095
FAM78A	3.391363998892294
LTB	3.385422628498218
WAS	3.383664609208536
TNFAIP8	3.3788875176747344
FMNL1	3.3726169067829272
NRBP1	3.370459831016217
LAIR1	3.3699780852480004
RASA3	3.3637292902182594
PTPRC	3.3554226245731704
IL18R1	3.3538395793820395
JAK2	3.3286578049468596
FXYD1	3.317172083880158
CDK6	3.308745173589647
ULK4	3.3082152561910094
ACKR4	3.305377943508324
OSM	3.3034266059051687
LINC00861	3.295883668477725
DDX47	3.293212818119707
PIK3R5	3.285159342675851
LILRB1	3.279996302720894
HACD1	3.2673491028025583
TMEM200A	3.266136601972899
CTLA4	3.2607129421021166
IRAK2	3.2602208176064846
S100A8	3.2486754254854193
IKZF1	3.248111902163585
IGF2BP2	3.2433049990992124
PRDM1	3.2411343280679583
CXCR6	3.2405839050928695
PPP1R14A	3.2382853413786536
CSMD1	3.238066044486811
SAMD9L	3.2374464903588605
STK4	3.2366986537068487
CD226	3.2201416347746616
IL12RB1	3.2154273520205194
FMO3	3.2125610807483076
BTLA	3.2103012278239196
CYTIP	3.210185200029703
SLC23A1	3.2100861390147646
TM4SF19	3.198865567655704
CHST11	3.1985064124405405
PSME2	3.197423321206504
ANAPC5	3.1949438358714537
ABCG2	3.1893598163739183
HVCN1	3.1866508915801126
PLAC8	3.183363053998692
IFNG	3.183014937744727
PSMB9	3.18133746079031
LAMA4	3.1724290063800247
PFKP	3.1694071485700293
LPXN	3.162912040880686
PLTP	3.1598222791013004
STAT4	3.158709497203512
TUBB6	3.157034856922905
GLIPR2	3.1503239972940302
CLECL1	3.1479357226346907
ADA	3.1459316226949667
TNFRSF9	3.141746611801313
APOBEC3D	3.141456316847086
TNFRSF13B	3.129769978210814
FOXC2	3.1288808941520756
CCR1	3.1279868436644525
