gene	logFC	t	se	p	df	stat_low_vs_high
SYNGR1	-0.7814286520312326	-1.5136937980090928	0.5162395809899054	0.1409270276077535	29	1.5136937980090928
SP100	-0.7254134212381402	-1.5135558747106377	0.4792775961289339	0.14096190149250057	29	1.5135558747106377
CACNG8	-0.4261074529628443	-1.5131000532018466	0.28161221200221703	0.14107720555153988	29	1.5131000532018466
FGF7	-0.47067279640505016	-1.5130676419476687	0.31107188030218214	0.14108540716747414	29	1.5130676419476687
SLC9A9	-0.6248867097213991	-1.5124106637896708	0.41317264198310455	0.14125173758761492	29	1.5124106637896708
SHISA5	-0.35438880893309316	-1.5119238421025114	0.23439593917658777	0.1413750909124826	29	1.5119238421025114
LINC00115	-0.3789128255649113	-1.5114478646871163	0.2506952667158981	0.14149578066421234	29	1.5114478646871163
PDE5A	-0.5917243553494935	-1.5111390861617755	0.39157504479117566	0.14157411968275915	29	1.5111390861617755
CASC9	-0.8040164001824819	-1.5110747625639245	0.5320824754019865	0.1415904433891227	29	1.5110747625639245
IGHA2	-1.522747418798073	-1.5104173087432125	1.008163379738491	0.14175737585485693	29	1.5104173087432125
TMEM119	-0.5525559962780936	-1.5101752043506287	0.36588866953069277	0.14181888804438206	29	1.5101752043506287
MRPS22	-0.4031297999626787	-1.509358497757283	0.26708684554509676	0.14202655029995181	29	1.509358497757283
CFAP206	-0.5647282522929333	-1.5093224769530293	0.37416010224202595	0.14203571488883807	29	1.5093224769530293
BIRC2	-0.19081821453474546	-1.5083706950683267	0.12650617991892352	0.14227804507537944	29	1.5083706950683267
TMIGD3	-0.582218396351175	-1.5082337626746871	0.3860266297968788	0.14231293647229987	29	1.5082337626746871
ZNF404	-0.374468138519511	-1.5079512012798724	0.24832908266638964	0.14238495707804438	29	1.5079512012798724
HLA-A	-0.7355054791284219	-1.506428747364119	0.48824445259384236	0.14277351433384436	29	1.506428747364119
EFEMP1	-0.8185530501993975	-1.5059745269497964	0.5435371153702688	0.14288960516429702	29	1.5059745269497964
LINC00702	-0.34699902549544603	-1.5052738953032592	0.23052218375549394	0.1430688238778793	29	1.5052738953032592
WBP1L	-0.34996585359080046	-1.5034416940573525	0.23277647212666044	0.1435383514452542	29	1.5034416940573525
LPAR6	-0.6121475167950465	-1.5034146042061785	0.40717145828064377	0.14354530292306278	29	1.5034146042061785
IFI44	-0.7098923755111431	-1.5031258321905434	0.47227741038592824	0.1436194210753063	29	1.5031258321905434
CLEC10A	-0.45071839147310955	-1.5028644813513545	0.2999062104840151	0.14368652774778495	29	1.5028644813513545
GNG11	-1.0859609136078583	-1.5007341732366368	0.7236197675606759	0.14423446799883774	29	1.5007341732366368
FUBP1	-0.23999733075591062	-1.500056101954533	0.15999223658581868	0.14440922909050477	29	1.500056101954533
NRG4	-0.4614957878898691	-1.4995999393860018	0.30774593661215044	0.1445268931223308	29	1.4995999393860018
CDKL1	-0.4227413207088842	-1.49949119232165	0.2819231769240053	0.1445549550970428	29	1.49949119232165
CCDC90B	-0.31891055495152926	-1.4975107795202751	0.21296044029392008	0.1450667658425649	29	1.4975107795202751
SERBP1	-0.30809235327955176	-1.4972358792387324	0.20577409181257458	0.1451379253872367	29	1.4972358792387324
KLHL21	-0.4217074670816162	-1.4970928019004177	0.28168425267044134	0.14517497292261453	29	1.4970928019004177
PRKCB	-0.7769856844684488	-1.4967526681765648	0.5191142805277374	0.14526307557966425	29	1.4967526681765648
IGHV3-21	-0.6040202890875546	-1.4964447968973735	0.40363686675237803	0.14534285864888327	29	1.4964447968973735
VRK2	-0.3571084243604096	-1.4945582531242747	0.23893911369054915	0.1458325169889019	29	1.4945582531242747
FGF1	-0.3734842076859593	-1.494556057452671	0.24989641962478656	0.1458330876555508	29	1.494556057452671
UACA	-0.9543949040582802	-1.4933610300360993	0.6390918772235602	0.1461439485856844	29	1.4933610300360993
SLAMF8	-0.4481037777626619	-1.4916314125207595	0.3004118671685761	0.14659481652830547	29	1.4916314125207595
ALG3	-0.32582816698364414	-1.4914333311457493	0.21846646456086397	0.14664652275963247	29	1.4914333311457493
ABCA13	-0.8279863271318794	-1.4910820679615813	0.5552922571618056	0.14673825094657578	29	1.4910820679615813
SMOX	-0.7171065960623811	-1.4909248202704115	0.4809810570678663	0.1467793292645582	29	1.4909248202704115
ADAMTSL3	-0.43879343321714503	-1.4900560573813757	0.2944811579695066	0.14700644581370975	29	1.4900560573813757
NEIL3	-0.38348848595019785	-1.4889778509700304	0.2575515046784377	0.14728870933975494	29	1.4889778509700304
ADAM33	-0.3517016661044343	-1.4884282876739003	0.23629063557645083	0.14743274710521667	29	1.4884282876739003
HAAO	-0.40060099736071686	-1.4877896226979523	0.26925916893698215	0.14760028029029015	29	1.4877896226979523
FTSJ1	-0.3258158641987861	-1.4868689804432296	0.21912883279175124	0.14784205051705526	29	1.4868689804432296
TOMM34	-0.35947367862640583	-1.4861294551733986	0.2418858447190007	0.14803648807719538	29	1.4861294551733986
C11ORF98	-0.45748658682024534	-1.485979504175089	0.307868705816511	0.14807593857098966	29	1.485979504175089
RPL26	-0.45789437715524767	-1.4859359880198824	0.30815215517151934	0.14808738878516559	29	1.4859359880198824
FNDC1	-0.4154136359343419	-1.484825398373551	0.27977271697357675	0.14837985429836636	29	1.484825398373551
NXNL2	-0.43750355433799454	-1.4847792592626048	0.2946589882695928	0.14839201472613966	29	1.4847792592626048
RTCA	-0.3017332903230829	-1.4832550896835457	0.20342643178622635	0.14879417541392873	29	1.4832550896835457
FGFR1OP2	-0.2885755943275078	-1.483138094472497	0.1945709542509894	0.14882508140869347	29	1.483138094472497
CFAP52	-0.6502452239739428	-1.4824511412426769	0.4386284349505572	0.14900665419742196	29	1.4824511412426769
GRM5	-0.3338558300348399	-1.482436187947286	0.2252075554746991	0.1490106085718973	29	1.482436187947286
ARTN	-0.5538123324270733	-1.4814739566388728	0.3738252231470524	0.14926524634695582	29	1.4814739566388728
TEX12	-0.2066643573870939	-1.481311253545352	0.1395144719872113	0.1493083374099033	29	1.481311253545352
RABL2A	-0.3126605244796946	-1.4809980846957091	0.211114739249602	0.14939130665947073	29	1.4809980846957091
RMDN1	-0.3305266964289489	-1.480739717030417	0.22321728297516807	0.1494597850489725	29	1.480739717030417
ABRACL	-0.3992722649345595	-1.4806757365253103	0.26965543844969625	0.14947674648925158	29	1.4806757365253103
SOD2	-0.6207054632952006	-1.4805555826071988	0.4192382039464964	0.14950860386081055	29	1.4805555826071988
CILP2	-0.484273654045493	-1.4804726258089476	0.3271074693332342	0.14953060204276358	29	1.4804726258089476
TSPAN32	-0.3703255989628662	-1.4798584287024759	0.2502439367038398	0.1496935534530621	29	1.4798584287024759
MYO1G	-0.8531229971995553	-1.4792179114718236	0.5767392286040512	0.1498636396183063	29	1.4792179114718236
ZBED2	-0.6478043568879351	-1.4789346286113227	0.4380209539729318	0.14993891342986515	29	1.4789346286113227
ZNF556	-0.4462979375438278	-1.4779509777920834	0.30197073126914803	0.15020052438606976	29	1.4779509777920834
FOLR3	-0.9195730274235129	-1.4774932571631942	0.622387292101153	0.15032238419395702	29	1.4774932571631942
UBD	-0.7567279191182964	-1.4772934383271317	0.5122394099138526	0.15037560719872758	29	1.4772934383271317
CCDC146	-0.6781428205194712	-1.4767885078135377	0.4592010412672407	0.15051016599092315	29	1.4767885078135377
THOC3	-0.4372812187541943	-1.476071682300689	0.29624660102727735	0.15070135849749886	29	1.476071682300689
CARD8	-0.3626315246433879	-1.4760097438622566	0.2456836929101121	0.15071788792654897	29	1.4760097438622566
RBAKDN	-0.5428400898020548	-1.4754307492165128	0.3679197346878633	0.15087247379906019	29	1.4754307492165128
FBXL2	-0.3168551293055233	-1.4743536855041293	0.2149112064634479	0.15116037745345495	29	1.4743536855041293
ITGA6	-0.7980080560829906	-1.4742194089112133	0.5413088793020033	0.1511963010106479	29	1.4742194089112133
ZNF683	-0.38816154621798254	-1.4739568837114876	0.2633466083760706	0.15126655520566512	29	1.4739568837114876
NRBF2	-0.27365354706140715	-1.4735102813877545	0.18571539711530194	0.15138613028282408	29	1.4735102813877545
EIF4EBP1	-0.599788335056107	-1.4734782252666845	0.4070561239190022	0.15139471602942756	29	1.4734782252666845
LINC00326	-0.48875056067019423	-1.4728190291405276	0.33184698934492146	0.15157135828343454	29	1.4728190291405276
ANKRD28	-0.34970986966853457	-1.4726396474910648	0.2374714481335166	0.1516194550749967	29	1.4726396474910648
OLFML1	-0.43210977019049107	-1.4723343593680376	0.29348616870964234	0.15170133872190683	29	1.4723343593680376
CLIP2	-0.6083406093406706	-1.471380436721536	0.41344889068672674	0.15195742594493825	29	1.471380436721536
RNF216	-0.22745917233366644	-1.4709025716150952	0.15463918326277004	0.15208584233348138	29	1.4709025716150952
SNTN	-1.020389248492077	-1.4695606956458942	0.6943498499349837	0.1524469086694754	29	1.4695606956458942
IGFBP7	-1.1916431282706668	-1.4695006778756947	0.8109170320311129	0.1524630740240031	29	1.4695006778756947
EIF4B	-0.39507868531005536	-1.4693377023290903	0.268882153288386	0.15250697723977746	29	1.4693377023290903
CYB5R2	-0.6019067815254897	-1.469287980214517	0.40965882089201533	0.15252037366166307	29	1.469287980214517
TRERF1	-0.48116662396508075	-1.4680154622208534	0.3277667274956075	0.15286354364488525	29	1.4680154622208534
CCDC144A	-0.5153373600556191	-1.467869055771086	0.3510785638742874	0.15290306584909003	29	1.467869055771086
TPSAB1	-0.9134444322136911	-1.4674211342935841	0.6224828107395515	0.1530240323862265	29	1.4674211342935841
EMILIN1	-0.6297202337996025	-1.4670916580839013	0.429230328132361	0.15311306025339697	29	1.4670916580839013
NELL2	-0.8490101436083485	-1.4669189018210724	0.5787710162806986	0.1531597573404794	29	1.4669189018210724
TAPBPL	-0.5251286081079806	-1.466885759651151	0.3579887558748028	0.15316871717712202	29	1.466885759651151
CCDC66	-0.29260500438782294	-1.4668753252459101	0.1994750333255282	0.1531715381584959	29	1.4668753252459101
NPR3	-0.5860155236483939	-1.4665703144671711	0.3995822892823948	0.1532540173637209	29	1.4665703144671711
MDFIC	-0.7418925924437568	-1.4665597711319422	0.505872728167866	0.15325686906530694	29	1.4665597711319422
FAM71D	-0.3201456661685187	-1.46439778872629	0.21861933187359994	0.1538425275059364	29	1.46439778872629
CPNE1	-0.3624504857635857	-1.463780310546994	0.24761262544113813	0.15401012415528784	29	1.463780310546994
FBXW10	-0.1922485767433573	-1.4637286044883737	0.13134168188955708	0.15402416489731555	29	1.4637286044883737
PRDM8	-0.5435418775681204	-1.4634397964530497	0.37141389682411746	0.1541026093353405	29	1.4634397964530497
COMP	-0.5416003658125319	-1.4630580305765772	0.3701837893600791	0.15420635149234882	29	1.4630580305765772
CYP11A1	-0.5384215753610495	-1.46229775657746	0.36820242179762147	0.15441311687548137	29	1.46229775657746
ATG16L2	-0.3712816950226753	-1.462217596109644	0.25391685615773074	0.1544349303607021	29	1.462217596109644
DYNLL1	-0.24279156824151338	-1.4619304757803269	0.16607600174140963	0.15451308254376533	29	1.4619304757803269
TSNAXIP1	-0.5215881458381877	-1.4617732109927313	0.3568187882468872	0.15455590233878944	29	1.4617732109927313
HES2	-0.6977618380969971	-1.4615164184223375	0.4774231950471072	0.15462584178294297	29	1.4615164184223375
PARP15	-0.4144687725625531	-1.4588633489814486	0.2841039038042374	0.15534990746030944	29	1.4588633489814486
KCNE1	-0.4578909492173728	-1.4587038645995127	0.31390260924761915	0.1553935194964792	29	1.4587038645995127
SPRYD3	-0.29110126377125217	-1.4586657606308535	0.19956680387517614	0.15540394072057495	29	1.4586657606308535
SH2B3	-0.4360354483547569	-1.458388459040814	0.2989844342580293	0.15547979798298647	29	1.458388459040814
VAV1	-0.6657802015922475	-1.4575980795722185	0.456765284561601	0.1556961726039491	29	1.4575980795722185
FGF2	-0.6339372668461019	-1.4570302114886293	0.4350886219431347	0.15585178081429196	29	1.4570302114886293
OLFML2B	-0.6229320616139619	-1.4566267667332764	0.4276538615385936	0.15596240888823906	29	1.4566267667332764
HK2	-0.6279118595746372	-1.4563843929453129	0.4311443205627756	0.1560289000377438	29	1.4563843929453129
PRR15	-0.9002315624979642	-1.4560580563739143	0.6182662556325883	0.15611846070319324	29	1.4560580563739143
CD34	-0.5186085434604873	-1.4552073808072805	0.35638119370504273	0.15635211526317638	29	1.4552073808072805
CARM1	-0.23218780335205866	-1.4544274551660636	0.15964206569900588	0.15656658215507047	29	1.4544274551660636
GABARAP	-0.37599710315522955	-1.454381940760473	0.25852707092789307	0.15657910512388967	29	1.454381940760473
PROS1	-0.742795859932545	-1.4541169710985118	0.510822633045401	0.15665202553609556	29	1.4541169710985118
RHOC	-0.5911856323230961	-1.4533588160132955	0.406771972488374	0.15686082168832383	29	1.4533588160132955
PCDHB5	-0.40491391474090516	-1.4532499459101913	0.27862647845295585	0.15689082277127928	29	1.4532499459101913
PAOX	-0.4802679893372879	-1.4519718620410422	0.3307694879583778	0.15724336378447293	29	1.4519718620410422
CORO1C	-0.4280741602778643	-1.4518449172430203	0.29484840646117727	0.15727841414231025	29	1.4518449172430203
CARD11	-0.7604563113079096	-1.451823087690712	0.5237940612430271	0.15728444206410894	29	1.451823087690712
RSPH4A	-0.6510238600244742	-1.4516262906048276	0.44847896751251437	0.15733879311082402	29	1.4516262906048276
ZNF829	-0.40449323674964105	-1.4514757750675715	0.27867722196797284	0.1573803723142241	29	1.4514757750675715
VDAC3	-0.33235328946470516	-1.451415356639069	0.2289856504166458	0.15739706508287585	29	1.451415356639069
TWF1	-0.35661656523731866	-1.4513691449175643	0.2457104496716953	0.15740983368951972	29	1.4513691449175643
STOML3	-0.7170904925232487	-1.451318823664164	0.4940957705714867	0.15742373872661733	29	1.451318823664164
KHDC1L	-0.6243324972294818	-1.4511447513388767	0.43023447292453143	0.15747184687417987	29	1.4511447513388767
CARMN	-0.37884900051752074	-1.4511102639731304	0.26107526762317473	0.15748137949482846	29	1.4511102639731304
BEST2	-0.48421202363588606	-1.4509521808072796	0.33372018047244023	0.15752508100397236	29	1.4509521808072796
FHL2	-0.9993647135188086	-1.4508127782294922	0.688830928783512	0.15756362635572418	29	1.4508127782294922
ACTR8	-0.207569234054828	-1.4498961251873423	0.14316145167158634	0.15781727179295937	29	1.4498961251873423
KCNE3	-0.6522443115655415	-1.4488918087529776	0.4501677127479316	0.1580955479533173	29	1.4488918087529776
PF4	-0.49259410856504543	-1.4485930214658667	0.3400500356315243	0.1581784114136289	29	1.4485930214658667
BCL10	-0.37032396401557527	-1.4481613123784765	0.25572010579909155	0.1582981995492258	29	1.4481613123784765
EYA4	-0.5774827335663251	-1.4480676331511955	0.3987954155909436	0.1583242026599871	29	1.4480676331511955
ORAI3	-0.5670954917682	-1.4477147181506542	0.39171770837048714	0.15842219397750323	29	1.4477147181506542
TIGAR	-0.305567418705418	-1.4475642167900789	0.21109075173397326	0.15846399727949964	29	1.4475642167900789
RPL36A	-0.5555729358113192	-1.4475414366235575	0.3838045127794152	0.15847032547089668	29	1.4475414366235575
WFDC6	-0.495954985204183	-1.4474332262300496	0.34264446622932354	0.15850038840822211	29	1.4474332262300496
PLAU	-1.1711674865145487	-1.4472640793575726	0.8092286012062286	0.15854738977766678	29	1.4472640793575726
GCSAML	-0.3625198909455531	-1.4471615949968477	0.2505040848229135	0.15857587282798036	29	1.4471615949968477
OXSR1	-0.23479452490656239	-1.4469651593107833	0.16226688209852919	0.15863047877166842	29	1.4469651593107833
PPARD	-0.5372129336141421	-1.446519566522824	0.3713831088406958	0.1587544018834956	29	1.446519566522824
EHBP1L1	-0.515060650340965	-1.4450803893483115	0.3564235278102709	0.1591551759331879	29	1.4450803893483115
VWF	-0.8119803066410869	-1.4449372182383855	0.5619485029467395	0.15919508944362182	29	1.4449372182383855
DNAH12	-0.8397402069787968	-1.4447358326842457	0.581241350827855	0.15925124557412543	29	1.4447358326842457
SNX2	-0.28976007093074924	-1.4443319884113108	0.20061874503622262	0.15936390460675973	29	1.4443319884113108
CMTM6	-0.21513822485271275	-1.444240944125722	0.14896283457948056	0.15938931167628917	29	1.444240944125722
HLA-DOB	-0.592476973678201	-1.4436665943454752	0.4103973701398945	0.15954966564825385	29	1.4436665943454752
ODC1	-0.4616630545637496	-1.443398003441623	0.3198445982764041	0.15962469818076358	29	1.443398003441623
RSPH14	-0.5445497213654911	-1.4429349307955481	0.37739035194418563	0.1597541263358811	29	1.4429349307955481
VPS33A	-0.23339389307317765	-1.4427476451743806	0.16177042038766803	0.15980649611660971	29	1.4427476451743806
NR4A3	-0.6620737323247344	-1.4422464593482898	0.459057276953834	0.15994670750174794	29	1.4422464593482898
UPP1	-0.6437987465037213	-1.4420924949333431	0.44643374039158223	0.159989800122848	29	1.4420924949333431
NOP16	-0.448700670371609	-1.44207921027396	0.3111484217890963	0.1599935187576811	29	1.44207921027396
GAR1	-0.20811104098168653	-1.4416608888837068	0.14435505782696867	0.1601106502393573	29	1.4416608888837068
IGSF6	-0.5291525877455489	-1.4410715888933625	0.3671938242512291	0.16027577206726298	29	1.4410715888933625
TPSB2	-1.0581603090817713	-1.4397759358265738	0.7349479059561324	0.16063929026739315	29	1.4397759358265738
YPEL4	-0.24973082958158496	-1.4393267294067686	0.17350530944736484	0.16076547595715387	29	1.4393267294067686
PUS1	-0.3584098969810295	-1.4385377286301873	0.24914876394817717	0.1609873033732966	29	1.4385377286301873
CD74	-1.122973698611337	-1.4382508379580596	0.7807912701832083	0.16106802292569855	29	1.4382508379580596
NPIPB4	-0.3399316794254091	-1.4371585714446875	0.23653039141233842	0.16137563743854863	29	1.4371585714446875
IGHV3-11	-0.6295077633729217	-1.435140417089188	0.4386384467170925	0.16194523733384394	29	1.435140417089188
REEP5	-0.41131426965540285	-1.4350228837589483	0.2866255822889682	0.16197845885548917	29	1.4350228837589483
CD99	-0.7471346454139614	-1.434504038036561	0.5208313295768633	0.16212517849536867	29	1.434504038036561
HMG20B	-0.26769017970382636	-1.433803437137348	0.18669935694831477	0.1623234624695317	29	1.433803437137348
RAP2B	-0.5466056163374736	-1.4335923694043404	0.3812838488841769	0.16238323656000617	29	1.4335923694043404
IGKV1-16	-0.8906593771748175	-1.4333108874615017	0.6213999942135654	0.16246297904975168	29	1.4333108874615017
ZNF471	-0.4342565448150371	-1.4330562810505265	0.3030282554546273	0.16253513460506888	29	1.4330562810505265
GCM1	-0.26181934915548216	-1.4330353202053494	0.1827026490302865	0.16254107604995507	29	1.4330353202053494
SIGLEC1	-0.26661239228367034	-1.4314277467587846	0.18625626957935323	0.1629972637932303	29	1.4314277467587846
SPIN2B	-0.4376581341986903	-1.4309866185341955	0.3058436246224282	0.16312262206085074	29	1.4309866185341955
SPATA5L1	-0.3747563065989557	-1.4295589082525046	0.262148208398812	0.1635288682418481	29	1.4295589082525046
ZNF699	-0.4038826390818215	-1.4290845788570208	0.28261633010192166	0.16366401321057442	29	1.4290845788570208
ATG16L1	-0.24692791922728272	-1.4280226039516664	0.17291597383961324	0.16396691010053094	29	1.4280226039516664
FAM167B	-0.5804698036906226	-1.4270171908728868	0.40677141621227225	0.16425408382944412	29	1.4270171908728868
GPR146	-0.3481399926963969	-1.4263735859798587	0.24407349948031978	0.16443812434992644	29	1.4263735859798587
MED15	-0.35054541479055196	-1.4262394800465694	0.24578299766257067	0.16447649286325997	29	1.4262394800465694
AGTRAP	-0.43995792269627476	-1.426186856897709	0.3084854698866644	0.16449155060051654	29	1.426186856897709
CDCP1	-0.7523184809639027	-1.4255949501236662	0.5277224648548603	0.1646609957493498	29	1.4255949501236662
PSCA	-1.505195749381836	-1.425578187430917	1.055849312687928	0.16466579641851004	29	1.425578187430917
WDR86	-0.673449636014874	-1.425212402897615	0.47252580362455177	0.16477058110284304	29	1.425212402897615
GSTA3	-0.4133856291073308	-1.4237919277746725	0.2903413209775921	0.16517799936874947	29	1.4237919277746725
IGFL2	-0.8838724798896221	-1.4236946584792594	0.620830087846044	0.1652059271476118	29	1.4236946584792594
GINS4	-0.45390745342008904	-1.423219525250162	0.31893003529466396	0.16534240026997551	29	1.423219525250162
FMO2	-0.5802373451352241	-1.4216256441356003	0.4081505898045539	0.16580086494164126	29	1.4216256441356003
COL9A1	-0.47170178405212687	-1.421400142910563	0.33185713847350246	0.1658658093976901	29	1.421400142910563
ARHGEF15	-0.2678127253293666	-1.4211346233720061	0.18844993354247627	0.16594230495836051	29	1.4211346233720061
DDTL	-0.36711415764684113	-1.4210715317513285	0.2583361565159283	0.16596048561259832	29	1.4210715317513285
FCRL2	-0.6002534420192915	-1.4194983959530143	0.42286306467877127	0.1664143146583879	29	1.4194983959530143
RAB8B	-0.4528411557994643	-1.419189527913021	0.3190843413743241	0.16650353425076597	29	1.419189527913021
SMC2-AS1	-0.19845987626909628	-1.4189392067810613	0.13986496061329717	0.16657586974777255	29	1.4189392067810613
ADM	-0.8591576560190559	-1.4188938868979628	0.6055122683609396	0.16658896852796237	29	1.4188938868979628
POLR1E	-0.31448129914522394	-1.4159444988299832	0.22210001833058055	0.16744318178704173	29	1.4159444988299832
OOEP	-0.36605137394372733	-1.4144941508178073	0.25878606407250976	0.1678645053283705	29	1.4144941508178073
YEATS2	-0.34480470028085486	-1.413850057769173	0.24387642691396919	0.1680518816488562	29	1.413850057769173
C1ORF141	-0.46293104843044	-1.413677069497973	0.32746591029791317	0.1681022346701545	29	1.413677069497973
NMI	-0.3770042532227249	-1.413356520769744	0.2667439161191971	0.1681955707499326	29	1.413356520769744
CAPN14	-0.19187198471414474	-1.41274635203729	0.13581488597542682	0.16837335033569953	29	1.41274635203729
NHEJ1	-0.2222106800269859	-1.4107799210503562	0.15750910309351812	0.16894730236171684	29	1.4107799210503562
IL4I1	-0.40154949046338584	-1.4101376529378722	0.2847590727237161	0.16913509863442933	29	1.4101376529378722
SIRPB1	-0.20934554952190923	-1.40984767241584	0.14848806265941186	0.1692199415920965	29	1.40984767241584
NLRP1	-0.555401218204254	-1.4087229995353694	0.39425864303162417	0.16954931796872738	29	1.4087229995353694
KRT5	-1.306190544839886	-1.4086574755722514	0.9272591580925382	0.1695685231729506	29	1.4086574755722514
PDCD2	-0.29252536385159345	-1.4084918453027664	0.2076869417648015	0.1696170773883886	29	1.4084918453027664
CFL1	-0.2252079167823862	-1.4083123636038999	0.15991332789699764	0.16966970450848934	29	1.4083123636038999
PMS2	-0.28705340507564725	-1.4078219570002437	0.2038989402376522	0.1698135658463112	29	1.4078219570002437
SLC6A16	-0.3182956901727144	-1.4069754319102878	0.22622689988307468	0.17006212133564594	29	1.4069754319102878
HLX	-0.4960999124595305	-1.4060490094279183	0.352832589143802	0.17033446492127705	29	1.4060490094279183
APOE	-0.9408736984417475	-1.4058754367568609	0.6692439983247725	0.1703855289049446	29	1.4058754367568609
CST2	-0.2916833680950623	-1.4052747201337878	0.20756323579726307	0.1705623491188987	29	1.4052747201337878
PLD1	-0.5408595774638697	-1.4052433341436927	0.38488677677553335	0.17057159152233678	29	1.4052433341436927
IK	-0.28069127664216653	-1.404786144851205	0.19981068127056265	0.17070626731118282	29	1.404786144851205
ZNF727	-0.3253564389240444	-1.40329741200796	0.2318513781469148	0.17114538924542486	29	1.40329741200796
FGFR4	-0.6104624411977698	-1.402925618450319	0.43513528669616197	0.17125519357862207	29	1.402925618450319
NPB	-0.8047674199393738	-1.4016292727774322	0.5741656767375211	0.17163848640799986	29	1.4016292727774322
RND3	-0.8520709945933285	-1.4010059270131239	0.6081851462326803	0.17182303256142956	29	1.4010059270131239
GFOD1	-0.6312045338195799	-1.3984650473893077	0.4513552448078195	0.17257689587068797	29	1.3984650473893077
ANGPTL4	-0.8405907900641834	-1.3977612931147638	0.6013836512749722	0.17278615509737555	29	1.3977612931147638
FZD10	-0.6498133279520459	-1.3976797203602027	0.4649229136590602	0.17281042341833427	29	1.3976797203602027
CCDC86	-0.34966309293863534	-1.397661411576003	0.25017725326218687	0.1728158707458621	29	1.397661411576003
CLP1	-0.30359067121077776	-1.3973399430696865	0.21726328851936172	0.17291153779043725	29	1.3973399430696865
DOK3	-0.4588667359755505	-1.39673720819284	0.32852760940567516	0.17309102026136305	29	1.39673720819284
AKAP12	-1.357442435000665	-1.3958108943122498	0.9725117066588811	0.1733671437709361	29	1.3958108943122498
SEMA5A	-0.7006106481541738	-1.3950426296333143	0.5022145081963042	0.17359641732866796	29	1.3950426296333143
PPM1G	-0.21496642086624895	-1.3948744004094191	0.15411166826429154	0.17364665385231265	29	1.3948744004094191
ARHGEF4	-0.5519431536673786	-1.3928591497391716	0.3962663086003607	0.17424933588980943	29	1.3928591497391716
DCSTAMP	-0.2533201615660686	-1.3927872456209627	0.1818800124444907	0.1742708699114237	29	1.3927872456209627
CLIP4	-0.5484051387445045	-1.3925047121237055	0.3938264150705337	0.1743555039885488	29	1.3925047121237055
TLL1	-0.31545997105723067	-1.3920645783720078	0.2266130292792558	0.17448741221302766	29	1.3920645783720078
WDR1	-0.2948560504424811	-1.3904153372219121	0.21206328968695895	0.1749823877416208	29	1.3904153372219121
CSPP1	-0.3624173618130323	-1.3892304928077213	0.26087633671253807	0.1753386672083892	29	1.3892304928077213
ZBTB47	-0.2563401349187367	-1.3882466187981575	0.18465028579767567	0.17563494802311908	29	1.3882466187981575
GLUD1	-0.27281026504631856	-1.3877054967252096	0.19659089460271834	0.17579806728375807	29	1.3877054967252096
COL12A1	-0.7923717621924973	-1.3868495988187657	0.5713465705779426	0.1760563172763543	29	1.3868495988187657
GRK5	-0.48973842768547765	-1.3862946047913933	0.3532715383821121	0.17622393459121352	29	1.3862946047913933
HSD17B2	-1.0762450802295278	-1.3845597613805225	0.7773193402330435	0.17674869315365893	29	1.3845597613805225
KPNA3	-0.2555814370529148	-1.3828461232228535	0.18482275993026478	0.17726823965481875	29	1.3828461232228535
CDH6	-0.753007964781275	-1.38253296180283	0.5446582364295668	0.1773633142062636	29	1.38253296180283
ALOXE3	-0.31849905398668665	-1.3817737874146592	0.23050014183769407	0.17759396237097122	29	1.3817737874146592
UVRAG	-0.20625573358629065	-1.3816957491538775	0.14927724407677848	0.17761768483887747	29	1.3816957491538775
RUNX2	-0.5255047954512533	-1.381682887865821	0.38033676183321635	0.1776215947170188	29	1.381682887865821
VDAC2	-0.3571252619061491	-1.3815683401928476	0.258492650357274	0.17765642059943454	29	1.3815683401928476
BATF2	-0.5638381088438194	-1.3802561842568146	0.40850250502403107	0.17805573657982812	29	1.3802561842568146
LBHD1	-0.3288270842199615	-1.3793383301549715	0.23839479918100812	0.17833547603286867	29	1.3793383301549715
BICC1	-0.8145094360717446	-1.379159684182178	0.5905838500164229	0.17838996293958015	29	1.379159684182178
CCDC18	-0.35973689822940813	-1.3780379205836506	0.26105007188557344	0.17873239806713376	29	1.3780379205836506
RGS10	-0.7657063312573172	-1.377523622274684	0.5558571329563974	0.17888956725825145	29	1.377523622274684
SEMA6A	-0.9682031795641193	-1.3768986005181507	0.7031768201374943	0.17908071904088846	29	1.3768986005181507
P3H1	-0.38603405250200135	-1.3763920939009744	0.2804680833409196	0.17923574229554545	29	1.3763920939009744
SPON2	-0.977912800609206	-1.3761824877460902	0.7105982014135569	0.17929992582559942	29	1.3761824877460902
CTSL	-0.5708162624966403	-1.3756741085969546	0.41493567330333336	0.1794556713740448	29	1.3756741085969546
ADAMTS6	-0.6150650824787695	-1.375560375650475	0.44713783078254016	0.17949052874924057	29	1.375560375650475
CLEC11A	-0.6931205722707863	-1.3749345591775461	0.5041116812755037	0.17968242650384178	29	1.3749345591775461
GRPEL1	-0.3165460601944841	-1.3746916595905696	0.23026695330992436	0.179756951434191	29	1.3746916595905696
MAT2B	-0.33644505080787585	-1.3739604379791317	0.24487244429157715	0.17998144619830647	29	1.3739604379791317
FLNA	-0.7886187717716084	-1.3739391079556702	0.5739837866213886	0.17998799808862512	29	1.3739391079556702
