analysis	score	combo	k	N	effect	p	I2	ci95_lo	ci95_hi	note
spearman	pct_pos	GSE131907+GSE148071	2	46	-0.24222607031987303	0.4458436869514144	75.9840541587543	-0.7076781800873053	0.36984380128682376	DL Fisher-z of within-cohort Spearman; GSE205335 not included
spearman	mean	GSE131907+GSE148071	2	46	-0.10507873977914013	0.7296376992792488	72.90368596023914	-0.6066451618673545	0.4563247594984561	DL Fisher-z; secondary mean score
q4q1	pct_pos	GSE131907+GSE148071	2	24	-0.31720820458838067	0.3424925999560614	53.16919792737382	-0.7644784116378728	0.3362195465995993	DL Fisher-z of within-cohort rank-biserial r; n = n_Q1+n_Q4
spearman_stacked	pct_pos	GSE131907+GSE148071	1	46	-0.17200123342584026	0.25303537431538226				companion only; 10x + Singleron stacked, not the combo ρ
